t,z,y,vz,vy,thrust_z,thrust_y,delta,A,e_R,lf,vy_value,wind_y
0.0,0.00040163138035507036,9.866583041349872e-07,0.040163138035507036,9.866583041349871e-05,16.591576564260844,0.011839899649619845,0.0,0.0,-0.0,0.4114,1.0,0.0
0.01,0.0012115621069527433,1.9568716542046518e-06,0.0809930726597673,9.702133500696645e-05,16.67159215491123,-0.00019733166082699742,41.872276020557365,1.0,-1.0,0.4114,1.0,0.0
0.02,0.002421285943412965,2.9109141542305258e-06,0.12097238364602217,9.540425000258737e-05,16.569517318350584,-0.0001940426700139329,2.4003700793599227,1.0,-0.0,0.4114,1.0,0.0
0.03,0.004022473866613599,3.849055339124574e-06,0.16011879232006337,9.381411848940479e-05,16.469569040884945,-0.00019080850000517474,2.4498881712579066,1.0,-0.0,0.4114,1.0,0.0
0.04,0.006006970374747553,4.771560250864466e-06,0.19844965081339538,9.22504911739892e-05,16.371703019199842,-0.00018762823697880958,2.39884921792704,1.0,-0.0,0.4114,1.0,0.0
0.05,0.008366789872295383,5.678689513398486e-06,0.23598194975478298,9.07129262534019e-05,16.275875872966513,-0.0001845009823479784,2.348873569732861,1.0,-0.0,0.4114,1.0,0.0
0.06,0.011094113130310966,6.570699406301272e-06,0.2727323258015584,8.92009892902786e-05,16.182045125613044,-0.0001814258525068038,2.299939074591567,1.0,-0.0,0.4114,1.0,0.0
0.07,0.014181283820451225,7.447841937201246e-06,0.3087170690140259,8.771425308999736e-05,16.090169185496105,-0.0001784019785805572,2.2520240419192126,1.0,-0.0,0.4114,1.0,0.0
0.08,0.017620805121213563,8.310364913000206e-06,0.3439521300762337,8.62522975798961e-05,16.000207327464935,-0.00017542850617999472,2.2051072330174155,1.0,-0.0,0.4114,1.0,0.0
0.09,0.021405336394876684,9.158512009905261e-06,0.37845312736631215,8.481470969050557e-05,15.912119674809416,-0.0001725045951597922,2.1591678516586192,1.0,-0.0,0.4114,1.0,0.0
0.1,0.025527689933671823,9.9925228422929e-06,0.412235353879514,8.340108323876394e-05,15.82586718158422,-0.00016962941938101115,2.1141855348687915,1.0,-0.0,0.4114,1.0,0.0
0.11,0.029980827773742065,1.0812633030424699e-05,0.4453137840070241,8.201101881317998e-05,15.741411615301216,-0.00016680216647752788,2.0701403439003885,1.0,-0.0,0.4114,1.0,0.0
0.12,0.03475785857547751,1.1619074267033822e-05,0.4777030801735444,8.064412366091226e-05,15.65871553998244,-0.00016402203762635995,2.0270127553953206,1.0,-0.0,0.4114,1.0,0.0
