t,z,y,vz,vy,thrust_z,thrust_y,battery,delta,A,e_R,lf,vy_value,wh_rth,wh_land,crashed,landed,decision
0.0,2.0006856666666666,119.99916666666667,0.06856666666666668,-0.08333333333333334,20.0,-10.0,0.09497889466551988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.01,2.0020569999999998,119.9975,0.13713333333333336,-0.16666666666666669,20.0,-10.0,0.09495778933103977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.02,2.004114,119.995,0.20570000000000005,-0.25,20.0,-10.0,0.09493668399655965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.03,2.0068566666666667,119.99166666666667,0.2742666666666667,-0.33333333333333337,20.0,-10.0,0.09491557866207953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.04,2.010285,119.98750000000001,0.3428333333333334,-0.41666666666666674,20.0,-10.0,0.09489447332759941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.05,2.014399,119.98250000000002,0.41140000000000004,-0.5000000000000001,20.0,-10.0,0.0948733679931193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.06,2.0191986666666666,119.97666666666669,0.4799666666666667,-0.5833333333333335,20.0,-10.0,0.09485226265863918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.07,2.0246839999999997,119.97000000000003,0.5485333333333334,-0.6666666666666669,20.0,-10.0,0.09483115732415906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.08,2.030855,119.96250000000003,0.6171000000000001,-0.7500000000000002,20.0,-10.0,0.09481005198967894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.09,2.0377116666666666,119.9541666666667,0.6856666666666668,-0.8333333333333336,20.0,-10.0,0.09478894665519882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.1,2.045254,119.94500000000002,0.7542333333333334,-0.916666666666667,20.0,-10.0,0.09476784132071871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.11,2.053482,119.93500000000002,0.8228000000000001,-1.0000000000000002,20.0,-10.0,0.09474673598623859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.12,2.0623956666666663,119.92416666666668,0.8913666666666668,-1.0833333333333335,20.0,-10.0,0.09472563065175847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.13,2.071995,119.91250000000001,0.9599333333333334,-1.1666666666666667,20.0,-10.0,0.09470452531727835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.14,2.08228,119.9,1.0285000000000002,-1.25,20.0,-10.0,0.09468341998279824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.15,2.0932506666666666,119.88666666666667,1.0970666666666669,-1.3333333333333333,20.0,-10.0,0.09466231464831812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.16,2.104907,119.8725,1.1656333333333335,-1.4166666666666665,20.0,-10.0,0.094641209313838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.17,2.1172489999999997,119.8575,1.2342000000000002,-1.4999999999999998,20.0,-10.0,0.09462010397935788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.18,2.1302766666666666,119.84166666666667,1.3027666666666669,-1.583333333333333,20.0,-10.0,0.09459899864487777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.19,2.14399,119.825,1.3713333333333335,-1.6666666666666663,20.0,-10.0,0.09457789331039765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.2,2.158389,119.8075,1.4399000000000002,-1.7499999999999996,20.0,-10.0,0.09455678797591753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.21,2.1734736666666667,119.78916666666667,1.5084666666666668,-1.8333333333333328,20.0,-10.0,0.09453568264143741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
