especie,voucher,sample_id,localidad,region,lat,lon,alt,anio,fuente
amabilis,,,Llanos de La Higuera,IV,-29.51,-71.22,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
angustus,,,Paposo,Antofagasta,-24.96,-70.48,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
atacamensis,,,Freirina,Atacama,-28.51,-71.08,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
barriai,,,Choros Bajos,IV,-29.25,-71.46,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
batesi,,,Carrizal Bajo,Atacama,-28.081778,-71.147778,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
bridgesi,,,Talinay,IV,-30.198215,-71.420068,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
confusus,,,Domeyko,Atacama,-28.96,-71.18,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
coriaceus,,,Puerto Oscuro,IV,-31.413333,-71.574999,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
crispaticollis,,,Socos,IV,-30.71,-71.49,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
elongatus,,,Choros Bajos,IV,-29.25,-71.46,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
foveopunctatus,,,Cuesta El Espino,IV,-31.35,-71.08,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
hoppei,,,Talinay,IV,-30.198215,-71.420068,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
kingi,,,Carrizal Bajo,Atacama,-28.081778,-71.147778,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
laevigatus,,,Pullally salida Norte,V,-32.42,-71.34,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
luczotii,,,Cuesta Los Porotitos,IV,-29.79,-71.29,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
maculatus,,,Llanos de Challe,Atacama,-28.16,-71.06,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
melcheri,,,Puerto Oscuro,IV,-31.413333,-71.574999,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
modestus,,,Mincha Sur,IV,-31.59,-71.45,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
nigrociliatus,,,Cuesta El Espino,IV,-31.35,-71.08,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
parvus,,,Freirina,Atacama,-28.51,-71.08,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
paulseni,,,Cuesta Cavilolén,IV,-31.81,-71.34,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
planatus,,,Freirina,Atacama,-28.51,-71.08,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
planicollis,,,Carrizal Bajo,Atacama,-28.081778,-71.147778,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
pumilus,,,Cuesta El Espino,IV,-31.35,-71.08,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
reedi,,,Socos,IV,-30.71,-71.49,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
subrugatus,,,Llanos de Challe,Atacama,-28.16,-71.06,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
whitei,,,Domeyko,Atacama,-28.96,-71.18,,,"Datos de la especie: Marcelo Guerrero (comunicación personal, listado de localidades Gyriosomus, ago-2026)"
