especie,voucher,sample_id,localidad,region,lat,lon,alt,anio,fuente
angustus,GyrB27_15,G. angustus (01),Paposo,II,-24.961,-70.4753,52,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
angustus,GangB27_01,G. angustus (01),Paposo,II,-24.961,-70.4753,52,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
camanchaca,GcamB27_03,G. camanchaca (01),Paposo,II,-24.961,-70.4753,52,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
camanchaca,GcamB27_04,G. camanchaca (01),Paposo,II,-24.961,-70.4753,52,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
curtisi,GyrB28_01,G. curtisi (01),Quebrada del Medano,II,-24.8491,-70.526,65,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
curtisi,GyrB27_01,G. curtisi (01),Paposo,II,-24.961,-70.4753,52,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
curtisi,GyrB23B_01,G. curtisi (02),Quebrada las Lozas,II,-25.8938,-70.659,196,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
curtisi,GyrB23_01,G. acurtisi (03),Mirador Pan de Azucar,III,-26.1121,-70.6446,307,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
chango,GchaAZU1_01,G. chango (03),P. N. Pan de Azucar,III,-26.1115,-70.6464,318,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
chango,GchaAZU1_03,G. chango (03),P. N. Pan de Azucar,III,-26.1115,-70.6464,318,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
batesi,GyrB20_01,G. batesi (04),Puerto Flamenco,III,-26.6076,-70.6984,34,2017,"Anguita-Salinas et al. 2026, Tabla S1 (doi.org/10.1111/syen.70011)"
