anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante
1966,29.61,35.20,19.55,15.64,CIERRE
1967,44.38,17.26,28.77,9.59,JARDIN_FERTIL
1968,42.20,25.20,19.18,13.42,JARDIN_FERTIL
1969,1.92,65.48,0.00,32.60,CIERRE
1970,30.95,34.53,24.93,9.59,CIERRE
1971,42.47,21.10,21.10,15.34,JARDIN_FERTIL
1972,30.69,32.60,27.12,9.59,CIERRE
1973,55.89,0.00,44.11,0.00,JARDIN_FERTIL
1974,55.89,9.59,26.85,7.67,JARDIN_FERTIL
1975,34.79,24.93,30.68,9.59,JARDIN_FERTIL
1976,46.03,19.18,25.20,9.59,JARDIN_FERTIL
1977,44.11,19.18,21.37,15.34,JARDIN_FERTIL
1978,63.29,1.92,15.62,19.18,JARDIN_FERTIL
1979,44.11,9.86,28.77,17.26,JARDIN_FERTIL
1980,34.79,30.69,34.52,0.00,JARDIN_FERTIL
1981,65.21,0.00,34.79,0.00,JARDIN_FERTIL
1982,67.12,3.84,29.04,0.00,JARDIN_FERTIL
1983,53.97,0.00,46.03,0.00,JARDIN_FERTIL
1984,57.81,3.84,36.44,1.92,JARDIN_FERTIL
1985,42.20,19.45,15.34,23.01,JARDIN_FERTIL
1986,30.68,36.44,25.20,7.67,CIERRE
1987,36.44,23.01,36.71,3.84,SELVA_HOSTIL
1988,57.53,0.00,42.47,0.00,JARDIN_FERTIL
1989,40.54,19.18,32.61,7.67,JARDIN_FERTIL
1990,49.87,11.51,13.69,24.93,JARDIN_FERTIL
1991,36.71,28.77,24.94,9.59,JARDIN_FERTIL
1992,61.37,0.00,38.63,0.00,JARDIN_FERTIL
1993,55.89,0.00,44.11,0.00,JARDIN_FERTIL
1994,47.95,17.53,13.42,21.10,JARDIN_FERTIL
1995,32.60,34.53,7.94,24.93,CIERRE
1996,47.95,19.45,32.61,0.00,JARDIN_FERTIL
1997,32.60,38.36,21.37,7.67,CIERRE
1998,28.77,29.04,30.69,11.51,SELVA_HOSTIL
1999,27.12,38.36,5.75,28.77,CIERRE
2000,46.03,5.75,38.63,9.59,JARDIN_FERTIL
2001,51.78,0.00,48.22,0.00,JARDIN_FERTIL
2002,57.53,1.92,40.55,0.00,JARDIN_FERTIL
2003,57.53,0.27,42.20,0.00,JARDIN_FERTIL
2004,30.68,30.69,32.87,5.75,SELVA_HOSTIL
2005,42.46,17.26,38.36,1.92,JARDIN_FERTIL
2006,57.54,3.84,30.95,7.67,JARDIN_FERTIL
2007,52.05,7.67,28.77,11.51,JARDIN_FERTIL
2008,28.77,26.85,30.95,13.42,SELVA_HOSTIL
2009,38.63,19.18,30.69,11.51,JARDIN_FERTIL
2010,40.28,19.18,36.71,3.84,JARDIN_FERTIL
2011,47.95,11.51,30.96,9.59,JARDIN_FERTIL
2012,36.44,25.20,7.68,30.68,JARDIN_FERTIL
2013,1.92,67.13,23.01,7.94,CIERRE
2014,26.85,34.52,21.10,17.53,CIERRE
2015,40.27,26.85,11.78,21.10,JARDIN_FERTIL
2016,59.72,0.00,40.28,0.00,JARDIN_FERTIL
2017,40.55,19.18,38.36,1.92,JARDIN_FERTIL
2018,67.40,0.00,24.93,7.67,JARDIN_FERTIL
2019,7.68,59.72,0.00,32.60,CIERRE
2020,21.10,46.30,21.10,11.51,CIERRE
2021,0.00,61.64,0.00,38.36,CIERRE
2022,30.95,36.44,11.51,21.10,CIERRE
2023,3.84,61.64,0.00,34.52,CIERRE
2024,30.95,34.53,26.85,7.67,CIERRE
2025,53.97,13.42,24.93,7.67,JARDIN_FERTIL
2026,50.14,21.10,13.42,15.34,JARDIN_FERTIL
2027,3.84,96.16,0.00,0.00,CIERRE
