anio,floracion_documentada,pico_mensual_mm,mes_pico,tmax_ventana90d,cobertura_temp,prob_solo_lluvia,prob_lluvia_temp
1983,1,127.0,7,17.42,1.0,0.758,0.812
1989,0,82.5,8,19.885,1.0,0.5759,0.268
1990,0,52.5,7,19.118,1.0,0.436,0.3237
1991,1,125.5,6,16.626,1.0,0.7528,0.8887
1996,0,59.0,7,18.584,1.0,0.4662,0.4407
1997,1,252.3,6,17.003,1.0,0.9706,0.9618
2000,1,159.0,6,16.852,1.0,0.8511,0.9072
2002,1,178.0,6,16.596,1.0,0.8909,0.9371
2003,0,57.0,5,18.91,1.0,0.4569,0.3728
2005,1,54.4,8,18.592,1.0,0.4448,0.4263
2008,0,58.2,8,19.234,1.0,0.4625,0.3177
2011,1,143.0,6,16.093,1.0,0.8088,0.9371
2012,1,43.6,8,19.133,1.0,0.3954,0.2993
2013,0,53.2,5,18.576,1.0,0.4393,0.426
2015,1,115.0,8,18.991,1.0,0.7143,0.5193
2016,0,79.8,6,18.317,1.0,0.5635,0.5527
2017,1,257.0,5,17.106,1.0,0.973,0.9607
2018,0,65.2,6,18.366,1.0,0.4953,0.5015
2019,0,7.3,5,18.458,1.0,0.2486,0.3256
2020,0,49.94,6,17.061,1.0,0.4242,0.7046
2021,1,12.08,6,19.228,1.0,0.2657,0.2166
2022,1,29.56,7,17.812,1.0,0.3344,0.5099
2024,1,13.7,6,18.193,1.0,0.2717,0.3907
