anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante
1966,7.68,38.33,19.21,34.79,CIERRE
1967,21.08,32.58,21.10,25.25,CIERRE
1968,1.96,61.30,11.51,25.23,CIERRE
1969,0.04,42.19,13.43,44.34,COLAPSO
1970,3.85,19.18,27.11,49.86,COLAPSO
1971,3.87,45.98,7.69,42.47,CIERRE
1972,9.60,23.00,30.68,36.72,COLAPSO
1973,15.34,28.76,24.89,31.01,COLAPSO
1974,7.68,38.33,21.09,32.91,CIERRE
1975,7.68,28.76,26.84,36.73,COLAPSO
1976,11.51,49.83,3.86,34.80,CIERRE
1977,11.50,32.59,21.11,34.79,COLAPSO
1978,22.99,46.01,13.44,17.56,CIERRE
1979,7.69,47.93,11.78,32.60,CIERRE
1980,11.50,9.59,36.41,42.49,COLAPSO
1981,13.43,32.56,19.15,34.86,COLAPSO
1982,17.24,30.66,36.41,15.69,SELVA_HOSTIL
1983,13.42,34.49,30.66,21.42,CIERRE
1984,13.42,42.16,24.92,19.51,CIERRE
1985,5.76,55.58,11.53,27.14,CIERRE
1986,3.85,17.26,28.75,50.13,COLAPSO
1987,13.43,13.42,36.42,36.73,COLAPSO
1988,5.78,51.73,15.59,26.90,CIERRE
1989,15.34,34.53,13.44,36.69,COLAPSO
1990,5.78,49.81,5.79,38.63,CIERRE
1991,7.68,19.18,36.41,36.73,COLAPSO
1992,28.74,19.16,26.84,25.27,JARDIN_FERTIL
1993,19.17,32.56,21.07,27.21,CIERRE
1994,9.59,53.66,7.97,28.78,CIERRE
1995,0.05,46.00,9.62,44.34,CIERRE
1996,1.94,26.86,13.70,57.50,COLAPSO
1997,7.69,21.09,24.95,46.28,COLAPSO
1998,7.69,53.68,6.02,32.61,CIERRE
1999,11.52,46.00,7.69,34.79,CIERRE
2000,19.17,38.32,21.10,21.41,CIERRE
2001,19.17,26.82,26.83,27.17,COLAPSO
2002,17.26,30.66,32.58,19.51,SELVA_HOSTIL
2003,9.60,32.58,17.51,40.31,COLAPSO
2004,11.50,23.01,24.94,40.55,COLAPSO
2005,21.09,36.40,13.43,29.09,CIERRE
2006,21.08,44.06,15.35,19.52,CIERRE
2007,5.76,42.16,17.54,34.54,CIERRE
2008,11.50,21.10,23.02,44.38,COLAPSO
2009,15.33,40.24,19.20,25.23,CIERRE
2010,9.59,23.03,19.17,48.21,COLAPSO
2011,11.51,40.24,21.10,27.15,CIERRE
2012,5.78,53.65,7.96,32.61,CIERRE
2013,1.94,26.86,17.52,53.68,COLAPSO
2014,1.94,36.42,9.88,51.76,COLAPSO
2015,11.50,36.44,26.85,25.21,CIERRE
2016,9.60,36.38,30.92,23.10,CIERRE
2017,13.42,28.73,23.00,34.84,COLAPSO
2018,9.59,26.86,28.72,34.83,COLAPSO
2019,0.02,42.19,11.52,46.27,COLAPSO
2020,0.03,44.09,13.71,42.18,CIERRE
2021,0.02,40.28,11.52,48.18,COLAPSO
2022,0.03,40.26,11.53,48.17,COLAPSO
2023,0.02,44.10,11.79,44.09,CIERRE
2024,0.02,42.19,15.36,42.44,COLAPSO
2025,0.04,42.18,13.44,44.34,COLAPSO
2026,9.59,30.67,24.95,34.79,COLAPSO
2027,9.60,49.85,13.68,26.87,CIERRE
