anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante
1966,16.71,33.43,8.49,41.37,COLAPSO
1967,16.71,33.15,8.49,41.64,COLAPSO
1968,16.71,41.64,8.49,33.15,CIERRE
1969,25.21,33.42,0.00,41.37,COLAPSO
1970,16.71,24.93,16.99,41.37,COLAPSO
1971,16.71,33.42,8.49,41.37,COLAPSO
1972,16.71,24.93,8.49,49.86,COLAPSO
1973,16.71,33.15,8.49,41.64,COLAPSO
1974,16.71,33.15,8.49,41.64,COLAPSO
1975,16.71,24.93,8.49,49.86,COLAPSO
1976,16.71,33.15,8.49,41.64,COLAPSO
1977,16.71,41.64,8.49,33.15,CIERRE
1978,16.71,41.64,8.49,33.15,CIERRE
1979,16.71,33.15,8.49,41.64,COLAPSO
1980,16.71,24.93,8.49,49.86,COLAPSO
1981,16.71,33.15,16.99,33.15,CIERRE
1982,16.71,33.15,16.99,33.15,CIERRE
1983,16.71,33.15,8.49,41.64,COLAPSO
1984,16.71,33.15,8.49,41.64,COLAPSO
1985,16.71,41.64,8.49,33.15,CIERRE
1986,16.71,24.93,16.99,41.37,COLAPSO
1987,8.49,33.15,25.21,33.15,CIERRE
1988,16.71,33.15,8.49,41.64,COLAPSO
1989,16.71,24.93,8.49,49.86,COLAPSO
1990,25.21,41.64,0.00,33.15,CIERRE
1991,16.71,24.93,16.99,41.37,COLAPSO
1992,16.71,33.15,16.99,33.15,CIERRE
1993,16.71,33.15,16.99,33.15,CIERRE
1994,16.71,41.64,8.49,33.15,CIERRE
1995,25.21,33.42,0.00,41.37,COLAPSO
1996,16.71,24.93,8.49,49.86,COLAPSO
1997,16.71,24.93,16.99,41.37,COLAPSO
1998,16.71,24.93,8.49,49.86,COLAPSO
1999,25.21,33.42,0.00,41.37,COLAPSO
2000,16.71,33.15,8.49,41.64,COLAPSO
2001,16.71,33.15,8.49,41.64,COLAPSO
2002,8.49,33.15,25.21,33.15,CIERRE
2003,16.71,33.15,16.99,33.15,CIERRE
2004,16.71,24.93,8.49,49.86,COLAPSO
2005,16.71,33.15,8.49,41.64,COLAPSO
2006,16.71,33.15,8.49,41.64,COLAPSO
2007,16.71,33.15,8.49,41.64,COLAPSO
2008,16.71,24.93,8.49,49.86,COLAPSO
2009,16.71,41.64,8.49,33.15,CIERRE
2010,16.71,33.15,8.49,41.64,COLAPSO
2011,16.71,33.15,8.49,41.64,COLAPSO
2012,16.71,41.64,8.49,33.15,CIERRE
2013,16.71,16.71,16.99,49.59,COLAPSO
2014,16.71,33.42,8.49,41.37,COLAPSO
2015,16.71,24.93,8.49,49.86,COLAPSO
2016,16.71,33.15,16.99,33.15,CIERRE
2017,8.49,33.15,25.21,33.15,CIERRE
2018,16.71,33.15,8.49,41.64,COLAPSO
2019,25.21,33.42,0.00,41.37,COLAPSO
2020,16.71,33.42,8.49,41.37,COLAPSO
2021,25.21,25.21,0.00,49.59,COLAPSO
2022,25.21,33.42,0.00,41.37,COLAPSO
2023,25.21,25.21,0.00,49.59,COLAPSO
2024,25.21,25.21,0.00,49.59,COLAPSO
2025,25.21,33.42,0.00,41.37,COLAPSO
2026,16.71,33.42,8.49,41.37,COLAPSO
2027,25.20,33.42,0.00,41.37,COLAPSO
