anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante
1966,10.71,39.43,16.17,33.69,CIERRE
1967,17.80,32.06,24.37,25.76,CIERRE
1968,7.70,50.66,5.77,35.88,CIERRE
1969,1.42,57.21,12.05,29.32,CIERRE
1970,15.62,26.02,15.34,43.01,COLAPSO
1971,1.42,48.72,10.14,39.73,CIERRE
1972,17.27,24.37,23.02,35.34,COLAPSO
1973,22.99,26.88,17.24,32.89,COLAPSO
1974,15.06,34.80,13.70,36.44,COLAPSO
1975,11.24,30.40,23.27,35.08,COLAPSO
1976,7.69,42.17,7.68,42.46,COLAPSO
1977,18.36,40.00,14.26,27.39,CIERRE
1978,21.90,36.45,14.53,27.11,CIERRE
1979,9.34,40.52,10.13,40.00,CIERRE
1980,25.18,16.47,22.74,35.62,COLAPSO
1981,24.90,24.96,7.68,42.46,COLAPSO
1982,33.11,16.76,20.55,29.59,JARDIN_FERTIL
1983,23.26,26.60,20.82,29.32,COLAPSO
1984,16.14,33.72,22.19,27.95,CIERRE
1985,7.15,51.21,10.14,31.50,CIERRE
1986,15.07,26.57,17.53,40.82,COLAPSO
1987,22.18,19.47,27.67,30.69,COLAPSO
1988,15.34,34.52,6.03,44.11,COLAPSO
1989,23.01,18.63,5.77,52.58,COLAPSO
1990,7.71,59.14,3.85,29.30,CIERRE
1991,15.07,26.58,29.02,29.33,COLAPSO
1992,36.12,13.74,19.45,30.68,JARDIN_FERTIL
1993,33.66,16.20,6.58,43.56,COLAPSO
1994,9.06,49.30,8.50,33.14,CIERRE
1995,0.07,58.56,9.59,31.78,CIERRE
1996,7.41,34.24,8.23,50.12,COLAPSO
1997,15.09,26.56,17.55,40.81,COLAPSO
1998,5.74,35.90,7.96,50.39,COLAPSO
1999,13.44,45.19,5.77,35.60,CIERRE
2000,24.64,25.22,15.63,34.51,COLAPSO
2001,31.21,18.65,14.79,35.34,COLAPSO
2002,26.55,15.10,23.29,35.07,COLAPSO
2003,15.07,34.79,12.05,38.09,COLAPSO
2004,23.55,18.09,12.89,45.47,COLAPSO
2005,24.92,24.94,9.59,40.54,COLAPSO
2006,15.88,33.98,20.54,29.59,CIERRE
2007,9.60,40.26,13.70,36.43,CIERRE
2008,13.99,27.66,20.54,37.82,COLAPSO
2009,18.37,39.99,16.17,25.47,CIERRE
2010,11.24,38.63,17.52,32.62,CIERRE
2011,15.34,34.53,17.27,32.86,CIERRE
2012,7.16,51.20,6.58,35.06,CIERRE
2013,5.48,27.95,13.98,52.59,COLAPSO
2014,1.95,48.18,9.87,40.00,CIERRE
2015,25.19,16.46,13.16,45.19,COLAPSO
2016,30.37,19.49,10.14,40.00,COLAPSO
2017,16.98,24.67,19.45,38.91,COLAPSO
2018,15.60,34.26,22.71,27.42,CIERRE
2019,0.01,58.62,11.53,29.84,CIERRE
2020,1.41,48.73,12.33,37.53,CIERRE
2021,0.02,50.39,11.53,38.06,CIERRE
2022,1.42,57.21,10.14,31.23,CIERRE
2023,0.01,50.40,11.79,37.79,CIERRE
2024,0.02,50.39,15.36,34.23,CIERRE
2025,0.05,58.58,13.42,27.95,CIERRE
2026,18.37,31.77,16.17,33.69,COLAPSO
2027,7.94,50.69,15.35,26.02,CIERRE
