anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante,coberturaTempReal_pct
1966,0.00,96.17,0.00,3.83,CIERRE,0.0
1967,0.00,100.00,0.00,0.00,CIERRE,0.0
1968,0.00,100.00,0.00,0.00,CIERRE,0.0
1969,0.00,100.00,0.00,0.00,CIERRE,0.0
1970,0.00,100.00,0.00,0.00,CIERRE,0.0
1971,0.00,100.00,0.00,0.00,CIERRE,0.0
1972,0.00,94.26,0.00,5.74,CIERRE,0.0
1973,0.00,98.09,0.00,1.91,CIERRE,0.0
1974,0.00,100.00,0.00,0.00,CIERRE,0.0
1975,0.00,100.00,0.00,0.00,CIERRE,0.0
1976,0.00,100.00,0.00,0.00,CIERRE,0.0
1977,0.00,94.26,0.00,5.74,CIERRE,0.0
1978,0.00,100.00,0.00,0.00,CIERRE,0.0
1979,0.00,100.00,0.00,0.00,CIERRE,0.0
1980,0.00,96.17,0.00,3.83,CIERRE,0.0
1981,24.94,19.18,38.63,17.25,SELVA_HOSTIL,100.0
1982,24.92,26.81,26.87,21.39,SELVA_HOSTIL,100.0
1983,15.33,13.42,44.38,26.86,SELVA_HOSTIL,100.0
1984,15.37,11.48,51.78,21.37,SELVA_HOSTIL,100.0
1985,5.77,19.45,24.92,49.85,COLAPSO,100.0
1986,9.58,30.70,5.75,53.97,COLAPSO,100.0
1987,7.67,26.85,25.19,40.28,COLAPSO,100.0
1988,7.70,7.96,28.74,55.59,COLAPSO,100.0
1989,13.42,11.53,23.01,52.04,COLAPSO,100.0
1990,3.83,19.21,17.26,59.70,COLAPSO,100.0
1991,7.66,36.71,15.35,40.28,COLAPSO,100.0
1992,3.86,21.09,44.37,30.69,SELVA_HOSTIL,100.0
1993,23.03,1.93,53.96,21.09,SELVA_HOSTIL,100.0
1994,13.42,23.00,17.26,46.31,COLAPSO,100.0
1995,0.00,30.71,0.00,69.29,COLAPSO,100.0
1996,5.77,30.68,11.49,52.05,COLAPSO,100.0
1997,3.83,38.37,7.95,49.86,COLAPSO,100.0
1998,5.76,24.93,21.09,48.21,COLAPSO,100.0
1999,3.85,26.85,7.66,61.64,COLAPSO,100.0
2000,23.00,11.50,46.30,19.20,SELVA_HOSTIL,100.0
2001,15.36,17.26,40.27,27.11,SELVA_HOSTIL,100.0
2002,15.37,13.42,36.70,34.52,SELVA_HOSTIL,100.0
2003,13.42,13.71,38.36,34.51,SELVA_HOSTIL,100.0
2004,5.78,24.93,32.84,36.45,COLAPSO,100.0
2005,13.71,9.60,34.52,42.17,COLAPSO,100.0
2006,23.05,13.42,34.77,28.76,SELVA_HOSTIL,100.0
2007,3.85,6.05,30.67,59.43,COLAPSO,100.0
2008,7.67,15.38,21.09,55.86,COLAPSO,100.0
2009,11.50,23.28,42.19,23.03,SELVA_HOSTIL,100.0
2010,3.87,30.91,23.05,42.16,COLAPSO,100.0
2011,13.46,15.33,52.02,19.19,SELVA_HOSTIL,100.0
2012,5.76,23.31,15.34,55.58,COLAPSO,100.0
2013,3.83,26.87,1.91,67.38,COLAPSO,100.0
2014,0.00,30.68,0.00,69.32,COLAPSO,100.0
2015,15.36,28.75,23.26,32.63,COLAPSO,100.0
2016,26.83,13.72,21.14,38.32,COLAPSO,100.0
2017,13.42,13.46,21.41,51.72,COLAPSO,100.0
2018,19.19,15.34,32.59,32.89,COLAPSO,100.0
2019,0.00,19.21,0.00,80.79,COLAPSO,100.0
2020,0.00,36.70,0.00,63.30,COLAPSO,100.0
2021,0.00,38.37,0.00,61.63,COLAPSO,100.0
2022,0.00,25.21,0.00,74.79,COLAPSO,100.0
2023,0.00,49.87,0.00,50.13,COLAPSO,100.0
2024,0.00,25.21,0.00,74.79,COLAPSO,100.0
2025,0.00,36.45,0.00,63.55,COLAPSO,100.0
2026,0.00,52.08,0.00,47.92,CIERRE,59.7
2027,0.00,100.00,0.00,0.00,CIERRE,0.0
