anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante,coberturaTempReal_pct
1966,48.22,51.78,0.00,0.00,CIERRE,0.0
1967,59.73,40.27,0.00,0.00,JARDIN_FERTIL,0.0
1968,47.95,52.05,0.00,0.00,CIERRE,0.0
1969,1.92,98.08,0.00,0.00,CIERRE,0.0
1970,55.89,44.11,0.00,0.00,JARDIN_FERTIL,0.0
1971,55.89,44.11,0.00,0.00,JARDIN_FERTIL,0.0
1972,57.81,42.19,0.00,0.00,JARDIN_FERTIL,0.0
1973,61.64,38.36,0.00,0.00,JARDIN_FERTIL,0.0
1974,63.56,36.44,0.00,0.00,JARDIN_FERTIL,0.0
1975,61.64,38.36,0.00,0.00,JARDIN_FERTIL,0.0
1976,61.64,38.36,0.00,0.00,JARDIN_FERTIL,0.0
1977,53.97,46.03,0.00,0.00,JARDIN_FERTIL,0.0
1978,50.14,49.86,0.00,0.00,JARDIN_FERTIL,0.0
1979,34.53,65.47,0.00,0.00,CIERRE,0.0
1980,59.72,40.28,0.00,0.00,JARDIN_FERTIL,0.0
1981,65.48,0.00,34.52,0.00,JARDIN_FERTIL,100.0
1982,67.40,3.84,28.77,0.00,JARDIN_FERTIL,100.0
1983,61.64,0.00,38.36,0.00,JARDIN_FERTIL,100.0
1984,63.56,3.84,30.68,1.92,JARDIN_FERTIL,100.0
1985,44.11,19.45,13.42,23.01,JARDIN_FERTIL,100.0
1986,30.95,36.44,24.93,7.67,CIERRE,100.0
1987,44.38,23.01,28.77,3.84,JARDIN_FERTIL,100.0
1988,65.48,0.00,34.52,0.00,JARDIN_FERTIL,100.0
1989,42.47,19.18,30.68,7.67,JARDIN_FERTIL,100.0
1990,52.05,11.51,11.51,24.93,JARDIN_FERTIL,100.0
1991,38.63,28.77,23.01,9.59,JARDIN_FERTIL,100.0
1992,65.48,0.00,34.52,0.00,JARDIN_FERTIL,100.0
1993,67.40,0.00,32.60,0.00,JARDIN_FERTIL,100.0
1994,49.87,17.53,11.51,21.10,JARDIN_FERTIL,100.0
1995,32.87,36.44,7.67,23.01,CIERRE,100.0
1996,47.95,19.45,32.60,0.00,JARDIN_FERTIL,100.0
1997,32.87,36.44,21.10,9.59,CIERRE,100.0
1998,36.44,29.04,23.01,11.51,JARDIN_FERTIL,100.0
1999,27.12,36.44,5.75,30.68,CIERRE,100.0
2000,57.81,5.75,26.85,9.59,JARDIN_FERTIL,100.0
2001,61.64,0.00,38.36,0.00,JARDIN_FERTIL,100.0
2002,67.40,1.92,30.68,0.00,JARDIN_FERTIL,100.0
2003,65.21,0.27,34.52,0.00,JARDIN_FERTIL,100.0
2004,30.95,34.53,32.60,1.92,CIERRE,100.0
2005,46.30,15.34,34.52,3.84,JARDIN_FERTIL,100.0
2006,67.40,1.92,21.10,9.59,JARDIN_FERTIL,100.0
2007,57.81,5.75,23.01,13.42,JARDIN_FERTIL,100.0
2008,34.79,28.77,24.93,11.51,JARDIN_FERTIL,100.0
2009,52.05,17.26,17.26,13.42,JARDIN_FERTIL,100.0
2010,50.14,19.18,26.85,3.84,JARDIN_FERTIL,100.0
2011,55.89,9.59,23.01,11.51,JARDIN_FERTIL,100.0
2012,42.20,23.28,1.92,32.60,JARDIN_FERTIL,100.0
2013,1.92,61.64,23.01,13.42,CIERRE,100.0
2014,24.93,38.63,23.01,13.42,CIERRE,100.0
2015,40.54,30.69,11.51,17.26,JARDIN_FERTIL,100.0
2016,67.40,0.00,32.60,0.00,JARDIN_FERTIL,100.0
2017,46.30,19.18,32.60,1.92,JARDIN_FERTIL,100.0
2018,67.40,0.00,24.93,7.67,JARDIN_FERTIL,100.0
2019,7.68,57.80,0.00,34.52,CIERRE,100.0
2020,7.67,57.81,17.26,17.26,CIERRE,100.0
2021,0.00,61.64,0.00,38.36,CIERRE,100.0
2022,9.59,53.97,9.59,26.85,CIERRE,100.0
2023,0.00,65.48,0.00,34.52,CIERRE,100.0
2024,0.00,65.48,0.00,34.52,CIERRE,100.0
2025,11.51,53.97,7.67,26.85,CIERRE,100.0
2026,38.63,36.44,7.67,17.26,JARDIN_FERTIL,59.7
2027,3.84,96.16,0.00,0.00,CIERRE,0.0
