anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante,coberturaTempReal_pct
1966,0.00,96.17,0.00,3.83,CIERRE,0.0
1967,0.00,100.00,0.00,0.00,CIERRE,0.0
1968,0.00,100.00,0.00,0.00,CIERRE,0.0
1969,0.00,100.00,0.00,0.00,CIERRE,0.0
1970,0.00,100.00,0.00,0.00,CIERRE,0.0
1971,0.00,100.00,0.00,0.00,CIERRE,0.0
1972,0.00,94.26,0.00,5.74,CIERRE,0.0
1973,0.00,98.09,0.00,1.91,CIERRE,0.0
1974,0.00,100.00,0.00,0.00,CIERRE,0.0
1975,0.00,100.00,0.00,0.00,CIERRE,0.0
1976,0.00,100.00,0.00,0.00,CIERRE,0.0
1977,0.00,94.26,0.00,5.74,CIERRE,0.0
1978,0.00,100.00,0.00,0.00,CIERRE,0.0
1979,0.00,100.00,0.00,0.00,CIERRE,0.0
1980,0.00,96.17,0.00,3.83,CIERRE,0.0
1981,15.32,28.80,5.77,50.11,COLAPSO,100.0
1982,1.91,49.82,1.92,46.34,CIERRE,100.0
1983,5.75,23.00,5.75,65.49,COLAPSO,100.0
1984,0.00,26.85,7.67,65.48,COLAPSO,100.0
1985,11.79,13.43,30.67,44.11,COLAPSO,100.0
1986,23.01,17.27,29.04,30.68,COLAPSO,100.0
1987,5.76,28.77,19.18,46.29,COLAPSO,100.0
1988,5.78,9.88,36.41,47.93,COLAPSO,100.0
1989,5.78,19.17,36.41,38.64,COLAPSO,100.0
1990,13.45,9.58,42.15,34.81,SELVA_HOSTIL,100.0
1991,11.51,32.86,15.35,40.28,COLAPSO,100.0
1992,0.00,24.95,0.00,75.05,COLAPSO,100.0
1993,7.67,17.29,13.42,61.62,COLAPSO,100.0
1994,19.17,17.26,23.29,40.28,COLAPSO,100.0
1995,17.29,13.42,40.25,29.04,SELVA_HOSTIL,100.0
1996,24.94,11.52,38.63,24.92,SELVA_HOSTIL,100.0
1997,17.26,24.94,13.44,44.37,COLAPSO,100.0
1998,15.34,15.35,36.69,32.61,SELVA_HOSTIL,100.0
1999,9.60,21.10,34.51,34.79,COLAPSO,100.0
2000,7.66,26.84,3.85,61.65,COLAPSO,100.0
2001,11.50,21.12,3.84,63.54,COLAPSO,100.0
2002,1.91,26.87,3.84,67.38,COLAPSO,100.0
2003,19.44,7.69,28.77,44.10,COLAPSO,100.0
2004,11.52,19.19,25.18,44.11,COLAPSO,100.0
2005,15.33,7.98,22.99,53.69,COLAPSO,100.0
2006,3.84,32.63,3.83,59.70,COLAPSO,100.0
2007,1.95,7.95,42.17,47.93,COLAPSO,100.0
2008,5.77,17.28,26.84,50.11,COLAPSO,100.0
2009,9.87,24.91,13.40,51.82,COLAPSO,100.0
2010,13.42,21.37,40.26,24.96,SELVA_HOSTIL,100.0
2011,5.76,23.02,17.25,53.96,COLAPSO,100.0
2012,11.80,17.27,28.73,42.20,COLAPSO,100.0
2013,15.36,15.35,42.45,26.84,SELVA_HOSTIL,100.0
2014,19.18,11.51,42.47,26.84,SELVA_HOSTIL,100.0
2015,13.42,30.69,15.36,40.53,COLAPSO,100.0
2016,13.42,27.13,5.74,53.71,COLAPSO,100.0
2017,15.34,11.53,24.92,48.21,COLAPSO,100.0
2018,7.68,26.85,17.53,47.94,COLAPSO,100.0
2019,15.37,3.84,69.30,11.49,SELVA_HOSTIL,100.0
2020,25.21,11.50,40.27,23.02,SELVA_HOSTIL,100.0
2021,28.78,9.59,53.69,7.94,SELVA_HOSTIL,100.0
2022,15.35,9.86,47.94,26.85,SELVA_HOSTIL,100.0
2023,32.62,17.26,32.86,17.26,SELVA_HOSTIL,100.0
2024,19.46,5.75,57.53,17.26,SELVA_HOSTIL,100.0
2025,19.18,17.26,44.38,19.17,SELVA_HOSTIL,100.0
2026,0.04,52.05,38.32,9.59,CIERRE,59.7
2027,0.00,100.00,0.00,0.00,CIERRE,0.0
