anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante,coberturaTempReal_pct
1966,0.00,96.17,0.00,3.83,CIERRE,0.0
1967,0.00,100.00,0.00,0.00,CIERRE,0.0
1968,0.00,100.00,0.00,0.00,CIERRE,0.0
1969,0.00,100.00,0.00,0.00,CIERRE,0.0
1970,0.00,100.00,0.00,0.00,CIERRE,0.0
1971,0.00,100.00,0.00,0.00,CIERRE,0.0
1972,0.00,94.26,0.00,5.74,CIERRE,0.0
1973,0.00,98.09,0.00,1.91,CIERRE,0.0
1974,0.00,100.00,0.00,0.00,CIERRE,0.0
1975,0.00,100.00,0.00,0.00,CIERRE,0.0
1976,0.00,100.00,0.00,0.00,CIERRE,0.0
1977,0.00,94.26,0.00,5.74,CIERRE,0.0
1978,0.00,100.00,0.00,0.00,CIERRE,0.0
1979,0.00,100.00,0.00,0.00,CIERRE,0.0
1980,0.00,96.17,0.00,3.83,CIERRE,0.0
1981,1.92,42.20,11.51,44.37,COLAPSO,100.0
1982,7.67,44.07,9.60,38.67,CIERRE,100.0
1983,5.74,23.01,13.42,57.82,COLAPSO,100.0
1984,3.84,23.01,13.42,59.73,COLAPSO,100.0
1985,11.79,13.44,15.32,59.45,COLAPSO,100.0
1986,11.51,28.77,24.93,34.79,COLAPSO,100.0
1987,1.92,32.60,29.03,36.44,COLAPSO,100.0
1988,1.93,13.73,24.92,59.42,COLAPSO,100.0
1989,7.69,17.26,30.68,44.37,COLAPSO,100.0
1990,11.52,11.52,15.32,61.64,COLAPSO,100.0
1991,11.52,32.85,23.01,32.62,CIERRE,100.0
1992,1.92,23.02,17.53,57.53,COLAPSO,100.0
1993,1.92,23.03,9.60,65.45,COLAPSO,100.0
1994,13.41,23.02,13.69,49.88,COLAPSO,100.0
1995,13.44,17.27,36.42,32.86,SELVA_HOSTIL,100.0
1996,9.58,26.88,11.79,51.76,COLAPSO,100.0
1997,15.34,26.86,19.47,38.34,COLAPSO,100.0
1998,13.43,17.26,44.37,24.93,SELVA_HOSTIL,100.0
1999,13.45,17.26,40.26,29.04,SELVA_HOSTIL,100.0
2000,5.74,28.76,19.46,46.04,COLAPSO,100.0
2001,3.84,28.77,15.34,52.04,COLAPSO,100.0
2002,5.75,23.03,11.79,59.43,COLAPSO,100.0
2003,0.27,26.87,5.76,67.11,COLAPSO,100.0
2004,15.34,15.37,24.92,44.37,COLAPSO,100.0
2005,3.85,19.46,19.16,57.53,COLAPSO,100.0
2006,3.84,32.63,7.67,55.87,COLAPSO,100.0
2007,1.92,7.98,11.49,78.61,COLAPSO,100.0
2008,3.86,19.18,34.50,42.45,COLAPSO,100.0
2009,11.50,23.28,9.58,55.64,COLAPSO,100.0
2010,7.67,27.12,5.75,59.46,COLAPSO,100.0
2011,5.76,23.02,13.42,57.79,COLAPSO,100.0
2012,11.78,17.29,19.16,51.76,COLAPSO,100.0
2013,13.44,17.26,36.70,32.60,SELVA_HOSTIL,100.0
2014,13.43,17.26,40.26,29.05,SELVA_HOSTIL,100.0
2015,15.34,28.77,30.96,24.92,SELVA_HOSTIL,100.0
2016,13.39,27.15,1.94,57.52,COLAPSO,100.0
2017,11.51,15.36,21.09,52.04,COLAPSO,100.0
2018,1.92,32.61,1.93,63.55,COLAPSO,100.0
2019,15.37,3.84,65.46,15.33,SELVA_HOSTIL,100.0
2020,21.37,15.33,28.76,34.53,COLAPSO,100.0
2021,28.78,9.59,53.69,7.94,SELVA_HOSTIL,100.0
2022,15.35,9.86,36.44,38.35,COLAPSO,100.0
2023,32.62,17.26,32.86,17.26,SELVA_HOSTIL,100.0
2024,19.46,5.75,57.53,17.26,SELVA_HOSTIL,100.0
2025,19.19,17.26,38.62,24.93,SELVA_HOSTIL,100.0
2026,0.04,52.05,40.24,7.68,CIERRE,59.7
2027,0.00,100.00,0.00,0.00,CIERRE,0.0
