anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante
1966,7.68,36.44,19.21,36.68,COLAPSO
1967,19.16,26.87,23.01,30.96,COLAPSO
1968,7.68,42.19,5.79,44.35,COLAPSO
1969,0.03,55.59,13.44,30.94,CIERRE
1970,11.51,32.60,19.46,36.43,COLAPSO
1971,1.94,47.92,9.62,40.52,CIERRE
1972,15.34,28.77,24.95,30.95,COLAPSO
1973,13.40,30.71,26.83,29.06,CIERRE
1974,11.49,36.46,17.27,34.78,CIERRE
1975,9.58,34.53,24.93,30.96,CIERRE
1976,1.94,47.93,13.43,36.70,CIERRE
1977,19.17,28.78,13.45,38.61,COLAPSO
1978,26.82,23.04,9.61,40.53,COLAPSO
1979,9.60,42.18,9.88,38.34,CIERRE
1980,21.07,17.29,26.84,34.80,COLAPSO
1981,19.15,23.05,13.43,44.37,COLAPSO
1982,28.72,11.55,24.93,34.79,COLAPSO
1983,17.24,24.95,26.85,30.96,COLAPSO
1984,15.32,26.88,23.02,34.79,COLAPSO
1985,7.68,42.18,9.61,40.53,CIERRE
1986,9.58,34.53,23.02,32.87,CIERRE
1987,21.08,19.19,28.76,30.96,COLAPSO
1988,15.32,30.70,6.05,47.93,COLAPSO
1989,17.26,28.77,11.53,42.45,COLAPSO
1990,7.69,47.93,3.87,40.51,CIERRE
1991,9.58,34.53,34.51,21.38,CIERRE
1992,26.81,15.38,28.76,29.05,COLAPSO
1993,21.06,21.13,19.17,38.63,COLAPSO
1994,7.68,46.01,9.88,36.42,CIERRE
1995,0.05,55.57,9.61,34.77,CIERRE
1996,11.50,34.53,4.14,49.84,COLAPSO
1997,11.52,32.59,21.12,34.77,COLAPSO
1998,5.74,42.21,7.97,44.09,COLAPSO
1999,7.68,47.93,11.53,32.85,CIERRE
2000,21.07,24.96,19.20,34.77,COLAPSO
2001,28.74,15.37,17.26,38.63,COLAPSO
2002,24.90,17.29,24.93,32.88,COLAPSO
2003,11.49,32.62,15.62,40.27,COLAPSO
2004,24.91,21.11,11.53,42.44,COLAPSO
2005,19.16,26.86,15.35,38.62,COLAPSO
2006,15.32,30.70,21.10,32.87,COLAPSO
2007,9.58,38.36,13.72,38.34,CIERRE
2008,13.43,32.60,21.10,32.88,COLAPSO
2009,21.09,26.86,13.45,38.61,COLAPSO
2010,9.58,38.37,19.18,32.87,CIERRE
2011,15.32,28.79,17.29,38.60,COLAPSO
2012,7.68,46.01,6.05,40.25,CIERRE
2013,1.92,42.19,17.54,38.35,CIERRE
2014,0.01,49.85,11.81,38.33,CIERRE
2015,23.00,26.87,15.36,34.78,COLAPSO
2016,22.97,19.22,17.54,40.26,COLAPSO
2017,11.49,28.78,24.93,34.79,COLAPSO
2018,17.22,28.80,21.09,32.88,COLAPSO
2019,0.01,57.53,11.53,30.94,CIERRE
2020,0.00,46.02,13.73,40.24,CIERRE
2021,0.01,57.52,11.53,30.94,CIERRE
2022,0.03,59.42,11.53,29.02,CIERRE
2023,0.01,53.69,11.80,34.50,CIERRE
2024,0.01,57.52,15.36,27.11,CIERRE
2025,0.04,59.42,13.44,27.11,CIERRE
2026,17.26,30.68,17.28,34.77,COLAPSO
2027,9.57,42.20,13.71,34.51,CIERRE
