anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante
1966,7.68,38.34,19.20,34.78,CIERRE
1967,21.08,40.50,21.09,17.33,CIERRE
1968,1.96,61.31,11.50,25.23,CIERRE
1969,0.05,42.20,13.42,44.33,COLAPSO
1970,4.13,21.10,26.84,47.94,COLAPSO
1971,3.87,45.99,7.68,42.45,CIERRE
1972,9.60,27.11,30.68,32.61,COLAPSO
1973,15.34,36.68,24.89,23.09,CIERRE
1974,7.68,40.26,21.08,30.98,CIERRE
1975,7.68,28.76,26.84,36.72,COLAPSO
1976,11.52,52.02,3.85,32.61,CIERRE
1977,11.50,40.52,21.11,26.86,CIERRE
1978,23.00,47.93,13.44,15.63,CIERRE
1979,7.69,47.93,11.78,32.59,CIERRE
1980,11.51,19.43,36.41,32.66,SELVA_HOSTIL
1981,13.44,38.57,19.14,28.85,CIERRE
1982,17.25,38.32,36.41,8.03,CIERRE
1983,13.42,42.42,30.67,13.49,CIERRE
1984,13.42,46.27,24.92,15.40,CIERRE
1985,5.76,55.58,11.53,27.14,CIERRE
1986,3.85,17.27,28.75,50.12,COLAPSO
1987,15.35,19.44,34.50,30.72,SELVA_HOSTIL
1988,5.78,51.74,15.59,26.89,CIERRE
1989,15.35,40.54,13.44,30.68,CIERRE
1990,5.78,47.91,5.79,40.53,CIERRE
1991,7.68,27.11,36.41,28.80,SELVA_HOSTIL
1992,28.74,23.26,26.84,21.16,JARDIN_FERTIL
1993,21.09,38.30,19.15,21.46,CIERRE
1994,9.59,53.67,7.97,28.77,CIERRE
1995,0.05,46.00,9.61,44.34,CIERRE
1996,1.94,26.87,13.70,57.49,COLAPSO
1997,7.69,30.92,24.95,36.44,COLAPSO
1998,7.69,53.69,6.01,32.60,CIERRE
1999,11.53,53.92,7.69,26.86,CIERRE
2000,19.17,42.42,21.10,17.31,CIERRE
2001,19.17,34.74,26.83,19.25,CIERRE
2002,17.26,36.67,32.58,13.49,CIERRE
2003,9.61,32.58,17.50,40.31,COLAPSO
2004,11.51,26.84,24.93,36.72,COLAPSO
2005,21.09,42.41,13.43,23.07,CIERRE
2006,21.08,44.34,15.34,19.24,CIERRE
2007,5.76,42.17,17.54,34.53,CIERRE
2008,11.51,26.84,23.01,38.63,COLAPSO
2009,15.34,42.42,19.19,23.04,CIERRE
2010,9.59,27.13,19.16,44.11,COLAPSO
2011,11.52,46.25,21.09,21.14,CIERRE
2012,5.78,53.66,7.96,32.60,CIERRE
2013,1.95,26.87,17.52,53.67,COLAPSO
2014,1.95,36.42,9.88,51.76,COLAPSO
2015,11.51,40.27,26.84,21.37,CIERRE
2016,9.87,40.22,30.65,19.26,CIERRE
2017,13.42,30.93,23.00,32.65,COLAPSO
2018,9.59,26.86,28.72,34.82,COLAPSO
2019,0.02,42.19,11.52,46.27,COLAPSO
2020,0.04,42.17,13.70,44.09,COLAPSO
2021,0.02,40.28,11.52,48.18,COLAPSO
2022,0.04,38.35,11.53,50.09,COLAPSO
2023,0.02,44.10,11.79,44.09,CIERRE
2024,0.02,42.19,15.36,42.44,COLAPSO
2025,0.04,42.18,13.44,44.34,COLAPSO
2026,9.60,36.68,24.95,28.77,CIERRE
2027,9.61,49.85,13.68,26.87,CIERRE
