anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante,coberturaTempReal_pct
1966,7.68,38.33,19.21,34.79,CIERRE,0.0
1967,21.08,32.58,21.10,25.25,CIERRE,0.0
1968,1.96,61.30,11.51,25.23,CIERRE,0.0
1969,0.04,42.19,13.43,44.34,COLAPSO,0.0
1970,3.85,19.18,27.11,49.86,COLAPSO,0.0
1971,3.87,45.98,7.69,42.47,CIERRE,0.0
1972,9.60,23.00,30.68,36.72,COLAPSO,0.0
1973,15.34,28.76,24.89,31.01,COLAPSO,0.0
1974,7.68,38.33,21.09,32.91,CIERRE,0.0
1975,7.68,28.76,26.84,36.73,COLAPSO,0.0
1976,11.51,49.83,3.86,34.80,CIERRE,0.0
1977,11.50,32.59,21.11,34.79,COLAPSO,0.0
1978,22.99,46.01,13.44,17.56,CIERRE,0.0
1979,7.69,47.93,11.78,32.60,CIERRE,0.0
1980,11.50,9.59,36.41,42.49,COLAPSO,0.0
1981,0.00,1.92,21.09,76.99,COLAPSO,100.0
1982,0.00,0.00,17.27,82.73,COLAPSO,100.0
1983,0.00,0.00,28.75,71.25,COLAPSO,100.0
1984,0.00,0.00,21.09,78.91,COLAPSO,100.0
1985,0.00,0.00,21.09,78.91,COLAPSO,100.0
1986,0.00,0.00,21.10,78.90,COLAPSO,100.0
1987,0.00,0.00,24.92,75.07,COLAPSO,100.0
1988,0.00,0.00,19.18,80.82,COLAPSO,100.0
1989,0.00,0.00,17.26,82.74,COLAPSO,100.0
1990,0.00,0.00,21.09,78.91,COLAPSO,100.0
1991,1.92,0.00,19.17,78.90,COLAPSO,100.0
1992,0.00,0.00,23.00,77.00,COLAPSO,100.0
1993,0.00,0.00,24.92,75.08,COLAPSO,100.0
1994,0.00,0.00,23.00,77.00,COLAPSO,100.0
1995,0.00,0.00,21.09,78.91,COLAPSO,100.0
1996,0.00,0.00,19.18,80.82,COLAPSO,100.0
1997,0.00,0.00,21.09,78.91,COLAPSO,100.0
1998,0.00,0.00,21.09,78.90,COLAPSO,100.0
1999,0.00,0.00,17.26,82.74,COLAPSO,100.0
2000,0.00,0.00,17.26,82.74,COLAPSO,100.0
2001,0.00,0.00,19.18,80.82,COLAPSO,100.0
2002,0.00,0.00,21.09,78.91,COLAPSO,100.0
2003,0.00,0.00,23.00,77.00,COLAPSO,100.0
2004,0.00,0.00,21.09,78.91,COLAPSO,100.0
2005,0.00,0.00,21.09,78.91,COLAPSO,100.0
2006,0.00,0.00,23.00,77.00,COLAPSO,100.0
2007,0.00,0.00,19.19,80.81,COLAPSO,100.0
2008,0.00,0.00,19.18,80.82,COLAPSO,100.0
2009,0.00,0.00,21.10,78.90,COLAPSO,100.0
2010,0.00,0.00,21.09,78.91,COLAPSO,100.0
2011,0.00,0.00,19.17,80.83,COLAPSO,100.0
2012,0.00,0.00,21.10,78.90,COLAPSO,100.0
2013,0.00,0.00,21.09,78.91,COLAPSO,100.0
2014,0.00,0.00,17.26,82.74,COLAPSO,100.0
2015,0.00,0.00,21.08,78.91,COLAPSO,100.0
2016,0.00,0.00,24.93,75.07,COLAPSO,100.0
2017,0.00,0.00,23.01,76.99,COLAPSO,100.0
2018,0.00,0.00,21.09,78.91,COLAPSO,100.0
2019,0.00,0.00,19.18,80.82,COLAPSO,100.0
2020,0.00,0.00,23.01,76.99,COLAPSO,100.0
2021,0.00,0.00,21.09,78.91,COLAPSO,100.0
2022,0.00,0.00,21.09,78.90,COLAPSO,100.0
2023,0.00,0.00,23.00,77.00,COLAPSO,100.0
2024,0.00,0.00,23.01,76.99,COLAPSO,100.0
2025,0.00,0.00,19.18,80.82,COLAPSO,100.0
2026,9.59,7.66,28.76,53.99,COLAPSO,59.7
2027,9.60,49.85,13.68,26.87,CIERRE,0.0
