anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante,coberturaTempReal_pct
1966,0.00,98.08,0.00,1.92,CIERRE,0.0
1967,0.00,100.00,0.00,0.00,CIERRE,0.0
1968,0.00,98.09,0.00,1.91,CIERRE,0.0
1969,0.00,98.09,0.00,1.91,CIERRE,0.0
1970,0.00,100.00,0.00,0.00,CIERRE,0.0
1971,0.00,100.00,0.00,0.00,CIERRE,0.0
1972,0.00,100.00,0.00,0.00,CIERRE,0.0
1973,0.00,98.09,0.00,1.91,CIERRE,0.0
1974,0.00,100.00,0.00,0.00,CIERRE,0.0
1975,0.00,98.09,0.00,1.91,CIERRE,0.0
1976,0.00,100.00,0.00,0.00,CIERRE,0.0
1977,0.00,100.00,0.00,0.00,CIERRE,0.0
1978,0.00,100.00,0.00,0.00,CIERRE,0.0
1979,0.00,100.00,0.00,0.00,CIERRE,0.0
1980,0.00,100.00,0.00,0.00,CIERRE,0.0
1981,24.90,19.21,9.62,46.27,COLAPSO,100.0
1982,13.40,19.21,9.62,57.77,COLAPSO,100.0
1983,13.39,9.62,13.45,63.53,COLAPSO,100.0
1984,15.32,15.35,7.71,61.62,COLAPSO,100.0
1985,21.06,7.73,9.89,61.32,COLAPSO,100.0
1986,17.24,15.37,9.61,57.78,COLAPSO,100.0
1987,7.67,17.55,7.69,67.10,COLAPSO,100.0
1988,13.42,13.47,13.45,59.67,COLAPSO,100.0
1989,15.33,11.55,3.89,69.24,COLAPSO,100.0
1990,17.26,17.27,5.79,59.68,COLAPSO,100.0
1991,15.32,17.58,7.69,59.42,COLAPSO,100.0
1992,0.00,17.27,13.43,69.29,COLAPSO,100.0
1993,13.42,9.62,15.37,61.60,COLAPSO,100.0
1994,19.16,21.11,11.53,48.20,COLAPSO,100.0
1995,19.15,13.48,11.52,55.85,COLAPSO,100.0
1996,28.74,3.88,9.62,57.77,COLAPSO,100.0
1997,13.40,21.40,7.68,57.52,COLAPSO,100.0
1998,9.58,23.04,13.42,53.95,COLAPSO,100.0
1999,11.49,25.24,3.85,59.42,COLAPSO,100.0
2000,11.49,13.73,13.44,61.33,COLAPSO,100.0
2001,3.84,21.11,17.25,57.79,COLAPSO,100.0
2002,7.67,9.88,13.44,69.00,COLAPSO,100.0
2003,27.07,7.73,17.27,47.92,COLAPSO,100.0
2004,21.07,13.44,11.53,53.95,COLAPSO,100.0
2005,13.67,13.47,3.87,68.99,COLAPSO,100.0
2006,24.92,24.94,3.86,46.28,COLAPSO,100.0
2007,5.75,9.88,5.79,78.59,COLAPSO,100.0
2008,7.66,17.56,5.79,68.99,COLAPSO,100.0
2009,17.51,19.20,11.53,51.76,COLAPSO,100.0
2010,17.24,17.54,7.71,57.51,COLAPSO,100.0
2011,9.58,19.22,5.79,65.41,COLAPSO,100.0
2012,15.60,15.39,17.24,51.76,COLAPSO,100.0
2013,13.43,13.45,7.67,65.44,COLAPSO,100.0
2014,13.42,17.28,4.12,65.18,COLAPSO,100.0
2015,24.91,23.04,13.43,38.62,COLAPSO,100.0
2016,22.97,11.80,13.45,51.78,COLAPSO,100.0
2017,3.83,13.46,15.36,67.35,COLAPSO,100.0
2018,21.07,11.54,11.53,55.86,COLAPSO,100.0
2019,13.42,13.45,9.58,63.54,COLAPSO,100.0
2020,22.99,9.62,11.79,55.60,COLAPSO,100.0
2021,21.08,23.03,11.53,44.37,COLAPSO,100.0
2022,3.83,19.20,9.62,67.36,COLAPSO,100.0
2023,24.92,26.87,15.34,32.88,COLAPSO,100.0
2024,13.42,23.01,17.26,46.31,COLAPSO,100.0
2025,22.99,13.47,11.54,52.01,COLAPSO,100.0
2026,1.91,55.92,7.67,34.50,CIERRE,59.7
2027,0.00,100.00,0.00,0.00,CIERRE,0.0
