anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante
1966,0.00,98.08,0.00,1.92,CIERRE
1967,0.00,100.00,0.00,0.00,CIERRE
1968,0.00,98.09,0.00,1.91,CIERRE
1969,0.00,98.09,0.00,1.91,CIERRE
1970,0.00,100.00,0.00,0.00,CIERRE
1971,0.00,100.00,0.00,0.00,CIERRE
1972,0.00,100.00,0.00,0.00,CIERRE
1973,0.00,98.09,0.00,1.91,CIERRE
1974,0.00,100.00,0.00,0.00,CIERRE
1975,0.00,98.09,0.00,1.91,CIERRE
1976,0.00,100.00,0.00,0.00,CIERRE
1977,0.00,100.00,0.00,0.00,CIERRE
1978,0.00,100.00,0.00,0.00,CIERRE
1979,0.00,100.00,0.00,0.00,CIERRE
1980,0.00,100.00,0.00,0.00,CIERRE
1981,0.00,1.93,11.49,86.58,COLAPSO
1982,0.00,0.00,5.75,94.24,COLAPSO
1983,0.00,0.00,9.60,90.40,COLAPSO
1984,0.00,1.92,9.58,88.50,COLAPSO
1985,0.00,0.00,13.41,86.59,COLAPSO
1986,0.00,0.00,7.67,92.33,COLAPSO
1987,0.00,0.01,19.17,80.82,COLAPSO
1988,0.00,0.00,15.33,84.66,COLAPSO
1989,0.00,0.00,9.60,90.40,COLAPSO
1990,0.00,0.00,15.32,84.67,COLAPSO
1991,0.00,1.93,9.58,88.49,COLAPSO
1992,0.00,0.00,13.41,86.59,COLAPSO
1993,0.00,0.00,17.26,82.74,COLAPSO
1994,0.00,0.00,1.92,98.08,COLAPSO
1995,0.00,0.00,5.76,94.24,COLAPSO
1996,0.00,0.00,5.76,94.24,COLAPSO
1997,0.00,0.03,9.58,90.39,COLAPSO
1998,0.00,0.00,7.66,92.34,COLAPSO
1999,0.00,1.92,1.92,96.16,COLAPSO
2000,0.00,0.00,5.75,94.25,COLAPSO
2001,0.00,0.00,9.58,90.41,COLAPSO
2002,0.00,0.01,13.42,86.57,COLAPSO
2003,0.00,0.00,9.60,90.40,COLAPSO
2004,0.00,0.02,3.83,96.15,COLAPSO
2005,0.00,0.00,9.59,90.41,COLAPSO
2006,0.00,0.00,7.68,92.32,COLAPSO
2007,0.00,0.00,7.68,92.32,COLAPSO
2008,0.00,0.00,3.84,96.16,COLAPSO
2009,0.00,0.02,11.51,88.47,COLAPSO
2010,0.00,0.03,9.58,90.39,COLAPSO
2011,0.00,0.00,3.84,96.16,COLAPSO
2012,0.00,0.01,17.25,82.74,COLAPSO
2013,0.00,0.00,11.49,88.51,COLAPSO
2014,0.00,0.00,5.75,94.24,COLAPSO
2015,0.00,0.01,11.50,88.49,COLAPSO
2016,0.00,0.01,21.09,78.89,COLAPSO
2017,0.00,0.00,11.50,88.49,COLAPSO
2018,0.00,0.00,11.50,88.50,COLAPSO
2019,0.00,0.00,19.17,80.82,COLAPSO
2020,0.00,0.01,9.59,90.40,COLAPSO
2021,0.00,0.00,3.84,96.16,COLAPSO
2022,0.00,0.00,11.50,88.50,COLAPSO
2023,0.00,1.92,13.42,84.66,COLAPSO
2024,0.00,0.01,19.16,80.83,COLAPSO
2025,0.00,0.00,17.26,82.74,COLAPSO
2026,0.00,38.63,13.42,47.95,COLAPSO
2027,0.00,100.00,0.00,0.00,CIERRE
