anio,JARDIN_FERTIL_pct,CIERRE_pct,SELVA_HOSTIL_pct,COLAPSO_pct,dominante
1966,0.00,98.08,0.00,1.92,CIERRE
1967,0.00,100.00,0.00,0.00,CIERRE
1968,0.00,98.09,0.00,1.91,CIERRE
1969,0.00,98.09,0.00,1.91,CIERRE
1970,0.00,100.00,0.00,0.00,CIERRE
1971,0.00,100.00,0.00,0.00,CIERRE
1972,0.00,100.00,0.00,0.00,CIERRE
1973,0.00,98.09,0.00,1.91,CIERRE
1974,0.00,100.00,0.00,0.00,CIERRE
1975,0.00,98.09,0.00,1.91,CIERRE
1976,0.00,100.00,0.00,0.00,CIERRE
1977,0.00,100.00,0.00,0.00,CIERRE
1978,0.00,100.00,0.00,0.00,CIERRE
1979,0.00,100.00,0.00,0.00,CIERRE
1980,0.00,100.00,0.00,0.00,CIERRE
1981,1.92,7.68,15.33,75.06,COLAPSO
1982,0.00,0.02,11.50,88.48,COLAPSO
1983,1.92,3.85,19.18,75.05,COLAPSO
1984,0.00,1.93,13.42,84.64,COLAPSO
1985,0.00,3.84,15.34,80.82,COLAPSO
1986,1.92,3.84,17.24,76.99,COLAPSO
1987,0.00,1.94,21.10,76.96,COLAPSO
1988,1.92,3.84,23.00,71.23,COLAPSO
1989,0.00,0.02,11.52,88.47,COLAPSO
1990,0.00,0.01,19.16,80.83,COLAPSO
1991,1.93,1.94,11.50,84.63,COLAPSO
1992,0.00,1.94,15.33,82.73,COLAPSO
1993,0.00,0.03,26.83,73.14,COLAPSO
1994,0.00,5.76,13.41,80.83,COLAPSO
1995,1.92,1.94,17.25,78.89,COLAPSO
1996,0.00,1.93,9.59,88.48,COLAPSO
1997,3.84,5.78,13.42,76.96,COLAPSO
1998,0.00,3.84,17.25,78.90,COLAPSO
1999,0.00,3.86,7.67,88.47,COLAPSO
2000,0.00,5.75,5.75,88.50,COLAPSO
2001,0.00,1.94,15.33,82.74,COLAPSO
2002,0.00,5.76,15.34,78.90,COLAPSO
2003,0.00,1.93,15.34,82.73,COLAPSO
2004,1.91,1.94,13.41,82.74,COLAPSO
2005,0.00,5.76,11.51,82.73,COLAPSO
2006,0.00,1.95,15.33,82.72,COLAPSO
2007,0.00,3.84,13.43,82.73,COLAPSO
2008,0.00,1.94,13.41,84.65,COLAPSO
2009,1.92,3.86,19.18,75.05,COLAPSO
2010,0.00,9.61,11.50,78.89,COLAPSO
2011,0.00,5.76,9.58,84.65,COLAPSO
2012,0.00,3.86,21.08,75.06,COLAPSO
2013,0.00,1.93,17.25,80.82,COLAPSO
2014,0.00,3.84,11.50,84.65,COLAPSO
2015,5.75,1.95,11.51,80.79,COLAPSO
2016,1.91,2.20,23.02,72.87,COLAPSO
2017,0.00,1.93,19.17,78.90,COLAPSO
2018,0.00,1.94,13.42,84.64,COLAPSO
2019,1.91,5.76,19.18,73.15,COLAPSO
2020,5.74,1.95,19.17,73.13,COLAPSO
2021,0.00,1.93,7.68,90.40,COLAPSO
2022,1.92,3.83,13.42,80.83,COLAPSO
2023,5.77,0.01,23.00,71.23,COLAPSO
2024,0.00,1.93,26.83,71.23,COLAPSO
2025,0.00,1.93,21.09,76.98,COLAPSO
2026,0.00,38.65,13.42,47.93,COLAPSO
2027,0.00,100.00,0.00,0.00,CIERRE
