anio,anillo_san_gabriel,arboles_san_gabriel,anillo_el_asiento,arboles_el_asiento,lluvia_mm_medida,inundacion_documentada
1012,,,1.346,1,,
1013,,,1.278,1,,
1014,,,1.536,1,,
1015,,,1.983,1,,
1016,,,1.774,1,,
1017,,,1.611,1,,
1018,,,1.637,1,,
1019,,,1.756,1,,
1020,,,0.864,1,,
1021,,,0.983,1,,
1022,,,0.889,1,,
1023,,,0.37,1,,
1024,,,0.536,1,,
1025,,,0.655,1,,
1026,,,0.774,1,,
1027,,,0.562,1,,
1028,,,1.061,1,,
1029,,,0.515,1,,
1030,,,2.111,1,,
1031,,,1.446,1,,
1032,,,1.113,1,,
1033,,,1.306,1,,
1034,,,1.474,1,,
1035,,,1.212,1,,
1036,,,1.621,1,,
1037,,,0.759,1,,
1038,,,1.408,1,,
1039,,,1.001,1,,
1040,,,0.93,1,,
1041,,,0.618,1,,
1042,,,0.787,1,,
1043,,,0.861,1,,
1044,,,0.716,1,,
1045,,,0.451,1,,
1046,,,0.355,1,,
1047,,,0.476,1,,
1048,,,0.574,1,,
1049,,,0.283,1,,
1050,,,0.453,1,,
1051,,,0.381,1,,
1052,,,0.527,1,,
1053,,,0.626,1,,
1054,,,0.773,1,,
1055,,,0.798,1,,
1056,,,0.652,1,,
1057,,,0.751,1,,
1058,,,0.752,1,,
1059,,,0.973,1,,
1060,,,1.245,1,,
1061,,,2.107,1,,
1062,,,1.346,1,,
1063,,,1.175,1,,
1064,,,1.423,1,,
1065,,,1.078,1,,
1066,,,1.055,1,,
1067,,,0.883,1,,
1068,,,0.958,1,,
1069,,,0.884,1,,
1070,,,0.836,1,,
1071,,,0.762,1,,
1072,,,0.987,1,,
1073,,,0.938,1,,
1074,,,1.214,1,,
1075,,,0.69,1,,
1076,,,1.091,1,,
1077,,,1.693,1,,
1078,,,1.369,1,,
1079,,,0.994,1,,
1080,,,0.669,1,,
1081,,,0.871,1,,
1082,,,0.796,1,,
1083,,,1.024,1,,
1084,,,0.848,1,,
1085,,,1.077,1,,
1086,,,1.002,1,,
1087,,,0.952,1,,
1088,,,0.7,1,,
1089,,,0.574,1,,
1090,,,0.6,1,,
1091,,,0.702,1,,
1092,,,0.703,1,,
1093,,,0.602,1,,
1094,,,0.322,1,,
1095,,,0.297,1,,
1096,,,0.783,1,,
1097,,,0.963,1,,
1098,,,1.323,1,,
1099,,,1.17,1,,
1100,,,1.018,1,,
1101,,,1.019,1,,
1102,,,0.994,1,,
1103,,,0.737,1,,
1104,,,0.816,1,,
1105,,,0.61,1,,
1106,,,0.817,1,,
1107,,,0.792,1,,
1108,,,1.338,1,,
1109,,,1.313,1,,
1110,,,1.393,1,,
1111,,,1.42,1,,
1112,,,0.823,1,,
1113,,,0.641,1,,
1114,,,0.59,1,,
1115,,,0.538,1,,
1116,,,1.114,1,,
1117,,,0.932,1,,
1118,,,1.589,1,,
1119,,,1.459,1,,
1120,,,0.909,1,,
1121,,,1.068,1,,
1122,,,1.201,1,,
1123,,,1.15,1,,
1124,,,0.913,1,,
1125,,,1.02,1,,
1126,,,1.471,1,,
1127,,,1.181,1,,
1128,,,1.342,1,,
1129,,,0.998,1,,
1130,,,1.079,1,,
1131,,,1.027,1,,
1132,1.043,1,1.348,1,,
1133,1.28,1,1.563,1,,
1134,1.518,1,1.592,1,,
1135,1.343,1,1.112,1,,
1136,1.369,1,1.274,1,,
1137,1.206,1,1.088,1,,
1138,1.22,1,0.928,1,,
1139,1.281,1,0.983,1,,
1140,2.157,1,1.146,1,,
1141,1.73,1,1.039,1,,
1142,1.386,1,1.391,1,,
1143,0.992,1,1.204,1,,
1144,1.499,1,1.151,1,,
1145,1.694,2,1.288,1,,
1146,0.961,3,1.018,1,,
1147,0.914,3,1.046,1,,
1148,0.904,3,1.183,1,,
1149,1.002,3,1.103,1,,
1150,0.931,3,0.533,1,,
1151,1.001,3,0.561,1,,
1152,1.215,3,0.889,1,,
1153,1.217,3,1.245,1,,
1154,0.828,3,0.891,1,,
1155,0.988,3,0.892,1,,
1156,0.941,3,0.811,1,,
1157,0.573,3,0.647,1,,
1158,0.463,3,0.455,1,,
1159,0.514,3,0.181,1,,
1160,0.638,3,0.512,1,,
1161,0.49,3,0.595,1,,
1162,1.348,3,0.761,1,,
1163,1.426,3,0.818,1,,
