fecha,lluvia_mm,t_media_c,t_maxima_c,t_minima_c,t_rocio_c,humedad_relativa_pct,viento_ms,viento_maximo_ms,presion_kpa,radiacion_mj,t_suelo_c,humedad_suelo_sup,humedad_suelo_raiz
2026-06-01,0.01,11.58,17.28,7.62,4.99,66.71,1.15,2.02,95.95,7.83,11.16,0.28,0.6
2026-06-02,0.0,15.03,22.94,11.05,3.04,49.4,1.23,2.8,95.98,11.38,13.04,0.28,0.6
2026-06-03,0.0,13.96,18.62,11.59,2.58,52.46,1.77,2.93,95.78,8.81,12.54,0.28,0.6
2026-06-04,0.01,15.43,22.45,11.87,5.25,55.3,1.07,2.78,95.77,9.16,13.69,0.28,0.6
2026-06-05,0.02,12.91,15.71,9.96,6.11,66.31,0.92,2.16,96.11,5.46,11.16,0.28,0.6
2026-06-06,0.01,12.6,19.19,9.3,6.09,66.99,1.22,2.81,96.17,10.94,12.07,0.28,0.6
2026-06-07,0.01,12.89,20.61,8.38,3.18,56.86,1.55,2.65,96.02,13.11,11.72,0.28,0.6
2026-06-08,0.01,12.53,19.36,8.32,3.35,58.6,1.43,3.11,95.96,12.5,11.61,0.27,0.6
2026-06-09,0.06,10.46,15.18,8.56,6.39,76.93,1.09,2.92,96.16,4.35,10.82,0.27,0.6
2026-06-10,2.69,10.09,14.36,7.15,5.76,75.94,1.69,3.51,96.26,1.8,9.44,0.34,0.6
2026-06-11,0.03,11.96,19.28,7.04,1.78,53.84,1.58,2.16,96.07,7.3,10.29,0.38,0.6
2026-06-12,0.11,13.05,19.7,8.19,-0.83,43.14,1.48,2.06,95.8,4.8,10.88,0.38,0.6
2026-06-13,0.0,14.79,21.57,11.18,-0.38,39.78,1.2,2.27,95.97,7.25,12.8,0.37,0.6
2026-06-14,0.02,15.17,21.57,12.07,-0.06,39.18,1.29,2.64,95.97,10.07,12.5,0.36,0.6
2026-06-15,0.01,15.85,22.35,12.84,-0.82,35.81,1.02,2.33,96.04,7.63,12.93,0.35,0.6
2026-06-16,0.0,15.07,17.36,13.21,0.36,39.82,0.54,1.07,95.8,3.9,11.5,0.35,0.6
2026-06-17,0.1,12.08,15.47,8.86,5.54,67.69,0.91,2.15,95.79,5.52,11.33,0.35,0.6
2026-06-18,0.24,11.32,15.15,9.11,8.73,84.91,1.34,2.39,96.52,,11.14,0.35,0.6
2026-06-19,0.0,12.36,19.47,8.39,4.3,64.74,1.76,3.04,96.55,10.81,11.39,0.35,0.6
2026-06-20,0.01,10.61,16.25,6.6,5.63,73.13,2.52,4.0,96.13,5.64,10.96,0.35,0.6
2026-06-21,0.66,7.61,13.26,4.32,1.97,71.73,2.19,3.65,96.5,8.26,8.06,0.36,0.6
2026-06-22,0.0,7.97,15.19,3.76,-2.97,51.07,2.92,4.78,96.64,10.14,7.09,0.37,0.6
2026-06-23,0.0,9.02,17.07,4.01,-5.67,39.92,2.71,4.01,96.44,10.68,7.29,0.36,0.6
2026-06-24,0.0,10.81,17.77,7.16,-5.6,35.59,2.69,3.99,96.3,5.64,9.42,0.35,0.6
2026-06-25,0.0,12.34,19.59,7.46,-1.98,43.53,1.8,2.2,96.06,11.88,9.61,0.35,0.6
2026-06-26,0.0,10.92,17.18,6.77,0.71,55.37,2.79,4.19,96.1,10.78,10.0,0.34,0.6
2026-06-27,0.04,8.96,15.0,5.1,0.33,58.15,3.13,5.12,96.37,11.09,8.16,0.34,0.6
2026-06-28,0.0,10.65,19.63,4.48,-12.16,23.99,3.33,4.79,96.15,11.37,8.45,0.34,0.6
2026-06-29,0.01,12.1,19.81,7.61,-3.2,37.59,2.5,4.17,95.72,12.03,10.01,0.33,0.6
2026-06-30,0.0,9.48,15.94,4.68,-1.61,50.5,1.89,3.22,95.75,10.84,7.92,0.33,0.6
2026-07-01,0.0,7.76,12.69,4.69,1.91,67.89,1.46,2.67,96.07,11.58,7.19,0.27,0.36
2026-07-02,0.0,8.7,14.19,5.43,1.3,61.66,1.37,2.64,96.3,12.38,7.44,0.28,0.36
2026-07-03,0.0,8.39,13.29,5.58,2.79,69.14,1.11,2.47,96.25,11.49,7.11,0.28,0.35
2026-07-04,1.1,8.46,13.17,4.41,4.05,75.6,1.29,2.95,96.53,9.96,7.68,0.29,0.35
2026-07-05,0.0,11.07,18.1,6.38,0.58,52.78,1.19,2.3,96.68,13.26,9.66,0.32,0.36
2026-07-06,0.0,14.39,24.61,8.27,-6.3,26.02,1.07,1.92,96.2,11.08,10.56,0.31,0.36
2026-07-07,0.0,15.5,22.85,11.39,-1.53,32.8,1.0,2.38,96.03,10.91,12.15,0.3,0.36
2026-07-08,0.03,14.66,20.36,11.34,1.48,42.13,0.81,2.3,96.28,4.19,12.42,0.29,0.35
2026-07-09,0.0,15.55,20.08,12.2,4.87,49.78,0.87,2.0,96.18,2.61,13.92,0.29,0.35
2026-07-10,0.05,13.97,18.04,12.58,7.43,64.91,0.59,1.17,96.17,2.17,12.52,0.29,0.35
2026-07-11,0.04,15.63,23.0,11.26,5.7,53.03,1.26,2.4,96.15,11.78,14.14,0.29,0.35
2026-07-12,0.0,17.53,25.62,12.9,1.82,37.04,0.94,2.22,95.99,11.39,14.66,0.29,0.35
2026-07-13,0.03,15.46,20.82,12.68,3.11,45.31,1.01,2.4,95.93,9.86,13.31,0.28,0.35
2026-07-14,0.25,11.75,13.29,10.06,6.93,72.98,0.94,1.86,95.87,6.55,11.13,0.29,0.35
2026-07-15,0.49,12.44,14.63,10.32,7.87,73.77,0.81,1.68,95.59,1.76,11.11,0.3,0.35
