archivo,filas,con_coordenada,elemento_micr,Pen
616 Red Vial.xlsx,14039,14039,Carreteras Principales (Autopistas),Muy Alta
618 Puentes de Carreteras.xlsx,6742,6742,Puentes de Carreteras,Alta
17 Agua Potable Rural.xlsx,2475,2475,Planta de Agua Potable,Muy Alta
46 Embalses.xlsx,1370,1370,Embalses,Muy Alta
42 Depositos de Relaves.xlsx,795,795,Tranques de Relave,Muy Alta
265 Establecimientos de Salud.xlsx,5717,5272,Hospitales Generales,Muy Alta
441 Establecimientos Educacionales.xlsx,16768,13497,Escuelas Primarias (Infraestructura),Muy Alta
622 Obras Portuarias.xlsx,644,644,Puertos Marítimos,Muy Alta
624 Aeropuertos y Aerodromos.xlsx,316,315,Aeropuertos (Pistas),Media
309 Cuarteles de Bomberos.xlsx,1412,1412,Estaciones de Bomberos,Muy Alta
353 Unidades de Carabineros.xlsx,885,885,Cuarteles Policiales,Muy Alta
353 Unidades de la PDI.xlsx,175,175,Cuarteles Policiales,Muy Alta
183 Telecomunicaciones.xlsx,16669,16668,Torres de Telecomunicaciones (Celulares),Muy Alta
117 Lineas de Transmision Electrica.xlsx,3632,3632,Redes de Transmisión Eléctrica (Alta Tensión),Muy Alta
120 Instalaciones Electricas.xlsx,4384,4383,Subestaciones Eléctricas,Muy Alta
117 Derivaciones de Linea.xlsx,277,58,Redes de Transmisión Eléctrica (Alta Tensión),Muy Alta
33 Infraestructura Sanitaria.xlsx,8463,8459,Sistema de Tratamiento de Aguas Residuales,Muy Alta
16 Suministro Alternativo de Agua.xlsx,5743,5743,Tuberías Principales de Distribución de Agua,Muy Alta
575 Oficinas Municipales.xlsx,345,345,Oficinas Municipales,Muy Alta
572 Sedes de Gobierno Provincial.xlsx,55,55,Edificios Gubernamentales (Ministerios),Muy Alta
572 Sedes de Gobierno Regional.xlsx,16,16,Edificios Gubernamentales (Ministerios),Muy Alta
572 Edificios Publicos.xlsx,522,522,Edificios Gubernamentales (Ministerios),Muy Alta
529 Recintos Deportivos.xlsx,538,538,Estadios Deportivos,Muy Alta
528 Centros Comerciales.xlsx,1194,1194,Centros Comerciales,Muy Alta
443 Educacion Superior.xlsx,400,400,Universidades (Infraestructura),Media
836 Establecimientos para Adultos Mayores.xlsx,881,881,Establecimientos para Adultos Mayores (ELEAM y Centros Diurnos),Alta
837 Establecimientos de Proteccion de la Infancia.xlsx,1533,1533,Establecimientos de Protección de la Infancia (Residencias y Programas Ambulatorios),Alta
355 Pasos Fronterizos.xlsx,30,30,Puestos de Control Fronterizo,Muy Alta
351 Direcciones Regionales SENAPRED.xlsx,16,16,Infraestructura de Soporte (Emergencia),Muy Alta
639 Comunicacion Aerea.xlsx,340,340,Sistemas de Navegación Aérea (Radar),Media
265 Servicio Medico Legal.xlsx,47,47,Hospitales Generales,Muy Alta
