anio,lluvia_mm,fuente,power_mm,diferencia_mm
1950,292.7,CR2 · cr2_prAmon_2019,,
1951,322.9,CR2 · cr2_prAmon_2019,,
1952,334.3,CR2 · cr2_prAmon_2019,,
1953,583.0,CR2 · cr2_prAmon_2019,,
1954,316.2,CR2 · cr2_prAmon_2019,,
1955,193.8,CR2 · cr2_prAmon_2019,,
1956,263.9,CR2 · cr2_prAmon_2019,,
1957,310.4,CR2 · cr2_prAmon_2019,,
1958,336.0,CR2 · cr2_prAmon_2019,,
1959,319.7,CR2 · cr2_prAmon_2019,,
1960,193.9,CR2 · cr2_prAmon_2019,,
1961,261.0,CR2 · cr2_prAmon_2019,,
1962,226.5,CR2 · cr2_prAmon_2019,,
1963,455.5,CR2 · cr2_prAmon_2019,,
1964,186.4,CR2 · cr2_prAmon_2019,,
1965,413.4,CR2 · cr2_prAmon_2019,,
1966,364.1,CR2 · cr2_prAmon_2019,,
1967,172.8,CR2 · cr2_prAmon_2019,,
1968,69.2,CR2 · cr2_prAmon_2019,,
1969,175.3,CR2 · cr2_prAmon_2019,,
1970,358.2,CR2 · cr2_prAmon_2019,,
1971,296.3,CR2 · cr2_prAmon_2019,,
1972,595.3,CR2 · cr2_prAmon_2019,,
1973,183.5,CR2 · cr2_prAmon_2019,,
1974,417.5,CR2 · cr2_prAmon_2019,,
1975,156.2,CR2 · cr2_prAmon_2019,,
1976,190.5,CR2 · cr2_prAmon_2019,,
1977,412.6,CR2 · cr2_prAmon_2019,,
1978,387.3,CR2 · cr2_prAmon_2019,,
1979,220.5,CR2 · cr2_prAmon_2019,,
1980,320.8,CR2 · cr2_prAmon_2019,,
1981,281.9,CR2 · cr2_prAmon_2019,310.0,28.1
1982,623.4,CR2 · cr2_prAmon_2019,366.3,-257.1
1983,365.1,CR2 · cr2_prAmon_2019,247.8,-117.3
1984,455.5,CR2 · cr2_prAmon_2019,414.7,-40.8
1985,186.2,CR2 · cr2_prAmon_2019,227.0,40.8
1986,311.3,CR2 · cr2_prAmon_2019,389.8,78.5
1987,712.1,CR2 · cr2_prAmon_2019,660.5,-51.6
1988,139.6,CR2 · cr2_prAmon_2019,190.7,51.1
1989,302.5,CR2 · cr2_prAmon_2019,275.4,-27.1
1990,205.8,CR2 · cr2_prAmon_2019,232.9,27.1
1991,379.6,CR2 · cr2_prAmon_2019,382.6,3.0
1992,464.0,CR2 · cr2_prAmon_2019,535.2,71.2
1993,316.7,CR2 · cr2_prAmon_2019,338.6,21.9
1994,236.0,CR2 · cr2_prAmon_2019,284.0,48.0
1995,172.5,CR2 · cr2_prAmon_2019,248.2,75.7
1996,164.0,CR2 · cr2_prAmon_2019,199.7,35.7
1997,709.3,CR2 · cr2_prAmon_2019,730.9,21.6
1998,89.3,CR2 · cr2_prAmon_2019,129.9,40.6
1999,343.2,CR2 · cr2_prAmon_2019,393.7,50.5
2000,473.9,CR2 · cr2_prAmon_2019,501.4,27.5
2001,311.9,CR2 · cr2_prAmon_2019,447.2,135.3
2002,600.8,CR2 · cr2_prAmon_2019,659.0,58.2
2003,224.9,CR2 · cr2_prAmon_2019,275.2,50.3
2004,353.8,CR2 · cr2_prAmon_2019,402.9,49.1
2005,434.9,CR2 · cr2_prAmon_2019,392.4,-42.5
2006,335.6,CR2 · cr2_prAmon_2019,361.6,26.0
2007,168.4,CR2 · cr2_prAmon_2019,168.1,-0.3
2008,350.8,CR2 · cr2_prAmon_2019,344.4,-6.4
2009,276.8,CR2 · cr2_prAmon_2019,197.5,-79.3
2010,263.1,CR2 · cr2_prAmon_2019,200.9,-62.2
2011,147.5,CR2 · cr2_prAmon_2019,142.7,-4.8
2012,215.8,CR2 · cr2_prAmon_2019,220.8,5.0
2013,165.1,CR2 · cr2_prAmon_2019,177.6,12.5
2014,203.4,CR2 · cr2_prAmon_2019,235.1,31.7
2015,217.5,CR2 · cr2_prAmon_2019,185.6,-31.9
2016,268.7,CR2 · cr2_prAmon_2019,274.9,6.2
2017,278.4,CR2 · cr2_prAmon_2019,300.4,22.0
2018,151.4,CR2 · cr2_prAmon_2019,177.7,26.3
2019,82.0,CR2 · cr2_prAmon_2019,107.1,25.1
2020,182.4,DMC · anuario de agua caída,216.0,33.6
2021,113.2,DMC · anuario de agua caída,134.1,20.9
2022,161.0,DMC · anuario de agua caída,96.4,-64.6
2023,310.7,DMC · anuario de agua caída,138.5,-172.2
2024,395.0,DMC · anuario de agua caída,120.4,-274.6
2025,231.8,DMC · anuario de agua caída,214.2,-17.6
2026,141.9,"DMC · acumulado al corte de julio, incompleto",,
