[E5.5-2] inicio 2026-07-24 20:51:30
[calibracion D] eps_ref=0.001 semillas=20 D=0.00084137
[calibracion MAX_STEPS] eps_ref=0.001 semillas=16 mediana_lavado_r0=5300 CAP_MULT=10 MAX_STEPS=53000 lavo_todas=True tiempos=[5300, 5300, 5300, 5300, 5300, 5300, 5300, 5300, 5300, 5300, 5300, 5300, 5300, 5300, 5300, 5300]
[grid] eps=11 r=14 semillas=12 celdas=154 celdas_simuladas=140 corridas_evolucion=1680
[celda] eps=0 r_target=0 H=0 t_muerte_med=0 frac_censurada=0/12 pasos_corridos=0
[celda] eps=0 r_target=0.001 H=8.41367e-07 t_muerte_med=0 frac_censurada=0/12 pasos_corridos=0
[celda] eps=0 r_target=0.001778 H=1.49619e-06 t_muerte_med=0 frac_censurada=0/12 pasos_corridos=0
[celda] eps=0 r_target=0.003162 H=2.66064e-06 t_muerte_med=0 frac_censurada=0/12 pasos_corridos=0
[celda] eps=0 r_target=0.005623 H=4.73135e-06 t_muerte_med=0 frac_censurada=0/12 pasos_corridos=0
[celda] eps=0 r_target=0.01 H=8.41367e-06 t_muerte_med=0 frac_censurada=0/12 pasos_corridos=0
[celda] eps=0 r_target=0.01778 H=1.49619e-05 t_muerte_med=0 frac_censurada=0/12 pasos_corridos=0
[celda] eps=0 r_target=0.03162 H=2.66064e-05 t_muerte_med=0 frac_censurada=0/12 pasos_corridos=0
[celda] eps=0 r_target=0.05623 H=4.73135e-05 t_muerte_med=0 frac_censurada=0/12 pasos_corridos=0
[celda] eps=0 r_target=0.1 H=8.41367e-05 t_muerte_med=0 frac_censurada=0/12 pasos_corridos=0
[celda] eps=0 r_target=0.1778 H=0.000149619 t_muerte_med=0 frac_censurada=0/12 pasos_corridos=0
[celda] eps=0 r_target=0.3162 H=0.000266064 t_muerte_med=0 frac_censurada=0/12 pasos_corridos=0
[celda] eps=0 r_target=0.5623 H=0.000473135 t_muerte_med=0 frac_censurada=0/12 pasos_corridos=0
[celda] eps=0 r_target=1 H=0.000841367 t_muerte_med=0 frac_censurada=0/12 pasos_corridos=0
[celda] eps=1e-09 r_target=0 H=0 t_muerte_med=5625 frac_censurada=0/12 pasos_corridos=8100
[celda] eps=1e-09 r_target=0.001 H=8.41367e-07 t_muerte_med=7350 frac_censurada=2/12 pasos_corridos=53000
[celda] eps=1e-09 r_target=0.001778 H=1.49619e-06 t_muerte_med=17700 frac_censurada=4/12 pasos_corridos=53000
[celda] eps=1e-09 r_target=0.003162 H=2.66064e-06 t_muerte_med=33125 frac_censurada=6/12 pasos_corridos=53000
[celda] eps=1e-09 r_target=0.005623 H=4.73135e-06 t_muerte_med=53000 frac_censurada=12/12 pasos_corridos=53000
[celda] eps=1e-09 r_target=0.01 H=8.41367e-06 t_muerte_med=53000 frac_censurada=11/12 pasos_corridos=53000
[celda] eps=1e-09 r_target=0.01778 H=1.49619e-05 t_muerte_med=53000 frac_censurada=12/12 pasos_corridos=53000
[celda] eps=1e-09 r_target=0.03162 H=2.66064e-05 t_muerte_med=53000 frac_censurada=12/12 pasos_corridos=53000
[celda] eps=1e-09 r_target=0.05623 H=4.73135e-05 t_muerte_med=53000 frac_censurada=12/12 pasos_corridos=53000
[celda] eps=1e-09 r_target=0.1 H=8.41367e-05 t_muerte_med=53000 frac_censurada=9/12 pasos_corridos=53000
[celda] eps=1e-09 r_target=0.1778 H=0.000149619 t_muerte_med=53000 frac_censurada=9/12 pasos_corridos=53000
[celda] eps=1e-09 r_target=0.3162 H=0.000266064 t_muerte_med=53000 frac_censurada=12/12 pasos_corridos=53000
[celda] eps=1e-09 r_target=0.5623 H=0.000473135 t_muerte_med=42100 frac_censurada=3/12 pasos_corridos=53000
[celda] eps=1e-09 r_target=1 H=0.000841367 t_muerte_med=42900 frac_censurada=5/12 pasos_corridos=53000
[celda] eps=1e-08 r_target=0 H=0 t_muerte_med=5525 frac_censurada=0/12 pasos_corridos=8150
[celda] eps=1e-08 r_target=0.001 H=8.41367e-07 t_muerte_med=6925 frac_censurada=2/12 pasos_corridos=53000
[celda] eps=1e-08 r_target=0.001778 H=1.49619e-06 t_muerte_med=7500 frac_censurada=2/12 pasos_corridos=53000
[celda] eps=1e-08 r_target=0.003162 H=2.66064e-06 t_muerte_med=53000 frac_censurada=8/12 pasos_corridos=53000
[celda] eps=1e-08 r_target=0.005623 H=4.73135e-06 t_muerte_med=53000 frac_censurada=10/12 pasos_corridos=53000
[celda] eps=1e-08 r_target=0.01 H=8.41367e-06 t_muerte_med=53000 frac_censurada=11/12 pasos_corridos=53000
[celda] eps=1e-08 r_target=0.01778 H=1.49619e-05 t_muerte_med=53000 frac_censurada=12/12 pasos_corridos=53000
[celda] eps=1e-08 r_target=0.03162 H=2.66064e-05 t_muerte_med=53000 frac_censurada=12/12 pasos_corridos=53000
[celda] eps=1e-08 r_target=0.05623 H=4.73135e-05 t_muerte_med=53000 frac_censurada=11/12 pasos_corridos=53000
[celda] eps=1e-08 r_target=0.1 H=8.41367e-05 t_muerte_med=53000 frac_censurada=12/12 pasos_corridos=53000
[celda] eps=1e-08 r_target=0.1778 H=0.000149619 t_muerte_med=53000 frac_censurada=8/12 pasos_corridos=53000
[celda] eps=1e-08 r_target=0.3162 H=0.000266064 t_muerte_med=46675 frac_censurada=6/12 pasos_corridos=53000
[celda] eps=1e-08 r_target=0.5623 H=0.000473135 t_muerte_med=53000 frac_censurada=7/12 pasos_corridos=53000
[celda] eps=1e-08 r_target=1 H=0.000841367 t_muerte_med=53000 frac_censurada=7/12 pasos_corridos=53000
[celda] eps=1e-07 r_target=0 H=0 t_muerte_med=5100 frac_censurada=0/12 pasos_corridos=8000
[celda] eps=1e-07 r_target=0.001 H=8.41367e-07 t_muerte_med=6875 frac_censurada=2/12 pasos_corridos=53000
[celda] eps=1e-07 r_target=0.001778 H=1.49619e-06 t_muerte_med=6575 frac_censurada=2/12 pasos_corridos=53000
[celda] eps=1e-07 r_target=0.003162 H=2.66064e-06 t_muerte_med=53000 frac_censurada=7/12 pasos_corridos=53000
[celda] eps=1e-07 r_target=0.005623 H=4.73135e-06 t_muerte_med=53000 frac_censurada=11/12 pasos_corridos=53000
[celda] eps=1e-07 r_target=0.01 H=8.41367e-06 t_muerte_med=53000 frac_censurada=12/12 pasos_corridos=53000
[celda] eps=1e-07 r_target=0.01778 H=1.49619e-05 t_muerte_med=53000 frac_censurada=12/12 pasos_corridos=53000
[celda] eps=1e-07 r_target=0.03162 H=2.66064e-05 t_muerte_med=53000 frac_censurada=12/12 pasos_corridos=53000
[celda] eps=1e-07 r_target=0.05623 H=4.73135e-05 t_muerte_med=53000 frac_censurada=12/12 pasos_corridos=53000
[celda] eps=1e-07 r_target=0.1 H=8.41367e-05 t_muerte_med=53000 frac_censurada=10/12 pasos_corridos=53000
[celda] eps=1e-07 r_target=0.1778 H=0.000149619 t_muerte_med=50350 frac_censurada=6/12 pasos_corridos=53000
[celda] eps=1e-07 r_target=0.3162 H=0.000266064 t_muerte_med=44250 frac_censurada=5/12 pasos_corridos=53000
[celda] eps=1e-07 r_target=0.5623 H=0.000473135 t_muerte_med=34750 frac_censurada=3/12 pasos_corridos=53000
[celda] eps=1e-07 r_target=1 H=0.000841367 t_muerte_med=36375 frac_censurada=5/12 pasos_corridos=53000
[celda] eps=1e-06 r_target=0 H=0 t_muerte_med=5625 frac_censurada=0/12 pasos_corridos=7050
[celda] eps=1e-06 r_target=0.001 H=8.41367e-07 t_muerte_med=6900 frac_censurada=2/12 pasos_corridos=53000
[celda] eps=1e-06 r_target=0.001778 H=1.49619e-06 t_muerte_med=8675 frac_censurada=4/12 pasos_corridos=53000
[celda] eps=1e-06 r_target=0.003162 H=2.66064e-06 t_muerte_med=53000 frac_censurada=7/12 pasos_corridos=53000
