epsilon,n_distintos,std_contraste,max_dens
0.0,0,0.0,0.0
1e-09,23,0.1657175325643901,1.0330932566702447
1e-08,28,0.17463112914012807,1.0365557610154668
1e-07,29,0.1758714282507498,1.0370699512001378
1e-06,32,0.17600152358031387,1.03710790749073
1e-05,36,0.17601500548633506,1.0370982628115093
0.0001,39,0.1760166385703007,1.0370880205333004
0.001,42,0.17601709759625667,1.037077324906417
0.01,46,0.17601754778011353,1.0370630037409083
0.1,46,0.17601787618589193,1.0370522601020087
0.5,46,0.17601809401259988,1.0370450975086924
1.0,46,0.17601820277535304,1.0370415162325148
