par,rule_I,rule_III,seed_I,seed_III,lote_I,lote_III,lote_par,kcap_I,kcap_III,kcap_par,K_I,K_III,K_par,tanda,componente_regla,frac_I,frac_III,d_frac,masa_I,masa_III,d_masa,kv_I,kv_III,d_kv,valido_diam
A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,A2-B0-C2-batch3-r100,A2-B0-C2-batch3-r0,481529,471829,471828,471828,471828,4,4,4,5,5,5,tarea_actual_v3_escala20,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,0.14999999999999994,0.15049999999999997,0.0005000000000000282,2820.0,2829.4,9.400000000000091,1.3287671232876717,1.2938596491228065,-0.03490747416486517,False
A2-B0-C2-batch3-r104_vs_A2-B0-C2-batch3-r60,A2-B0-C2-batch3-r104,A2-B0-C2-batch3-r60,481917,477649,471828,471828,471828,5,5,5,6,6,6,tarea_actual_v3_escala20,A2-B0-C2-batch3-r104_vs_A2-B0-C2-batch3-r60,0.09850000000000003,0.12549999999999997,0.02699999999999994,1851.8,2359.4,507.60000000000014,0.5230769230769231,0.9104477611940299,0.3873708381171068,True
A2-B0-C2-batch3-r107_vs_A2-B0-C2-batch3-r71,A2-B0-C2-batch3-r107,A2-B0-C2-batch3-r71,482208,478716,471828,471828,471828,5,5,5,6,6,6,tarea_actual_v4_escala40,A2-B0-C2-batch3-r107_vs_A2-B0-C2-batch3-r71,0.10650000000000004,0.13,0.023499999999999965,2002.2,2444.0,441.79999999999995,0.618556701030928,1.0046948356807506,0.3861381346498226,True
A2-B0-C2-batch3-r112_vs_A2-B0-C2-batch3-r108,A2-B0-C2-batch3-r112,A2-B0-C2-batch3-r108,482693,482305,471828,471828,471828,5,5,5,6,6,6,tarea_actual_v4_escala40,A2-B0-C2-batch3-r112_vs_A2-B0-C2-batch3-r108,0.10150000000000003,0.098,-0.003500000000000031,1908.1999999999998,1842.4,-65.79999999999973,0.5606060606060604,0.49723756906077327,-0.06336849154528718,True
A2-B0-C2-batch3-r120_vs_A2-B0-C2-batch3-r111,A2-B0-C2-batch3-r120,A2-B0-C2-batch3-r111,483469,482596,471828,471828,471828,5,5,5,6,6,6,tarea_actual_v4_escala40,A2-B0-C2-batch3-r120_vs_A2-B0-C2-batch3-r111,0.09250000000000004,0.12200000000000003,0.029499999999999985,1739.0000000000002,2293.5999999999995,554.5999999999992,0.4444444444444445,0.838235294117647,0.3937908496732025,True
A2-B0-C2-batch3-r143_vs_A2-B0-C2-batch3-r70,A2-B0-C2-batch3-r143,A2-B0-C2-batch3-r70,485700,478619,471828,471828,471828,5,5,5,4,4,4,tarea_actual_v4_escala40,A2-B0-C2-batch3-r143_vs_A2-B0-C2-batch3-r70,0.10000000000000003,0.09500000000000004,-0.0049999999999999906,1880.0000000000002,1785.9999999999998,-94.00000000000045,0.39351851851851805,0.4264705882352941,0.032952069716776056,False
A2-B0-C2-batch3-r1_vs_A2-B0-C2-batch3-r69,A2-B0-C2-batch3-r1,A2-B0-C2-batch3-r69,471926,478522,471828,471828,471828,6,6,6,7,7,7,tarea_actual_v3_escala20,A2-B0-C2-batch3-r1_vs_A2-B0-C2-batch3-r69,0.078,0.08800000000000001,0.010000000000000009,1466.3999999999999,1654.3999999999999,188.0,0.42,0.43113772455089827,0.011137724550898287,True
A2-B0-C2-batch3-r35_vs_A2-B0-C2-batch3-r31,A2-B0-C2-batch3-r35,A2-B0-C2-batch3-r31,475224,474836,471828,471828,471828,5,5,5,4,4,4,tarea_actual_v3_escala20,A2-B0-C2-batch3-r35_vs_A2-B0-C2-batch3-r31,0.09750000000000003,0.11700000000000002,0.01949999999999999,1833.0,2199.6,366.5999999999999,0.5312499999999999,0.8095238095238093,0.2782738095238094,True
A2-B0-C2-batch3-r44_vs_A2-B0-C2-batch3-r10,A2-B0-C2-batch3-r44,A2-B0-C2-batch3-r10,476097,472799,471828,471828,471828,5,5,5,7,7,7,tarea_actual_v3_escala20,A2-B0-C2-batch3-r44_vs_A2-B0-C2-batch3-r10,0.10150000000000003,0.12000000000000002,0.01849999999999999,1908.2000000000003,2256.0,347.7999999999997,0.5925925925925919,0.8823529411764706,0.28976034858387867,True
A2-B0-C2-batch3-r48_vs_A2-B0-C2-batch3-r25,A2-B0-C2-batch3-r48,A2-B0-C2-batch3-r25,476485,474254,471828,471828,471828,5,5,5,8,8,8,tarea_actual_v3_escala20,A2-B0-C2-batch3-r48_vs_A2-B0-C2-batch3-r25,0.09900000000000003,0.113,0.01399999999999997,1861.2,2124.4,263.20000000000005,0.47826086956521735,0.6865671641791045,0.2083062946138871,True
A2-B0-C2-batch3-r50_vs_A2-B0-C2-batch3-r21,A2-B0-C2-batch3-r50,A2-B0-C2-batch3-r21,476679,473866,471828,471828,471828,5,5,5,6,6,6,tarea_actual_v3_escala20,A2-B0-C2-batch3-r50_vs_A2-B0-C2-batch3-r21,0.10000000000000003,0.09650000000000004,-0.0034999999999999892,1880.0,1814.1999999999998,-65.80000000000018,0.5340314136125656,0.48387096774193544,-0.05016044587063012,True
A2-B0-C2-batch3-r53_vs_A2-B0-C2-batch3-r23,A2-B0-C2-batch3-r53,A2-B0-C2-batch3-r23,476970,474060,471828,471828,471828,5,5,5,7,7,7,tarea_actual_v3_escala20,A2-B0-C2-batch3-r53_vs_A2-B0-C2-batch3-r23,0.09600000000000003,0.11750000000000005,0.02150000000000002,1804.8,2209.0,404.20000000000005,0.43749999999999994,0.7638888888888888,0.3263888888888889,True
A2-B0-C2-batch3-r59_vs_A2-B0-C2-batch3-r58,A2-B0-C2-batch3-r59,A2-B0-C2-batch3-r58,477552,477455,471828,471828,471828,5,5,5,7,7,7,tarea_actual_v4_escala40,A2-B0-C2-batch3-r59_vs_A2-B0-C2-batch3-r58,0.10350000000000004,0.10250000000000004,-0.0010000000000000009,1945.8,1927.0,-18.799999999999955,0.6063829787234043,0.5737704918032787,-0.03261248692012564,True
A2-B0-C2-batch3-r5_vs_A2-B0-C2-batch3-r114,A2-B0-C2-batch3-r5,A2-B0-C2-batch3-r114,472314,482887,471828,471828,471828,6,6,6,6,6,6,tarea_actual_v3_escala20,A2-B0-C2-batch3-r5_vs_A2-B0-C2-batch3-r114,0.08100000000000003,0.09150000000000004,0.01050000000000001,1522.8,1720.2,197.4000000000001,0.35714285714285726,0.44117647058823545,0.08403361344537819,True
