subconjunto,unidad_agrupamiento,G,N,m_medio,n0,ICC,ICC_IC95_lo,ICC_IC95_hi,p_perm_ICC,F_anova,p_F,deff,N_eff,signos_k,signos_n,p_signos_crudo,p_signos_Neff,signos_k_eff,signos_n_eff,W,p_wilcoxon_crudo,p_wilcoxon_Neff,t_deff,gl_deff,p_t_deff,p_t_glG,p_signflip_conglomerado,n_flips,p_min_alcanzable_flip,p_signflip_dentro,boot_media,boot_IC95_lo,boot_IC95_hi,p_boot_conglomerados,t_medias_conglom,p_medias_conglom,se_naive,se_cluster_robusto,deff_empirico_CR,N_eff_empirico_CR,t_CR,gl_CR,p_CR,p_fisher_lotes,z_stouffer,p_stouffer_lotes
40_pares_original,lote_seed_base,5,40,8.0,6.75,0.0581,-0.2164,0.1503,0.2504,1.416,0.2489,1.4068,28.43,31,40,0.0006795482549932785,0.0037191659212112427,22,28,80.0,9.171886058346995e-06,0.0001841197919365207,4.522,27.43,0.00010665027571791381,0.01064442248210242,0.125,32,0.0625,4.999750012499375e-05,0.009315,0.00547,0.013157,0.0005,2.491,0.06737657826642458,0.001725,0.001914,1.2309,32.5,4.834,4,0.008436450952767037,,,
40_pares_original,kcap_del_par,5,40,8.0,5.7,-0.1035,-0.7316,0.2016,0.7813,0.465,0.7606,1.0,40.0,31,40,0.0006795482549932785,0.0006795482549932785,31,40,80.0,9.171886058346995e-06,9.17188605834698e-06,5.363,39.0,3.959588502626225e-06,0.005833917900942431,0.0625,32,0.0625,4.999750012499375e-05,0.009521,0.007875,0.0136,5e-05,4.743,0.009019793107349548,0.001725,0.000684,0.1572,254.48,13.527,4,0.00017283591497595577,,,
40_pares_original,K_del_par,6,40,6.667,6.11,-0.1073,-0.3151,-0.075,0.8508,0.408,0.8397,1.0,40.0,31,40,0.0006795482549932785,0.0006795482549932785,31,40,80.0,9.171886058346995e-06,9.17188605834698e-06,5.363,39.0,3.959588502626225e-06,0.003031501133425569,0.0625,64,0.03125,9.99950002499875e-05,0.009005,0.0062,0.010365,5e-05,3.566,0.01610672985428402,0.001725,0.000941,0.2974,134.49,9.834,5,0.00018520782533331924,,,
40_pares_original,tanda_generacion,3,40,13.333,12.4,0.0247,-0.1429,0.0289,0.2784,1.314,0.281,1.3044,30.66,31,40,0.0006795482549932785,0.003326892852783203,24,31,80.0,9.171886058346995e-06,0.00010282024947408962,4.696,29.66,5.625766745192139e-05,0.04248173082826823,0.25,8,0.25,4.999750012499375e-05,0.009599,0.0065,0.012625,5e-05,5.41,0.0325109303599375,0.001725,0.002063,1.4302,27.97,4.485,2,0.046296722141489235,,,
40_pares_original,componente_reglas_compartidas,36,40,1.111,1.104,-0.4009,-1.9129,0.0613,0.7386,0.684,0.7654,1.0,40.0,31,40,0.0006795482549932785,0.0006795482549932785,31,40,80.0,9.171886058346995e-06,9.17188605834698e-06,5.363,39.0,3.959588502626225e-06,5.339747449431079e-06,4.999750012499375e-05,20000,5e-05,4.999750012499375e-05,0.009259,0.006208,0.012467,5e-05,5.248,7.5624297146551374e-06,0.001725,0.001601,0.862,46.4,5.777,35,1.5209459531456332e-06,,,
40_pares_original,lote_x_kcap,11,40,3.636,3.26,-0.0017,-0.3598,0.5615,0.4686,0.994,0.4704,1.0,40.0,31,40,0.0006795482549932785,0.0006795482549932785,31,40,80.0,9.171886058346995e-06,9.17188605834698e-06,5.363,39.0,3.959588502626225e-06,0.0003175952738203274,0.0029296875,2048,0.0009765625,4.999750012499375e-05,0.009227,0.006147,0.012273,5e-05,3.447,0.006252677124877118,0.001725,0.001591,0.8506,47.02,5.815,10,0.00016945919005477967,,,
40_pares_original,lote_seed_base_sin_mixto,4,40,10.0,8.95,0.075,-0.1375,0.1745,0.173,1.726,0.179,1.6753,23.88,31,40,0.0006795482549932785,0.006610751152038574,19,24,80.0,9.171886058346995e-06,0.0006100568438042942,4.144,22.88,0.0003972915338452562,0.02552903268855066,0.125,16,0.125,4.999750012499375e-05,0.00936,0.005611,0.013719,5e-05,3.462,0.04058520866645304,0.001725,0.002006,1.3524,29.58,4.612,3,0.01917853805155959,,,
40_pares_original,kcap_del_par_sin_mixto,4,40,10.0,7.05,-0.0749,-0.366,0.2423,0.6951,0.509,0.6788,1.0,40.0,31,40,0.0006795482549932785,0.0006795482549932785,31,40,80.0,9.171886058346995e-06,9.17188605834698e-06,5.363,39.0,3.959588502626225e-06,0.012686890279724748,0.125,16,0.125,4.999750012499375e-05,0.009126,0.006808,0.011113,5e-05,3.896,0.030006258921924565,0.001725,0.00096,0.3098,129.11,9.636,3,0.0023727093773199034,,,
37_pares_validos_diam,lote_seed_base,5,37,7.4,6.351,0.0992,-0.1854,0.1598,0.1655,1.7,0.1744,1.6351,22.63,29,37,0.0007528970600105822,0.010622024536132812,18,23,57.0,8.867161522441586e-06,0.0005114398575634433,4.283,21.63,0.0003120335708408386,0.012815567647666254,0.125,32,0.0625,0.000199990000499975,0.009887,0.005274,0.01419,0.0004,2.501,0.06669144104921806,0.001806,0.002374,1.7276,21.42,4.167,4,0.014065988498877474,,,
37_pares_validos_diam,kcap_del_par,4,37,9.25,6.595,-0.0887,-0.9998,0.1407,0.7301,0.463,0.7101,1.0,37.0,29,37,0.0007528970600105822,0.0007528970600105822,29,37,57.0,8.867161522441586e-06,8.867161522441554e-06,5.477,36.0,3.4776389002717007e-06,0.011969013443907566,0.125,16,0.125,4.999750012499375e-05,0.010336,0.008641,0.015875,5e-05,6.061,0.009010301306663124,0.001806,0.000785,0.1888,195.98,12.605,3,0.0010767579691220756,,,
