brazo,corrida,n_sinks,n_sobrev,frac_sobrev,T0,T1,llego_tmax,kappa_P,kappa_P_abs,kappa_D,kappa_D_alt,kappa_V,masa_ini_tot,masa_fin_tot,t_nac_medio
REAL,ic_real,8,8,1.0,0.038,0.5,True,0.9810606060606061,0.9065000000000001,3.738839285714286,193.875,0.8179563492063491,573.4,2124.4,0.04675
REAL_extra,ic_real_s301,8,8,1.0,0.033,0.5,True,0.9839400428265526,0.919,3.921875,205.625,0.8838383838383836,564.0,2209.0,0.0405
REAL_extra,ic_real_s302,8,8,1.0,0.031,0.5,True,0.9717484008528786,0.9115000000000001,3.7544642857142856,202.10000000000002,0.9128968253968246,592.2,2209.0,0.044250000000000005
REAL_extra,ic_real_s303,8,8,1.0,0.033,0.5,True,0.9788543897216275,0.91425,4.020089285714286,215.025,1.0429067460317456,573.4,2293.6,0.042874999999999996
REAL_extra,ic_real_s304,8,8,1.0,0.037,0.5,True,0.9832613390928725,0.9105,3.8392857142857144,189.175,0.7124007936507935,535.8,2049.2000000000003,0.04475
REAL_extra,ic_real_s305,8,8,1.0,0.024,0.5,True,0.9598214285714286,0.91375,3.9878472222222223,213.85,0.9294056637806634,582.8,2293.6000000000004,0.043125
NULL_orig,ic_null1,8,8,1.0,0.162,0.5,True,0.8132396449704142,0.54975,1.508184523809524,30.550000000000004,0.6428571428571429,488.79999999999995,733.2,0.225125
NULL_orig,ic_null2,8,8,1.0,0.15,0.5,True,0.7657142857142858,0.536,1.4136904761904763,24.675,0.29166666666666685,488.8,686.2,0.23199999999999998
NULL_orig,ic_null3,8,8,1.0,0.144,0.5,True,0.769311797752809,0.54775,1.5446428571428572,31.725,0.48888888888889,469.99999999999994,723.8000000000001,0.226125
NULL_orig,ic_null4,7,7,1.0,0.115,0.5,True,0.7269016697588127,0.5597142857142857,1.564625850340136,34.91428571428572,0.857142857142857,432.4,676.8000000000001,0.22014285714285717
NULL_orig,ic_null5,8,8,1.0,0.174,0.5,True,0.798696319018405,0.52075,1.5178571428571428,30.549999999999997,0.6249999999999998,479.4,723.8000000000001,0.239625
NULL_orig,ic_null6,8,8,1.0,0.1,0.5,True,0.7584375,0.60675,1.5416666666666667,31.725,0.20833333333333565,469.99999999999994,723.8,0.196625
NULL_orig,ic_null7,8,8,1.0,0.132,0.5,True,0.7126358695652174,0.5245,1.648809523809524,37.6,0.6979166666666666,469.99999999999994,770.8,0.23775
NULL_orig,ic_null8,8,8,1.0,0.147,0.5,True,0.7680594900849859,0.54225,1.5208333333333335,30.549999999999997,0.33333333333333326,479.4,723.8000000000001,0.228875
