N,seed,n_surv,f_surv,excess_L2,excess_max,orden,orden_excess,L2_null_allN,L2_null_surv
250,1,127,0.508,0.3765455265609554,0.23720472440944884,0.696122957162238,0.6159276471041372,0.05916079783099616,0.08300460095396857
250,2,127,0.508,0.3614228980751254,0.16633858267716534,0.6255856005192313,0.547621650107252,0.05916079783099616,0.08300460095396857
250,3,129,0.516,0.35750430257914156,0.16957364341085274,0.664306516397448,0.5867729461056196,0.05916079783099616,0.08235864093362705
250,4,123,0.492,0.36394034473488274,0.18394308943089432,0.6911471558936937,0.6098138654302856,0.05916079783099616,0.08434347122457897
250,5,128,0.512,0.3561334787512963,0.15625,0.6746161804533616,0.5974811687132404,0.05916079783099616,0.08267972847076846
250,6,129,0.516,0.36416579982727143,0.1928294573643411,0.6677878283946972,0.5955009642164156,0.05916079783099616,0.08235864093362705
250,7,137,0.548,0.35556324675261297,0.14507299270072993,0.6394554842926211,0.5626996397126787,0.05916079783099616,0.07991784102357004
250,8,134,0.536,0.362036454376035,0.18843283582089554,0.677521048470278,0.6026755593695745,0.05916079783099616,0.08080749189443177
250,9,147,0.588,0.35685929786262743,0.1607142857142857,0.6494010489702806,0.5740010749223763,0.05916079783099616,0.07715167498104596
250,10,132,0.528,0.35806976660898404,0.15530303030303028,0.6658090283646952,0.5862597854238404,0.05916079783099616,0.0814173684098662
250,11,140,0.56,0.3582838915424129,0.16785714285714287,0.6689791452297653,0.5895450008411394,0.05916079783099616,0.07905694150420949
250,12,136,0.544,0.36006895725574395,0.16911764705882354,0.6781932754672848,0.5998066355905565,0.05916079783099616,0.08021111848996848
250,13,140,0.56,0.3544181780015793,0.13214285714285712,0.661539698843904,0.5897463723507756,0.05916079783099616,0.07905694150420949
250,14,144,0.576,0.3569471465526777,0.14583333333333331,0.6346069784856333,0.5622453010371902,0.05916079783099616,0.07795119555779044
250,15,127,0.508,0.3550190165005308,0.15059055118110237,0.6603380121742416,0.5808080121517797,0.05916079783099616,0.08300460095396857
250,16,130,0.52,0.3619065229599306,0.19038461538461537,0.6838174303581555,0.6052623211486162,0.05916079783099616,0.0820412654142367
250,17,135,0.54,0.3602220775165169,0.16388888888888886,0.6885131403478266,0.6146543278242471,0.05916079783099616,0.08050764858994132
250,18,144,0.576,0.3681210633527381,0.20833333333333331,0.6986411613276626,0.6240536660003028,0.05916079783099616,0.07795119555779044
250,19,145,0.58,0.3658992798523015,0.1853448275862069,0.6514217639526216,0.5765026503368438,0.05916079783099616,0.07768193328323317
250,20,138,0.552,0.35540504979866316,0.1503623188405797,0.6652315966999689,0.5917814338985439,0.05916079783099616,0.07962775715882577
250,21,129,0.516,0.3620142589159079,0.18507751937984496,0.6848528654735511,0.6088421068078542,0.05916079783099616,0.08235864093362705
250,22,128,0.512,0.3561334787512963,0.1484375,0.6624797677879862,0.5834923981435428,0.05916079783099616,0.08267972847076846
250,23,131,0.524,0.3635283298048622,0.18797709923664124,0.6596630726563125,0.5858653235642114,0.05916079783099616,0.08172753093650327
250,24,134,0.536,0.3542615209378484,0.13619402985074625,0.6411651518379003,0.5607086297490943,0.05916079783099616,0.08080749189443177
250,25,133,0.532,0.3580617383792251,0.1531954887218045,0.6732310141971162,0.5976812440435453,0.05916079783099616,0.08111071056538127
250,26,129,0.516,0.36957115359543086,0.18507751937984496,0.63079051524332,0.5518373115312151,0.05916079783099616,0.08235864093362705
250,27,134,0.536,0.35770331227483176,0.1585820895522388,0.6494106717234597,0.5736699312168145,0.05916079783099616,0.08080749189443177
250,28,138,0.552,0.35570042076159075,0.1503623188405797,0.654474304145971,0.5770945027559553,0.05916079783099616,0.07962775715882577
250,29,134,0.536,0.35941184845519486,0.17350746268656714,0.6830180722510129,0.6054241296001655,0.05916079783099616,0.08080749189443177
250,30,143,0.572,0.3634261764786824,0.19667832167832167,0.6746460736508302,0.6012223392024532,0.05916079783099616,0.07822327734684298
250,31,135,0.54,0.3551598878721537,0.14166666666666666,0.6677635438000032,0.5916176739105412,0.05916079783099616,0.08050764858994132
250,32,131,0.524,0.35917429862982125,0.15744274809160308,0.6738651184458526,0.6026061908880131,0.05916079783099616,0.08172753093650327
250,33,138,0.552,0.3621376358469061,0.17934782608695654,0.6777314415619062,0.608009129463459,0.05916079783099616,0.07962775715882577
250,34,130,0.52,0.3579610239600901,0.1596153846153846,0.6824736014570828,0.606885435319319,0.05916079783099616,0.0820412654142367
250,35,141,0.564,0.36036988693519834,0.1799645390070922,0.6667154560872869,0.5889808780904264,0.05916079783099616,0.07877609890611015
250,36,143,0.572,0.3631569594028145,0.1687062937062937,0.647934728079523,0.5739539549524169,0.05916079783099616,0.07822327734684298
250,37,136,0.544,0.36096875613628165,0.18382352941176472,0.6860668297754174,0.6100912676707255,0.05916079783099616,0.08021111848996848
250,38,134,0.536,0.3570799995603057,0.1585820895522388,0.6533007600889121,0.5790965825788313,0.05916079783099616,0.08080749189443177
250,39,135,0.54,0.3620453252816545,0.16388888888888886,0.6523416686730386,0.5739494329201501,0.05916079783099616,0.08050764858994132
250,40,131,0.524,0.3612772342965687,0.17270992366412213,0.6925839769287686,0.6171804371799188,0.05916079783099616,0.08172753093650327
250,41,138,0.552,0.3595181610552441,0.1503623188405797,0.682837115255265,0.6101000609241258,0.05916079783099616,0.07962775715882577
250,42,144,0.576,0.3686447066663055,0.1597222222222222,0.6216016000062492,0.5497343893904012,0.05916079783099616,0.07795119555779044
250,43,136,0.544,0.3540118563885507,0.13970588235294118,0.6612641963469386,0.586866851471058,0.05916079783099616,0.08021111848996848
250,44,129,0.516,0.35412656588002467,0.13856589147286824,0.6557904714241554,0.5792931377444526,0.05916079783099616,0.08235864093362705
250,45,132,0.528,0.3575885976123014,0.15530303030303028,0.6245951459164517,0.5453585346981895,0.05916079783099616,0.0814173684098662
250,46,138,0.552,0.3606847207172411,0.1721014492753623,0.6896175478117043,0.6159298103269799,0.05916079783099616,0.07962775715882577
250,47,126,0.504,0.3543541920508861,0.14484126984126983,0.6576889029907474,0.5757314076218938,0.05916079783099616,0.08333333333333333
250,48,131,0.524,0.35460254327451496,0.14217557251908397,0.6677473101666568,0.5933148793352245,0.05916079783099616,0.08172753093650327
250,49,124,0.496,0.36047575223591954,0.1814516129032258,0.679487630248091,0.6004003592122749,0.05916079783099616,0.08400268812903088
250,50,130,0.52,0.3591162723149985,0.15192307692307694,0.6837536932897297,0.6059077192176227,0.05916079783099616,0.0820412654142367
500,1,259,0.518,0.35721850393682925,0.16843629343629346,0.6717763781280365,0.6158389670830661,0.04183300132670378,0.05812381937190964
500,2,252,0.504,0.35590614801235976,0.1527777777777778,0.6656570655338797,0.6094287627806303,0.04183300132670378,0.05892556509887896
500,3,263,0.526,0.3544263695596429,0.1411596958174905,0.6552206449178736,0.6018586683687698,0.04183300132670378,0.05768011960562002
500,4,255,0.51,0.3572476915395566,0.16911764705882354,0.6717731382174652,0.6113066920255583,0.04183300132670378,0.05857791861290061
500,5,267,0.534,0.3537269283411074,0.13342696629213485,0.6482679293386382,0.5949833875238313,0.04183300132670378,0.057246428343193906
500,6,261,0.522,0.35683387179595444,0.16618773946360155,0.6375382391217861,0.5843748043169084,0.04183300132670378,0.0579006944816376
