brazo,N,semilla,alpha,theta_cp,tau_final,k_micro,alcanzo_tau_cap,n_vivos_fin,vivos_ge2_fin,n_vivos_kmatch,vivos_ge2_kmatch,vivos_ge2_en_taucap,n_aristas,diametro,componentes,delta_struct,rho,phi_frustracion,ds_max,cn4_positivo,S_final_max,S_final_suma,n_con_borde,frac_c_positiva_input,media_c_input,competencia_pasos,fusion_aristas_max,aniquilacion,omega
REAL,4,1,1.0,0.0,226,1375,0,0,0,2,1,0,0,0,0,196.5918753691603,0.4137572637367868,0.0,0.0,0,9.963056005479228e-07,1.992629607008747e-06,0,0.5,-0.1666666666666666,226,2,1,3 4 6 7
REAL,4,2,1.0,0.0,500,500,1,3,1,3,1,1,1,1,2,8610564427.621845,0.99999999543263,0.0,1.0,0,163596582.24037313,327193164.4873167,3,0.5,-0.16666666666666666,17,1,0,6 2 0 2
REAL,4,3,1.0,0.0,500,500,1,3,1,3,1,1,3,1,1,2.9586265659879284e+16,0.9999999999999987,-4.1375569220912345e-17,1.0854101966239598,0,446090877185283.8,1232964860398395.5,3,0.5,0.1666666666666666,15,3,0,6 0 1 1
REAL,4,4,1.0,0.0,500,500,1,3,1,3,1,1,1,1,2,6782002428.110386,0.9999999893831255,-1.2418829204459109e-21,1.4999999959700763,0,128854782.13019435,257709564.27364177,3,0.6666666666666666,0.04881553646890879,30,2,0,5 7 7 4
REAL,4,5,1.0,0.0,500,500,1,3,1,3,1,1,3,1,1,3.207094020481608e+16,0.9999999999999988,-2.2204460492503175e-16,1.0854101966258456,0,483553889923346.25,1336510080962941.8,3,0.5,0.2845177968644245,15,3,0,5 6 0 6
REAL,4,6,1.0,0.0,500,500,1,4,1,4,1,1,6,1,1,3.5099455614422925e+17,1.0,-8.274527712575328e-17,1.261203901332609,0,4646299435682458.0,1.4736076981662044e+16,4,1.0,0.5202200572599405,0,6,0,3 4 4 2
REAL,4,7,1.0,0.0,500,500,1,4,1,4,1,1,2,1,2,27197827905.454388,1.0,-2.949056920011449e-17,1.0000000000000016,0,258372825.00816503,1033491300.0326581,4,1.0,0.3333333333333333,0,2,0,7 5 5 7
REAL,4,8,1.0,0.0,500,500,1,2,1,2,1,1,1,1,1,4530930.103980909,0.99998388519488,0.0,1.0000029033729223,0,77057.11488803863,154114.22457744123,2,0.3333333333333333,-0.28451779686442463,49,1,1,5 2 1 7
REAL,4,9,1.0,0.0,189,226,0,0,0,0,0,0,0,0,0,166.00464550318543,0.2928932188134509,0.0,0.0,0,9.529909454883593e-07,3.8119637816527785e-06,0,0.3333333333333333,-0.3333333333333333,226,2,1,3 6 7 2
REAL,4,10,1.0,0.0,226,1375,0,0,0,2,1,0,0,0,0,196.5918753691603,0.4137572637367867,0.0,0.0,0,9.963056005479228e-07,1.9926296070087466e-06,0,0.3333333333333333,-0.16666666666666674,1374,2,1,6 7 2 1
REAL,4,11,1.0,0.0,500,500,1,3,1,3,1,1,1,1,2,10091997617.553587,0.9999999960881021,4.787769287529368e-22,1.0,0,191743100.40624455,383486200.8170665,3,0.5,-0.18688672392660713,16,1,0,1 1 6 3
