brazo,N,semilla,alpha,theta_cp,tau_final,n_vivos_fin,n_aristas,t_hat_mod,asimetria,rho,rho_menos_medio,tracking_score,degenerada,tracking_limpio,flujo_neto_suma,flujo_neto_medio,criterio_B,ds_max
REAL,4,1,1.0,0.1,500,2,1,19611.708979178602,0.19966683336612584,0.9999644841501545,0.4999644841501545,0.11960886885275902,0,1,-1.0608847134108146e-11,-2.6522117835270365e-12,evaluable,1.3333391362880385
REAL,4,2,1.0,0.1,500,3,3,8903176.92894108,0.058127091130312725,0.980252288223811,0.48025228822381105,0.8164965883204672,0,1,2.7939677238464355e-09,6.984919309616089e-10,evaluable,1.4801214468769521
REAL,4,3,1.0,0.1,500,3,3,68775403347936.43,0.13896486177554046,0.9999999999999978,0.4999999999999978,0.472097853593066,0,1,0.015625,0.00390625,evaluable,1.1808231596280658
REAL,4,4,1.0,0.1,500,3,3,2738131.5268081496,0.05814971496443784,0.9802448081037437,0.4802448081037437,0.7071070658824921,0,1,-1.0216010259966879e-09,-2.5540025649917197e-10,evaluable,1.4801139300920683
REAL,4,5,1.0,0.1,500,3,3,88001324728250.55,0.13896486177475567,0.9999999999999989,0.4999999999999989,0.430964406271157,0,1,0.0390625,0.009765625,evaluable,1.1345321309526677
REAL,4,6,1.0,0.1,500,4,6,720551474832104.1,0.19522403606645067,0.9801183367915879,0.4801183367915879,0.9773552099988173,0,1,-0.75,-0.1875,evaluable,1.3232078138337817
REAL,4,7,1.0,0.1,500,2,1,131.88209332278592,1.145444622959286e-07,0.9999999427277795,0.4999999427277795,1.0,0,1,2.135590193574899e-07,5.338975483937247e-08,evaluable,1.0
REAL,4,8,1.0,0.1,500,2,1,17488.313007278328,0.19966683337353872,0.9999668416510068,0.4999668416510068,0.27062799403536614,0,1,2.5013324744804777e-13,6.253331186201194e-14,evaluable,1.3333377844122032
REAL,4,9,1.0,0.1,190,0,0,1.4218225378524858e-14,0.14153888155195657,0.29289321881345065,-0.20710678118654935,,1,0,1.1102230246251565e-16,2.7755575615628914e-17,evaluable,0.0
REAL,4,10,1.0,0.1,500,2,1,19611.708979178675,0.19966683336612673,0.9999644841501545,0.4999644841501545,0.11960886885275894,0,1,-1.0605738509639195e-11,-2.651434627409799e-12,evaluable,1.3333391362880382
