mode,vertex3,N,seed,n_surv,f_surv,tau,orden_color,gluon_frac_surv,n_triplets,coup_higgs,coup_gluon,L2_K8,ratio_L2_K8,phi_peak,phi_final,frac_higgs_surv,mass_ratio,orden_charge,L2_K3,ratio_L2_K3
gauge,False,500,1,150,0.3,240,0.5773502691896257,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gauge,True,500,1,152,0.304,240,0.5697535551213413,0.01,10000,0.0,3608.290376865029,0.6123724356957945,0.9258200997725513,0.0,0.0,0.0,0.0,,,
gauge,False,500,2,150,0.3,240,0.5773502691896257,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gauge,True,500,2,154,0.308,240,0.5623541583015835,0.02,10000,0.0,3608.290376865029,0.3535533905932738,0.7559289460184545,0.0,0.0,0.0,0.0,,,
gauge,False,500,3,150,0.3,240,0.5773502691896257,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gauge,True,500,3,153,0.306,240,0.5660296756761037,0.015,10000,0.0,3608.290376865029,0.4564354645876384,0.8451542547285165,0.0,0.0,0.0,0.0,,,
gauge,False,500,4,150,0.3,240,0.5773502691896257,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gauge,True,500,4,151,0.302,240,0.5735267574731382,0.005,10000,0.0,3608.290376865029,0.9354143466934853,1.0,0.0,0.0,0.0,0.0,,,
gauge,False,500,5,150,0.3,240,0.5773502691896257,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gauge,True,500,5,153,0.306,240,0.5660296756761037,0.015,10000,0.0,3608.290376865029,0.4564354645876384,0.8451542547285165,0.0,0.0,0.0,0.0,,,
gauge,False,500,6,150,0.3,240,0.5773502691896257,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gauge,True,500,6,151,0.302,240,0.5735267574731382,0.005,10000,0.0,3608.290376865029,0.9354143466934853,1.0,0.0,0.0,0.0,0.0,,,
gauge,False,500,7,150,0.3,240,0.5773502691896257,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gauge,True,500,7,128,0.256,240,0.5833798344560772,0.02,10000,0.0,3608.290376865029,0.3535533905932738,0.7559289460184545,0.0,0.0,0.0,0.0,,,
gauge,False,500,8,150,0.3,240,0.5773502691896257,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gauge,True,500,8,153,0.306,240,0.5660296756761037,0.015,10000,0.0,3608.290376865029,0.4564354645876384,0.8451542547285165,0.0,0.0,0.0,0.0,,,
gauge,False,2000,1,600,0.3,240,0.5773502691896257,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gauge,True,2000,1,601,0.3005,240,0.5763896198232537,0.00125,10000,0.0,3608.290376865029,0.9354143466934853,1.0,0.0,0.0,0.0,0.0,,,
gauge,False,2000,2,600,0.3,240,0.5773502691896257,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gauge,True,2000,2,600,0.3,240,0.5773502691896257,0.0,10000,0.0,3608.290376865029,0.0,0.0,0.0,0.0,0.0,0.0,,,
gauge,False,2000,3,600,0.3,240,0.5773502691896257,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gauge,True,2000,3,602,0.301,240,0.5754321619830157,0.0025,10000,0.0,3608.290376865029,0.6123724356957945,0.9258200997725513,0.0,0.0,0.0,0.0,,,
gauge,False,2000,4,600,0.3,240,0.5773502691896257,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gauge,True,2000,4,601,0.3005,240,0.5763896198232537,0.00125,10000,0.0,3608.290376865029,0.9354143466934853,1.0,0.0,0.0,0.0,0.0,,,
gauge,False,2000,5,600,0.3,240,0.5773502691896257,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gauge,True,2000,5,601,0.3005,240,0.5763896198232537,0.00125,10000,0.0,3608.290376865029,0.9354143466934853,1.0,0.0,0.0,0.0,0.0,,,
gauge,False,2000,6,600,0.3,240,0.5773502691896257,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gauge,True,2000,6,600,0.3,240,0.5773502691896257,0.0,10000,0.0,3608.290376865029,0.0,0.0,0.0,0.0,0.0,0.0,,,
gauge,False,2000,7,600,0.3,240,0.5773502691896257,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gauge,True,2000,7,604,0.302,240,0.5735267574731382,0.005,10000,0.0,3608.290376865029,0.3535533905932738,0.7559289460184545,0.0,0.0,0.0,0.0,,,
gauge,False,2000,8,600,0.3,240,0.5773502691896257,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
gauge,True,2000,8,604,0.302,240,0.5735267574731382,0.005,10000,0.0,3608.290376865029,0.3535533905932738,0.7559289460184545,0.0,0.0,0.0,0.0,,,
yukawa,False,500,1,234,0.468,240,0.441227675184284,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23789173789173787,0.4973448384949113,9.317752562743486
yukawa,True,500,1,235,0.47,240,0.4393501106090317,0.0,400,23.999999999999872,0.0,0.0,0.0,0.010210044224513036,0.010210044224513036,0.002,1.0000988370975301,0.23687943262411348,0.4923804516116775,9.24443478359197
yukawa,False,500,2,232,0.464,240,0.535125447859184,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1221264367816092,0.4111505660349407,7.669914354599832
yukawa,True,500,2,260,0.52,240,0.47749655347434883,0.0,400,23.999999999999872,0.0,0.0,0.0,2.818344583128787,2.818344583128787,0.002,0.9942869540196393,0.10897435897435898,0.27975757327150474,5.524769399991
yukawa,False,500,3,235,0.47,240,0.5336821705114145,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12482269503546098,0.4107356662573123,7.711555297498875
yukawa,True,500,3,236,0.472,240,0.5314208053821289,0.0,400,23.999999999999872,0.0,0.0,0.0,0.01397703716882017,0.01397703716882017,0.002,1.0000450567656538,0.12429378531073447,0.4055566596123086,7.63050301560693
yukawa,False,500,4,234,0.468,240,0.43817487838590896,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3361823361823361,0.48721697261694347,9.128007056335617
yukawa,True,500,4,273,0.546,240,0.3755784671879219,0.0,400,23.999999999999872,0.0,0.0,0.0,2.8185323783328107,2.8185323783328107,0.002,0.9941801186292265,0.28815628815628813,0.32615134490186176,6.600033299949294
yukawa,False,500,5,239,0.478,240,0.4351866733897837,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3389121338912133,0.4990259707303432,9.448605750459432
yukawa,True,500,5,267,0.534,240,0.38954911962606104,0.0,400,23.999999999999872,0.0,0.0,0.0,2.818722043519605,2.818722043519605,0.002,0.9892058489676353,0.30337078651685395,0.3798498844496809,7.601744329687271
yukawa,False,500,6,240,0.48,240,0.4302373376017784,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34027777777777773,0.49332347963132217,9.360154913247964
