cond,chiral,vertex3,theta_deg,beta_mem,sigma_e,shuffle_signs,N,seed,n_surv,f_surv,tau,orden_color,orden_charge,n_triplets,coup_higgs,phi_final,frac_higgs_surv,mass_ratio,mem_norm,L2_K3,ratio_L2_K3,alpha_loop
chiral_on,True,True,1.74,0.446,0.0012,False,500,1,235,0.47,240,0.4393501106090317,0.23687943262411348,400,23.999999999999872,0.002157125313104041,0.2,1.0000988821208352,0.8034701186590419,0.4923804516116775,9.24443478359197,0.573
chiral_on,True,True,1.74,0.446,0.0012,False,500,2,234,0.468,240,0.5305517260826098,0.12108262108262109,400,23.999999999999872,0.004380832975514025,0.16666666666666666,0.9871939190536815,0.3440000087648529,0.4007079716147365,7.507261442028934,0.573
chiral_on,True,True,1.74,0.446,0.0012,False,500,3,236,0.472,240,0.5314208053821289,0.12429378531073447,400,23.999999999999872,0.0013369652497660944,0.2,1.000045057923566,0.4094993437400443,0.4055566596123086,7.63050301560693,0.573
chiral_on,True,True,1.74,0.446,0.0012,False,500,4,234,0.468,240,0.43817487838590896,0.3361823361823361,400,23.999999999999872,0.0,0.0,0.0,0.8604557864084483,0.48721697261694347,9.128007056335617,0.573
chiral_on,True,True,1.74,0.446,0.0012,False,2000,1,960,0.48,240,0.3000072337090854,0.41527777777777775,400,23.999999999999872,2.8173445601824154,0.043478260869565216,1.0103424360401418,1.3043953056006656,0.5901002592544949,22.3927304052007,0.573
chiral_on,True,True,1.74,0.446,0.0012,False,2000,2,920,0.46,240,0.31087336574143853,0.4344202898550725,400,23.999999999999872,0.0,0.0,0.0,0.851578764545976,0.635702009386867,23.61528152995705,0.573
chiral_on,True,True,1.74,0.446,0.0012,False,2000,3,956,0.478,240,0.2991650086259466,0.4205020920502092,400,23.999999999999872,2.81846726155921,0.043478260869565216,1.0026474852936405,1.2685326217018629,0.5950261806393071,22.532565925714113,0.573
chiral_on,True,True,1.74,0.446,0.0012,False,2000,4,920,0.46,240,0.3086975658238297,0.4391304347826087,400,23.999999999999872,0.0,0.0,0.0,1.0547537556081295,0.6392438034127811,23.746853338458568,0.573
vertex3_off,False,False,1.74,0.446,0.0012,False,500,1,234,0.468,240,0.441227675184284,0.23789173789173787,0,0.0,0.0,0.0,0.0,0.0,0.4973448384949113,9.317752562743486,0.573
vertex3_off,False,False,1.74,0.446,0.0012,False,500,2,232,0.464,240,0.535125447859184,0.1221264367816092,0,0.0,0.0,0.0,0.0,0.0,0.4111505660349407,7.669914354599832,0.573
vertex3_off,False,False,1.74,0.446,0.0012,False,500,3,235,0.47,240,0.5336821705114145,0.12482269503546098,0,0.0,0.0,0.0,0.0,0.0,0.4107356662573123,7.711555297498875,0.573
vertex3_off,False,False,1.74,0.446,0.0012,False,500,4,234,0.468,240,0.43817487838590896,0.3361823361823361,0,0.0,0.0,0.0,0.0,0.0,0.48721697261694347,9.128007056335617,0.573
vertex3_off,False,False,1.74,0.446,0.0012,False,2000,1,925,0.4625,240,0.31135885876834807,0.430990990990991,0,0.0,0.0,0.0,0.0,0.0,0.6319329667057612,23.538972858713336,0.573
vertex3_off,False,False,1.74,0.446,0.0012,False,2000,2,920,0.46,240,0.31087336574143853,0.4344202898550725,0,0.0,0.0,0.0,0.0,0.0,0.635702009386867,23.61528152995705,0.573
vertex3_off,False,False,1.74,0.446,0.0012,False,2000,3,921,0.4605,240,0.3105339286063029,0.4364820846905538,0,0.0,0.0,0.0,0.0,0.0,0.6370630118297489,23.678698903422834,0.573
vertex3_off,False,False,1.74,0.446,0.0012,False,2000,4,920,0.46,240,0.3086975658238297,0.4391304347826087,0,0.0,0.0,0.0,0.0,0.0,0.6392438034127811,23.746853338458568,0.573
v3_symmetric,False,True,1.74,0.446,0.0012,False,500,1,235,0.47,240,0.4393501106090317,0.23687943262411348,400,23.999999999999872,0.010210044224513036,0.2,1.0000988370975301,0.0,0.4923804516116775,9.24443478359197,0.573
v3_symmetric,False,True,1.74,0.446,0.0012,False,500,2,260,0.52,240,0.47749655347434883,0.10897435897435898,400,23.999999999999872,2.818344583128787,0.16666666666666666,0.9942869540196393,0.0,0.27975757327150474,5.524769399991,0.573
v3_symmetric,False,True,1.74,0.446,0.0012,False,500,3,236,0.472,240,0.5314208053821289,0.12429378531073447,400,23.999999999999872,0.01397703716882017,0.2,1.0000450567656538,0.0,0.4055566596123086,7.63050301560693,0.573
v3_symmetric,False,True,1.74,0.446,0.0012,False,500,4,273,0.546,240,0.3755784671879219,0.28815628815628813,400,23.999999999999872,2.8185323783328107,0.16666666666666666,0.9941801186292265,0.0,0.32615134490186176,6.600033299949294,0.573
v3_symmetric,False,True,1.74,0.446,0.0012,False,2000,1,960,0.48,240,0.3000072337090854,0.41527777777777775,400,23.999999999999872,2.8180934584559663,0.043478260869565216,1.0102534851430363,0.0,0.5901002592544949,22.3927304052007,0.573
v3_symmetric,False,True,1.74,0.446,0.0012,False,2000,2,951,0.4755,240,0.3007397439349353,0.4202593760953383,400,23.999999999999872,2.818284135736099,0.041666666666666664,1.0168868264275888,0.0,0.5982353178161963,22.594770618574415,0.573
