brazo,Dt,N,seed,fg,diam,dmean,d95,dgrow,ver
CONTROL,2,1024,1,0.64453125,21,0.0,0.0,2.176992132675882,AZAR(exp)
FRENTE,2,1024,1,0.9169921875,19,0.0,0.0,2.2327303849554734,AZAR(exp)
TEJIDO,2,1024,1,0.64453125,21,0.0,0.0,2.176992132675882,AZAR(exp)
FRENTE+TEJIDO,2,1024,1,0.9169921875,19,0.0,0.0,2.2327303849554734,AZAR(exp)
AZAR,2,1024,1,0.75,24,0.8813559322033898,2.5,2.15405404448578,AZAR(exp)
CONTROL,2,1024,2,0.607421875,22,0.0,0.0,2.0950162674825807,AZAR(exp)
FRENTE,2,1024,2,0.9091796875,19,0.0,0.0,2.2465165878148627,AZAR(exp)
TEJIDO,2,1024,2,0.607421875,22,0.0,0.0,2.0950162674825807,AZAR(exp)
FRENTE+TEJIDO,2,1024,2,0.9091796875,19,0.0,0.0,2.2465165878148627,AZAR(exp)
AZAR,2,1024,2,0.732421875,22,0.8561591625165159,2.5,2.197574781859091,AZAR(exp)
CONTROL,2,4096,1,0.589111328125,25,0.0,0.0,2.5333103899711644,AZAR(exp)
FRENTE,2,4096,1,0.915771484375,24,0.0,0.0,2.6450415859338805,AZAR(exp)
TEJIDO,2,4096,1,0.589111328125,25,0.0,0.0,2.5333103899711644,AZAR(exp)
FRENTE+TEJIDO,2,4096,1,0.915771484375,24,0.0,0.0,2.6450415859338805,AZAR(exp)
AZAR,2,4096,1,0.747802734375,30,0.9033185728100982,2.5,2.676238470663496,AZAR(exp)
CONTROL,2,4096,2,0.59033203125,27,0.0,0.0,2.463319144739993,AZAR(exp)
FRENTE,2,4096,2,0.916015625,23,0.0,0.0,2.6727784787499704,AZAR(exp)
TEJIDO,2,4096,2,0.59033203125,27,0.0,0.0,2.463319144739993,AZAR(exp)
FRENTE+TEJIDO,2,4096,2,0.916015625,23,0.0,0.0,2.6727784787499704,AZAR(exp)
AZAR,2,4096,2,0.743408203125,32,0.9184368330114849,2.5,2.612951552824713,AZAR(exp)
CONTROL,2,16384,1,0.5892333984375,31,0.0,0.0,2.889895537202454,AZAR(exp)
FRENTE,2,16384,1,0.91387939453125,27,0.0,0.0,3.061986161775725,AZAR(exp)
TEJIDO,2,16384,1,0.5892333984375,31,0.0,0.0,2.889895537202454,AZAR(exp)
FRENTE+TEJIDO,2,16384,1,0.91387939453125,27,0.0,0.0,3.061986161775725,AZAR(exp)
AZAR,2,16384,1,0.74261474609375,31,1.005267979844251,2.5,3.0814980819388227,AZAR(exp)
CONTROL,2,16384,2,0.5904541015625,31,0.0,0.0,2.943170671346919,AZAR(exp)
FRENTE,2,16384,2,0.9136962890625,27,0.0,0.0,3.029333633877578,AZAR(exp)
TEJIDO,2,16384,2,0.5904541015625,31,0.0,0.0,2.943170671346919,AZAR(exp)
FRENTE+TEJIDO,2,16384,2,0.9136962890625,27,0.0,0.0,3.029333633877578,AZAR(exp)
AZAR,2,16384,2,0.743408203125,28,0.9949435918284378,2.5,3.117589209503589,AZAR(exp)
