brazo,Dt,N,seed,fg,clu,ev,diam,dmean,d95,dgrow,ver
ARBOL,2,1024,1,0.64453125,0.0009208103130755064,1.0,21,0.0,0.0,2.176992132675882,AZAR(exp)
CICLOS,2,1024,1,1.0,0.008264462809917356,1.0,301,0.0,0.0,1.053316724161501,GEOMETRIA
AZAR,2,1024,1,0.7900390625,0.0,1.1466965285554311,18,0.7920802158090293,2.0,2.293042489259242,AZAR(exp)
ARBOL,2,1024,2,0.607421875,0.0019298245614035089,1.0,22,0.0,0.0,2.0950162674825807,AZAR(exp)
CICLOS,2,1024,2,1.0,0.009322033898305085,1.0,307,0.0,0.0,1.046747399716174,GEOMETRIA
AZAR,2,1024,2,0.791015625,0.00024783147459727387,1.158371040723982,18,0.7300030490903547,2.0,2.3633464442571626,AZAR(exp)
ARBOL,2,4096,1,0.589111328125,0.0,1.0,25,0.0,0.0,2.5333103899711644,AZAR(exp)
CICLOS,2,4096,1,1.0,0.0,1.0,1194,0.0,0.0,0.9891036735053798,GEOMETRIA
AZAR,2,4096,1,0.7958984375,0.0,1.1649601820250284,26,0.8073242734259684,2.0,2.798786280932531,AZAR(exp)
ARBOL,2,4096,2,0.59033203125,0.0008818342151675485,1.0,27,0.0,0.0,2.463319144739993,AZAR(exp)
CICLOS,2,4096,2,1.0,0.0,1.0,1236,0.0,0.0,0.9987697802929406,GEOMETRIA
AZAR,2,4096,2,0.801513671875,0.0,1.1463755947383152,26,0.8261510316089034,2.0,2.747710035486131,AZAR(exp)
ARBOL,2,16384,1,0.5892333984375,0.0,1.0,31,0.0,0.0,2.889895537202454,AZAR(exp)
CICLOS,2,16384,1,1.0,0.0,1.0,4763,0.0,0.0,0.9953844259762339,GEOMETRIA
AZAR,2,16384,1,0.8031005859375,0.0,1.1508850800786738,28,0.8824502468570266,2.5,3.1828316272141293,AZAR(exp)
ARBOL,2,16384,2,0.5904541015625,0.0,1.0,31,0.0,0.0,2.943170671346919,AZAR(exp)
CICLOS,2,16384,2,1.0,0.0,1.0,4873,0.0,0.0,1.0041800299663786,GEOMETRIA
AZAR,2,16384,2,0.798828125,0.0,1.1557562076749435,26,0.8877426567740624,2.5,3.2234495041310876,AZAR(exp)
