brazo,Dt,N,seed,fg,clu,ev,diam,dmean,d95,dgrow,ver
ARBOL,2,1024,1,0.64453125,0.0009208103130755064,1.0,21,0.0,0.0,2.176992132675882,AZAR(exp)
CICLOS,2,1024,1,0.568359375,0.4300228310502283,1.3350515463917525,20,0.006540438743828574,0.0,2.00136284919914,AZAR(exp)
AZAR,2,1024,1,0.6357421875,0.0,1.3350515463917525,34,0.9245431872550517,3.0,1.9170944441485867,AZAR(exp)
ARBOL,2,1024,2,0.607421875,0.0019298245614035089,1.0,22,0.0,0.0,2.0950162674825807,AZAR(exp)
CICLOS,2,1024,2,0.5810546875,0.3970695970695971,1.3058823529411765,21,0.011764406951926008,0.0,2.0083670748415554,AZAR(exp)
AZAR,2,1024,2,0.6025390625,0.0,1.3058823529411765,24,1.020073178168513,3.0,1.920133292214799,GEOMETRIA
ARBOL,2,1024,3,0.580078125,0.0008375209380234505,1.0,20,0.0,0.0,2.039484295245057,GEOMETRIA
CICLOS,2,1024,3,0.580078125,0.45422374429223744,1.3417508417508417,25,0.01271617497456765,0.0,1.9392288444297336,AZAR(exp)
AZAR,2,1024,3,0.6298828125,0.0016349887594522786,1.3417508417508417,33,0.9973550356052899,3.0,2.0170227576874846,GEOMETRIA
ARBOL,2,1024,4,0.615234375,0.0018416206261510127,1.0,20,0.0,0.0,2.0473567511252995,AZAR(exp)
CICLOS,2,1024,4,0.578125,0.4777777777777778,1.3344594594594594,21,0.019056814716942778,0.0,1.936544274456684,AZAR(exp)
AZAR,2,1024,4,0.5771484375,0.0,1.3344594594594594,31,0.736558593352983,2.5,1.9448779010499433,AZAR(exp)
ARBOL,2,1024,5,0.6025390625,0.0005181347150259067,1.0,20,0.0,0.0,2.0863859289286433,AZAR(exp)
CICLOS,2,1024,5,0.583984375,0.4602787456445993,1.342809364548495,19,0.05006362942224485,0.5,2.0569390622796098,AZAR(exp)
AZAR,2,1024,5,0.62890625,0.001366120218579235,1.342809364548495,25,1.0254772206668363,3.0,1.9943923628978983,AZAR(exp)
ARBOL,2,1024,6,0.60546875,0.002131782945736434,1.0,22,0.0,0.0,2.098778811755745,AZAR(exp)
CICLOS,2,1024,6,0.5546875,0.4488810365135453,1.3327464788732395,18,0.05064063453325198,0.5,2.0294705276120615,AZAR(exp)
AZAR,2,1024,6,0.515625,0.0,1.3327464788732395,26,0.8118008948545862,2.5,1.910676509990515,GEOMETRIA
ARBOL,2,1024,7,0.583984375,0.0009057971014492753,1.0,21,0.0,0.0,2.0650375442534052,GEOMETRIA
CICLOS,2,1024,7,0.5859375,0.44837962962962963,1.35,25,0.05094714329361442,0.5,2.0061873592095454,AZAR(exp)
AZAR,2,1024,7,0.6279296875,0.002,1.35,24,0.8579285059578369,2.5,2.014700344529727,AZAR(exp)
