brazo,Dt,Nhalf,seed,N,ng,fg,diam,dmean,d95,dgrow,turn,ver
REGLA,2,512,1,1024,303,0.591796875,10,0.5597546699241615,1.5,2.5395635389556106,2.3693381053857023,AZAR(exp)
CONTROL,2,512,1,1024,303,0.591796875,10,0.5711813508423678,1.5,2.5299546417439016,2.293467031552339,AZAR(exp)
REGLA,2,512,2,1024,301,0.587890625,9,0.5749059863807298,1.5,2.4873306732116878,2.2839315250788634,AZAR(exp)
CONTROL,2,512,2,1024,301,0.587890625,10,0.5595843073483078,1.5,2.5004780530167268,2.3495742987695345,AZAR(exp)
REGLA,2,512,3,1024,313,0.611328125,9,0.5515259409969481,1.5,2.5270904081169765,2.221799516754001,AZAR(exp)
CONTROL,2,512,3,1024,313,0.611328125,9,0.5523397761953205,1.5,2.509734167125815,2.326247978929021,AZAR(exp)
REGLA,2,512,4,1024,276,0.5390625,9,0.5541213537961175,1.5,2.5120213322624854,2.2696412626337343,AZAR(exp)
CONTROL,2,512,4,1024,276,0.5390625,9,0.5659873970932006,1.5,2.5277762669031776,2.296072659528733,AZAR(exp)
REGLA,2,512,5,1024,310,0.60546875,10,0.5763298549249173,1.5,2.4646435207743713,2.230945063918013,AZAR(exp)
CONTROL,2,512,5,1024,310,0.60546875,10,0.5473402901501654,1.5,2.492222792146722,2.2660529441390365,AZAR(exp)
REGLA,2,512,6,1024,293,0.572265625,9,0.5582926581248729,1.5,2.505425476815548,2.292899273774725,AZAR(exp)
CONTROL,2,512,6,1024,293,0.572265625,10,0.554504779336994,1.5,2.5168783841612354,2.288135936400012,AZAR(exp)
REGLA,2,512,7,1024,283,0.552734375,9,0.5612333231489969,1.5,2.480586299640877,2.1633915595105364,AZAR(exp)
CONTROL,2,512,7,1024,283,0.552734375,9,0.5567776759344129,1.5,2.514288574142038,2.1752621835105144,AZAR(exp)
REGLA,2,512,8,1024,281,0.548828125,10,0.5409178596811859,1.5,2.5379601559100493,2.228268223115463,AZAR(exp)
