brazo,L,N,seed,ng,defdev,fg,diam,dmean,d95,dgrow,turn,ver
INTACTA,32,1024,1,0,0.00e+00,1.0,59,2.271542729169848,9.0,1.5983252673493988,1.1625855519119412,GEOMETRIA
CORTADA,32,1024,1,0,0.00e+00,1.0,88,1.1272967883137375,6.0,1.436288765260146,1.2165389489858045,GEOMETRIA
REGLA,32,1024,1,31,0.00e+00,1.0,59,2.271542729169848,9.0,1.5983252673493988,1.1625855519119412,GEOMETRIA
CONTROL,32,1024,1,31,0.00e+00,1.0,37,1.1718837481549347,3.5,1.7655017266981823,1.3127227055241832,GEOMETRIA
INTACTA,32,1024,2,0,0.00e+00,1.0,57,2.4119829250940135,9.0,1.5867962479485862,1.1498475785972655,GEOMETRIA
CORTADA,32,1024,2,0,0.00e+00,1.0,87,1.2397093200528508,6.0,1.4276280732266684,1.2118162723522612,GEOMETRIA
REGLA,32,1024,2,31,0.00e+00,1.0,57,2.4119829250940135,9.0,1.5867962479485862,1.1498475785972655,GEOMETRIA
CONTROL,32,1024,2,31,0.00e+00,1.0,37,1.2365840024392722,4.0,1.7316946810135614,1.34713145346735,GEOMETRIA
INTACTA,32,1024,3,0,0.00e+00,1.0,60,2.3312817904374366,9.0,1.5950945086331954,1.1857812444395945,GEOMETRIA
CORTADA,32,1024,3,0,0.00e+00,1.0,83,1.2606307222787385,6.0,1.4470260188469777,1.2060299951745008,GEOMETRIA
REGLA,32,1024,3,31,0.00e+00,1.0,60,2.3312817904374366,9.0,1.5950945086331954,1.1857812444395945,GEOMETRIA
CONTROL,32,1024,3,31,0.00e+00,1.0,37,1.1675228891149543,3.5,1.764364602101402,1.3414675199361956,GEOMETRIA
INTACTA,32,1024,4,0,0.00e+00,1.0,59,2.4075109259071046,9.0,1.6136206511761608,1.1467874946830263,GEOMETRIA
CORTADA,32,1024,4,0,0.00e+00,1.0,85,1.1209472507368634,6.0,1.4369206144729252,1.199231103947076,GEOMETRIA
REGLA,32,1024,4,31,0.00e+00,1.0,59,2.4075109259071046,9.0,1.6136206511761608,1.1467874946830263,GEOMETRIA
CONTROL,32,1024,4,31,0.00e+00,1.0,37,1.235186502693363,4.0,1.7992411221866256,1.328707608775315,GEOMETRIA
INTACTA,32,1024,5,0,0.00e+00,1.0,61,2.370730465767371,9.0,1.6008905709605177,1.1499729951195696,GEOMETRIA
CORTADA,32,1024,5,0,0.00e+00,1.0,89,1.3000254517688978,6.0,1.4418525513286822,1.2083788565773035,GEOMETRIA
