point_id,w_grav,w_strong,w_em,w_weak,w_exp,w_cool,alc,dmax_grav,seed,arm,phys,viable_d1,estable_d1,expande_d1,acelera_d1,gfin_d1,viable_d2,estable_d2,expande_d2,acelera_d2,gfin_d2,viable_d3,estable_d3,expande_d3,acelera_d3,gfin_d3,viable_d4,estable_d4,expande_d4,acelera_d4,gfin_d4,viable_curv,estable_curv,expande_curv,acelera_curv,gfin_curv
0,0.06043765414506197,0.5029462669044733,0.21592710819095373,0.08305789902806282,0.4123128214851022,0.3510311869904399,0.5469221919775009,4,0,sync,0,0,0,0,0,0.043,0,1,0,0,0.948,0,1,0,0,0.983,0,1,0,0,0.996,0,1,0,0,0.961
0,0.06043765414506197,0.5029462669044733,0.21592710819095373,0.08305789902806282,0.4123128214851022,0.3510311869904399,0.5469221919775009,4,0,async,0,0,0,0,0,0.047,0,0,0,0,0.993,0,1,0,0,0.997,0,1,0,0,0.996,0,1,0,0,0.981
0,0.06043765414506197,0.5029462669044733,0.21592710819095373,0.08305789902806282,0.4123128214851022,0.3510311869904399,0.5469221919775009,4,1,sync,0,0,0,0,0,0.039,0,1,0,0,0.931,0,1,0,0,0.988,0,1,0,0,1.0,0,1,0,0,0.945
0,0.06043765414506197,0.5029462669044733,0.21592710819095373,0.08305789902806282,0.4123128214851022,0.3510311869904399,0.5469221919775009,4,1,async,0,0,0,0,0,0.043,0,1,0,0,0.958,0,1,0,0,0.988,0,1,0,0,0.984,0,1,0,0,0.972
0,0.06043765414506197,0.5029462669044733,0.21592710819095373,0.08305789902806282,0.4123128214851022,0.3510311869904399,0.5469221919775009,4,2,sync,0,0,0,0,0,0.039,0,1,0,0,0.945,0,1,0,0,0.988,0,1,0,0,0.996,0,1,0,0,0.975
0,0.06043765414506197,0.5029462669044733,0.21592710819095373,0.08305789902806282,0.4123128214851022,0.3510311869904399,0.5469221919775009,4,2,async,0,0,0,0,0,0.039,0,1,0,0,0.972,0,1,0,0,0.994,0,1,0,0,0.988,0,1,0,0,0.964
1,0.8584564533084631,0.46676692459732294,0.6526304697617888,0.501937516964972,0.5760677764192224,0.881736165843904,0.3638671450316906,3,0,sync,0,0,0,0,0,0.117,0,1,0,0,0.99,0,1,0,0,1.0,0,1,0,0,1.0,0,1,0,0,0.994
1,0.8584564533084631,0.46676692459732294,0.6526304697617888,0.501937516964972,0.5760677764192224,0.881736165843904,0.3638671450316906,3,0,async,0,0,0,0,0,0.129,0,1,0,0,1.0,0,1,0,0,1.0,0,1,0,0,1.0,0,1,0,0,0.997
1,0.8584564533084631,0.46676692459732294,0.6526304697617888,0.501937516964972,0.5760677764192224,0.881736165843904,0.3638671450316906,3,1,sync,0,0,0,0,0,0.129,0,1,0,0,0.997,0,1,0,0,1.0,0,1,0,0,1.0,0,1,0,0,0.997
1,0.8584564533084631,0.46676692459732294,0.6526304697617888,0.501937516964972,0.5760677764192224,0.881736165843904,0.3638671450316906,3,1,async,0,0,0,0,0,0.137,0,1,0,0,0.993,0,1,0,0,1.0,0,1,0,0,1.0,0,1,0,0,1.0
1,0.8584564533084631,0.46676692459732294,0.6526304697617888,0.501937516964972,0.5760677764192224,0.881736165843904,0.3638671450316906,3,2,sync,0,0,0,0,0,0.246,0,1,0,0,0.997,0,1,0,0,1.0,0,1,0,0,1.0,0,1,0,0,1.0
1,0.8584564533084631,0.46676692459732294,0.6526304697617888,0.501937516964972,0.5760677764192224,0.881736165843904,0.3638671450316906,3,2,async,0,0,0,0,0,0.148,0,1,0,0,0.997,0,1,0,0,0.997,0,1,0,0,1.0,0,1,0,0,0.994
2,0.5431052604690194,0.851116937585175,0.4925907086580992,0.3934816624969244,0.8555613802745938,0.7456196760758758,0.9123463202267885,6,0,sync,0,0,0,0,0,0.102,0,1,0,0,0.962,0,1,0,0,1.0,0,1,0,0,1.0,0,1,0,0,0.972
2,0.5431052604690194,0.851116937585175,0.4925907086580992,0.3934816624969244,0.8555613802745938,0.7456196760758758,0.9123463202267885,6,0,async,0,0,0,0,0,0.059,0,1,0,0,0.931,0,1,0,0,0.983,0,1,0,0,1.0,0,1,0,0,0.97
2,0.5431052604690194,0.851116937585175,0.4925907086580992,0.3934816624969244,0.8555613802745938,0.7456196760758758,0.9123463202267885,6,1,sync,0,0,0,0,0,0.098,0,0,0,0,0.976,0,1,0,0,0.988,0,1,0,0,0.996,0,1,0,0,0.986
