point_id,dim,K,seed,exp_paso,frame_burgers,frame_burgers_null,n_ciclos,long_media,N
1,d1,2,1,0,nan,nan,0,0.0,256
1,d1,2,1,1,nan,nan,0,0.0,256
1,d1,2,1,2,nan,nan,0,0.0,256
1,d1,2,1,3,nan,nan,0,0.0,256
2,d1,2,2,0,nan,nan,0,0.0,256
2,d1,2,2,1,nan,nan,0,0.0,256
2,d1,2,2,2,nan,nan,0,0.0,256
2,d1,2,2,3,nan,nan,0,0.0,256
0,d1,2,0,0,nan,nan,0,0.0,256
0,d1,2,0,1,nan,nan,0,0.0,256
0,d1,2,0,2,nan,nan,0,0.0,256
0,d1,2,0,3,nan,nan,0,0.0,256
3,d1,2,3,0,nan,nan,0,0.0,256
3,d1,2,3,1,nan,nan,0,0.0,256
3,d1,2,3,2,nan,nan,0,0.0,256
3,d1,2,3,3,nan,nan,0,0.0,256
4,d1,2,4,0,nan,nan,0,0.0,256
4,d1,2,4,1,nan,nan,0,0.0,256
4,d1,2,4,2,nan,nan,0,0.0,256
4,d1,2,4,3,nan,nan,0,0.0,256
6,d1,2,6,0,nan,nan,0,0.0,256
6,d1,2,6,1,nan,nan,0,0.0,256
6,d1,2,6,2,nan,nan,0,0.0,256
6,d1,2,6,3,nan,nan,0,0.0,256
5,d1,2,5,0,nan,nan,0,0.0,256
5,d1,2,5,1,nan,nan,0,0.0,256
5,d1,2,5,2,nan,nan,0,0.0,256
5,d1,2,5,3,nan,nan,0,0.0,256
7,d1,2,7,0,nan,nan,0,0.0,256
7,d1,2,7,1,nan,nan,0,0.0,256
7,d1,2,7,2,nan,nan,0,0.0,256
7,d1,2,7,3,nan,nan,0,0.0,256
9,d1,3,1,0,nan,nan,0,0.0,256
9,d1,3,1,1,nan,nan,0,0.0,256
9,d1,3,1,2,nan,nan,0,0.0,256
9,d1,3,1,3,nan,nan,0,0.0,256
10,d1,3,2,0,nan,nan,0,0.0,256
10,d1,3,2,1,nan,nan,0,0.0,256
10,d1,3,2,2,nan,nan,0,0.0,256
10,d1,3,2,3,nan,nan,0,0.0,256
12,d1,3,4,0,nan,nan,0,0.0,256
12,d1,3,4,1,nan,nan,0,0.0,256
12,d1,3,4,2,nan,nan,0,0.0,256
12,d1,3,4,3,nan,nan,0,0.0,256
8,d1,3,0,0,nan,nan,0,0.0,256
8,d1,3,0,1,nan,nan,0,0.0,256
8,d1,3,0,2,nan,nan,0,0.0,256
8,d1,3,0,3,nan,nan,0,0.0,256
11,d1,3,3,0,nan,nan,0,0.0,256
11,d1,3,3,1,nan,nan,0,0.0,256
11,d1,3,3,2,nan,nan,0,0.0,256
11,d1,3,3,3,nan,nan,0,0.0,256
14,d1,3,6,0,nan,nan,0,0.0,256
14,d1,3,6,1,nan,nan,0,0.0,256
14,d1,3,6,2,nan,nan,0,0.0,256
14,d1,3,6,3,nan,nan,0,0.0,256
13,d1,3,5,0,nan,nan,0,0.0,256
13,d1,3,5,1,nan,nan,0,0.0,256
13,d1,3,5,2,nan,nan,0,0.0,256
13,d1,3,5,3,nan,nan,0,0.0,256
15,d1,3,7,0,nan,nan,0,0.0,256
15,d1,3,7,1,nan,nan,0,0.0,256
15,d1,3,7,2,nan,nan,0,0.0,256
15,d1,3,7,3,nan,nan,0,0.0,256
17,d1,4,1,0,nan,nan,0,0.0,256
17,d1,4,1,1,nan,nan,0,0.0,256
17,d1,4,1,2,nan,nan,0,0.0,256
17,d1,4,1,3,nan,nan,0,0.0,256
16,d1,4,0,0,nan,nan,0,0.0,256
16,d1,4,0,1,nan,nan,0,0.0,256
16,d1,4,0,2,nan,nan,0,0.0,256
16,d1,4,0,3,nan,nan,0,0.0,256
18,d1,4,2,0,nan,nan,0,0.0,256
18,d1,4,2,1,nan,nan,0,0.0,256
18,d1,4,2,2,nan,nan,0,0.0,256
18,d1,4,2,3,nan,nan,0,0.0,256
20,d1,4,4,0,nan,nan,0,0.0,256
20,d1,4,4,1,nan,nan,0,0.0,256
20,d1,4,4,2,nan,nan,0,0.0,256
20,d1,4,4,3,nan,nan,0,0.0,256
19,d1,4,3,0,nan,nan,0,0.0,256
19,d1,4,3,1,nan,nan,0,0.0,256
19,d1,4,3,2,nan,nan,0,0.0,256
19,d1,4,3,3,nan,nan,0,0.0,256
21,d1,4,5,0,nan,nan,0,0.0,256
21,d1,4,5,1,nan,nan,0,0.0,256
21,d1,4,5,2,nan,nan,0,0.0,256
21,d1,4,5,3,nan,nan,0,0.0,256
22,d1,4,6,0,nan,nan,0,0.0,256
22,d1,4,6,1,nan,nan,0,0.0,256
22,d1,4,6,2,nan,nan,0,0.0,256
22,d1,4,6,3,nan,nan,0,0.0,256
23,d1,4,7,0,nan,nan,0,0.0,256
23,d1,4,7,1,nan,nan,0,0.0,256
23,d1,4,7,2,nan,nan,0,0.0,256
23,d1,4,7,3,nan,nan,0,0.0,256
24,d1,5,0,0,nan,nan,0,0.0,256
24,d1,5,0,1,nan,nan,0,0.0,256
24,d1,5,0,2,nan,nan,0,0.0,256
24,d1,5,0,3,nan,nan,0,0.0,256
25,d1,5,1,0,nan,nan,0,0.0,256
25,d1,5,1,1,nan,nan,0,0.0,256
25,d1,5,1,2,nan,nan,0,0.0,256
25,d1,5,1,3,nan,nan,0,0.0,256
27,d1,5,3,0,nan,nan,0,0.0,256
27,d1,5,3,1,nan,nan,0,0.0,256
27,d1,5,3,2,nan,nan,0,0.0,256
27,d1,5,3,3,nan,nan,0,0.0,256
26,d1,5,2,0,nan,nan,0,0.0,256
26,d1,5,2,1,nan,nan,0,0.0,256
26,d1,5,2,2,nan,nan,0,0.0,256
26,d1,5,2,3,nan,nan,0,0.0,256
28,d1,5,4,0,nan,nan,0,0.0,256
28,d1,5,4,1,nan,nan,0,0.0,256
28,d1,5,4,2,nan,nan,0,0.0,256
28,d1,5,4,3,nan,nan,0,0.0,256
29,d1,5,5,0,nan,nan,0,0.0,256
29,d1,5,5,1,nan,nan,0,0.0,256
29,d1,5,5,2,nan,nan,0,0.0,256
29,d1,5,5,3,nan,nan,0,0.0,256
30,d1,5,6,0,nan,nan,0,0.0,256
30,d1,5,6,1,nan,nan,0,0.0,256
30,d1,5,6,2,nan,nan,0,0.0,256
30,d1,5,6,3,nan,nan,0,0.0,256
31,d1,5,7,0,nan,nan,0,0.0,256
31,d1,5,7,1,nan,nan,0,0.0,256
31,d1,5,7,2,nan,nan,0,0.0,256
31,d1,5,7,3,nan,nan,0,0.0,256
33,d2,2,1,0,0.0,1.55057,256,13.71,289
33,d2,2,1,1,0.0,1.51645,202,11.86,289
33,d2,2,1,2,0.0,1.57887,153,10.9,289
33,d2,2,1,3,0.0,1.33855,111,9.62,289
34,d2,2,2,0,0.0,1.4882,256,13.71,289
34,d2,2,2,1,0.0,1.38081,202,11.18,289
34,d2,2,2,2,0.0,1.62845,154,11.58,289
34,d2,2,2,3,0.0,1.48066,112,11.09,289
32,d2,2,0,0,0.0,1.58672,256,13.71,289
32,d2,2,0,1,0.0,1.46154,202,12.66,289
32,d2,2,0,2,0.0,1.56158,153,11.39,289
32,d2,2,0,3,0.0,1.46238,113,11.61,289
35,d2,2,3,0,0.0,1.58616,256,13.71,289
35,d2,2,3,1,0.0,1.56626,202,10.65,289
35,d2,2,3,2,0.0,1.63816,154,10.57,289
35,d2,2,3,3,0.0,1.63077,115,10.09,289
36,d2,2,4,0,0.0,1.58033,256,13.71,289
36,d2,2,4,1,0.0,1.61095,202,11.1,289
36,d2,2,4,2,0.0,1.63751,153,10.75,289
36,d2,2,4,3,0.0,1.59712,115,10.63,289
41,d2,3,1,0,1.23068,1.54039,256,13.71,289
41,d2,3,1,1,0.9563,1.58078,202,11.98,289
41,d2,3,1,2,0.95068,1.57772,155,10.7,289
41,d2,3,1,3,0.93613,1.49206,115,10.71,289
40,d2,3,0,0,1.17214,1.64583,256,13.71,289
40,d2,3,0,1,1.11475,1.47859,202,11.55,289
40,d2,3,0,2,1.15618,1.65111,154,11.35,289
40,d2,3,0,3,1.16972,1.39382,119,10.77,289
37,d2,2,5,0,0.0,1.514,256,13.71,289
37,d2,2,5,1,0.0,1.70217,202,11.48,289
37,d2,2,5,2,0.0,1.64104,154,10.52,289
37,d2,2,5,3,0.0,1.53672,113,10.76,289
38,d2,2,6,0,0.0,1.55299,256,13.71,289
38,d2,2,6,1,0.0,1.51764,202,11.06,289
38,d2,2,6,2,0.0,1.38475,155,11.08,289
38,d2,2,6,3,0.0,1.52854,112,10.93,289
43,d2,3,3,0,1.16279,1.56971,256,13.71,289
43,d2,3,3,1,1.08608,1.56861,202,12.14,289
43,d2,3,3,2,1.10325,1.55929,153,11.29,289
43,d2,3,3,3,1.0501,1.49761,111,9.32,289
39,d2,2,7,0,0.0,1.52571,256,13.71,289
39,d2,2,7,1,0.0,1.59721,202,11.87,289
39,d2,2,7,2,0.0,1.61932,155,11.46,289
39,d2,2,7,3,0.0,1.84074,111,12.54,289
42,d2,3,2,0,1.18007,1.61958,256,13.71,289
42,d2,3,2,1,1.02653,1.5801,202,13.38,289
42,d2,3,2,2,1.12804,1.61472,154,11.9,289
42,d2,3,2,3,1.11256,1.5996,110,12.55,289
44,d2,3,4,0,1.1402,1.64278,256,13.71,289
44,d2,3,4,1,1.03692,1.57916,202,11.86,289
44,d2,3,4,2,1.0271,1.61185,154,12.61,289
44,d2,3,4,3,0.99787,1.46933,111,12.22,289
45,d2,3,5,0,1.10053,1.58999,256,13.71,289
45,d2,3,5,1,1.06638,1.58603,203,12.47,289
45,d2,3,5,2,1.16128,1.46976,155,10.7,289
45,d2,3,5,3,1.10096,1.50715,113,10.05,289
46,d2,3,6,0,1.07828,1.58452,256,13.71,289
46,d2,3,6,1,1.09664,1.50658,202,13.31,289
46,d2,3,6,2,1.06897,1.54657,157,11.07,289
46,d2,3,6,3,1.11611,1.61309,115,9.93,289
47,d2,3,7,0,1.09771,1.57203,256,13.71,289
47,d2,3,7,1,1.08569,1.53652,202,12.04,289
47,d2,3,7,2,1.082,1.54519,154,12.06,289
47,d2,3,7,3,1.1447,1.56907,111,10.49,289
