point_id,dim,K,seed,exp_paso,frame_burgers,frame_burgers_null,n_ciclos,long_media,N
0,d1,2,0,0,nan,nan,0,0.0,256
0,d1,2,0,1,nan,nan,0,0.0,256
0,d1,2,0,2,nan,nan,0,0.0,256
0,d1,2,0,3,nan,nan,0,0.0,256
1,d1,2,1,0,nan,nan,0,0.0,256
1,d1,2,1,1,nan,nan,0,0.0,256
1,d1,2,1,2,nan,nan,0,0.0,256
1,d1,2,1,3,nan,nan,0,0.0,256
2,d1,3,0,0,nan,nan,0,0.0,256
2,d1,3,0,1,nan,nan,0,0.0,256
2,d1,3,0,2,nan,nan,0,0.0,256
2,d1,3,0,3,nan,nan,0,0.0,256
3,d1,3,1,0,nan,nan,0,0.0,256
3,d1,3,1,1,nan,nan,0,0.0,256
3,d1,3,1,2,nan,nan,0,0.0,256
3,d1,3,1,3,nan,nan,0,0.0,256
4,d1,4,0,0,nan,nan,0,0.0,256
4,d1,4,0,1,nan,nan,0,0.0,256
4,d1,4,0,2,nan,nan,0,0.0,256
4,d1,4,0,3,nan,nan,0,0.0,256
5,d1,4,1,0,nan,nan,0,0.0,256
5,d1,4,1,1,nan,nan,0,0.0,256
5,d1,4,1,2,nan,nan,0,0.0,256
5,d1,4,1,3,nan,nan,0,0.0,256
6,d1,5,0,0,nan,nan,0,0.0,256
6,d1,5,0,1,nan,nan,0,0.0,256
6,d1,5,0,2,nan,nan,0,0.0,256
6,d1,5,0,3,nan,nan,0,0.0,256
7,d1,5,1,0,nan,nan,0,0.0,256
7,d1,5,1,1,nan,nan,0,0.0,256
7,d1,5,1,2,nan,nan,0,0.0,256
7,d1,5,1,3,nan,nan,0,0.0,256
8,d2,2,0,0,0.0,1.67799,120,14.67,289
8,d2,2,0,1,0.0,1.65531,120,12.6,289
8,d2,2,0,2,0.0,1.70351,119,13.65,289
8,d2,2,0,3,0.0,1.57992,111,11.24,289
9,d2,2,1,0,0.0,1.57466,120,12.92,289
9,d2,2,1,1,0.0,1.47885,120,10.93,289
9,d2,2,1,2,0.0,1.48268,119,10.32,289
9,d2,2,1,3,0.0,1.53632,113,10.44,289
10,d2,3,0,0,1.22907,1.50529,120,14.1,289
10,d2,3,0,1,1.20224,1.62119,120,11.83,289
10,d2,3,0,2,1.08121,1.5692,120,10.43,289
10,d2,3,0,3,1.10917,1.70197,111,10.34,289
11,d2,3,1,0,1.25833,1.58312,120,13.27,289
11,d2,3,1,1,1.17306,1.60717,120,11.8,289
11,d2,3,1,2,1.13894,1.56269,120,11.42,289
11,d2,3,1,3,0.98152,1.54003,112,12.89,289
