point_id,g_level,acople,seed,dim,viable,expande,estable,diam_fin,gig_fin,corr_masa_grado_ok
0,0.3,masa,0,d1,0,0,0,3,0.055,1
0,0.3,masa,0,d2,0,0,1,9,0.941,1
0,0.3,masa,0,d3,0,0,1,5,0.983,1
0,0.3,masa,0,d4,0,0,1,5,1.0,1
0,0.3,masa,0,curv,0,0,1,5,0.981,1
1,0.3,masa,1,d1,0,0,0,4,0.066,1
1,0.3,masa,1,d2,0,0,1,7,0.965,1
1,0.3,masa,1,d3,0,0,1,6,0.985,1
1,0.3,masa,1,d4,0,0,1,4,1.0,1
1,0.3,masa,1,curv,0,0,1,5,0.945,1
5,0.3,masa,5,d1,0,0,0,3,0.082,1
5,0.3,masa,5,d2,0,0,1,6,0.931,1
5,0.3,masa,5,d3,0,0,1,5,1.0,1
5,0.3,masa,5,d4,0,0,1,4,0.992,1
5,0.3,masa,5,curv,0,0,1,6,0.97,1
2,0.3,masa,2,d1,0,0,0,2,0.082,1
2,0.3,masa,2,d2,0,0,1,7,0.938,1
2,0.3,masa,2,d3,0,0,1,5,0.991,1
2,0.3,masa,2,d4,0,0,1,5,0.996,1
2,0.3,masa,2,curv,0,0,1,7,0.972,1
4,0.3,masa,4,d1,0,0,0,2,0.078,1
4,0.3,masa,4,d2,0,0,1,8,0.969,1
4,0.3,masa,4,d3,0,0,1,4,0.985,1
4,0.3,masa,4,d4,0,0,1,4,0.992,1
4,0.3,masa,4,curv,0,0,1,5,0.97,1
10,0.3,grado,0,d1,0,0,0,3,0.16,1
10,0.3,grado,0,d2,0,0,1,7,0.969,1
10,0.3,grado,0,d3,0,0,1,5,0.988,1
10,0.3,grado,0,d4,0,0,1,4,0.996,1
10,0.3,grado,0,curv,0,0,1,5,0.981,1
7,0.3,masa,7,d1,0,0,0,6,0.113,1
7,0.3,masa,7,d2,0,0,1,8,0.958,1
7,0.3,masa,7,d3,0,0,1,4,0.985,1
7,0.3,masa,7,d4,0,0,1,4,0.996,1
7,0.3,masa,7,curv,0,0,1,6,0.958,1
13,0.3,grado,3,d1,0,0,0,5,0.148,1
13,0.3,grado,3,d2,0,0,1,7,0.965,1
13,0.3,grado,3,d3,0,0,1,5,0.994,1
13,0.3,grado,3,d4,0,0,1,4,0.996,1
13,0.3,grado,3,curv,0,0,1,5,0.986,1
8,0.3,masa,8,d1,0,0,0,2,0.055,1
8,0.3,masa,8,d2,0,0,1,7,0.952,1
8,0.3,masa,8,d3,0,0,1,6,1.0,1
