point_id,dim,K,brazo,seed,frame_burgers,long_media,L3,L4,L5,L6,L8
0,d2,3,marco,0,1.25513,14.39,,0.83445,,1.2465,1.21849
10,d2,3,electron,0,0.29566,14.39,,0.08598,,0.07865,0.10072
20,d2,3,muon,0,1.1186,14.39,,0.86859,,1.00379,0.99573
30,d2,3,tauon,0,1.00598,14.39,,0.68651,,1.0803,1.19737
40,d2,3,alineado,0,0.27756,14.39,,0.08639,,0.0818,0.10369
50,d2,3,null,0,1.12958,14.39,,1.23743,,1.14109,1.18621
60,d2,4,marco,0,1.19557,13.99,,1.00405,,1.06962,1.29076
70,d2,4,electron,0,0.39638,13.99,,0.03543,,0.08207,0.12437
80,d2,4,muon,0,1.30413,13.99,,1.26081,,1.14183,1.17266
90,d2,4,tauon,0,1.13298,13.99,,0.93118,,1.21148,1.23944
100,d2,4,alineado,0,0.3675,13.99,,0.02932,,0.07018,0.10787
110,d2,4,null,0,1.22555,13.99,,1.15221,,1.28725,1.29908
