point_id,g_level,acople,seed,dim,viable,expande,estable,corr_masa_grado_ok
0,0.3,masa,0,d1,0,0,0,1
0,0.3,masa,0,d2,0,0,1,1
0,0.3,masa,0,d3,0,0,1,1
0,0.3,masa,0,d4,0,0,1,1
0,0.3,masa,0,curv,0,0,1,1
1,0.3,masa,1,d1,0,0,0,1
1,0.3,masa,1,d2,0,0,1,1
1,0.3,masa,1,d3,0,0,1,1
1,0.3,masa,1,d4,0,0,1,1
1,0.3,masa,1,curv,0,0,1,1
2,0.3,grado,0,d1,0,0,0,1
2,0.3,grado,0,d2,0,0,1,1
2,0.3,grado,0,d3,0,0,1,1
2,0.3,grado,0,d4,0,0,1,1
2,0.3,grado,0,curv,0,0,1,1
3,0.3,grado,1,d1,0,0,0,1
3,0.3,grado,1,d2,0,0,1,1
3,0.3,grado,1,d3,0,0,1,1
3,0.3,grado,1,d4,0,0,1,1
3,0.3,grado,1,curv,0,0,1,1
4,0.3,null,0,d1,0,0,0,1
4,0.3,null,0,d2,0,0,1,1
4,0.3,null,0,d3,0,0,1,1
4,0.3,null,0,d4,0,0,1,1
4,0.3,null,0,curv,0,0,1,1
5,0.3,null,1,d1,0,0,0,1
5,0.3,null,1,d2,0,0,1,1
5,0.3,null,1,d3,0,0,1,1
5,0.3,null,1,d4,0,0,1,1
5,0.3,null,1,curv,0,0,1,1
6,0.6,masa,0,d1,0,0,0,1
6,0.6,masa,0,d2,0,0,1,1
6,0.6,masa,0,d3,0,0,1,1
6,0.6,masa,0,d4,0,0,1,1
6,0.6,masa,0,curv,0,0,1,1
7,0.6,masa,1,d1,0,0,0,1
7,0.6,masa,1,d2,0,0,1,1
7,0.6,masa,1,d3,0,0,1,1
7,0.6,masa,1,d4,0,0,1,1
7,0.6,masa,1,curv,0,0,1,1
8,0.6,grado,0,d1,0,0,0,1
8,0.6,grado,0,d2,0,0,1,1
8,0.6,grado,0,d3,0,0,1,1
8,0.6,grado,0,d4,0,0,1,1
8,0.6,grado,0,curv,0,0,1,1
