point_id,dim,K,brazo,seed,frame_burgers,m_media,m_max,espectro_razon,frac_sin_masa,L3,L4,L5,L6,L8
0,d2,3,2punto,0,1.25513,0.7868,2.0142,2.125,0.01,,0.83445,,1.2465,1.21849
10,d2,3,3punto,0,0.58583,0.7868,2.0142,2.125,0.01,,0.16205,,0.26789,0.27982
20,d2,3,null_campo,0,0.70495,0.7868,2.0142,2.125,0.01,,0.14647,,0.24512,0.31297
30,d2,3,null_vertice,0,0.68548,0.7733,1.8319,2.342,0.007,,0.1424,,0.36271,0.36728
40,d2,4,2punto,0,1.19557,0.8392,2.1392,2.365,0.0,,1.00405,,1.06962,1.29076
50,d2,4,3punto,0,0.79572,0.8392,2.1392,2.365,0.0,,0.20988,,0.44615,0.38397
60,d2,4,null_campo,0,0.836,0.8392,2.1392,2.365,0.0,,0.19697,,0.45336,0.4063
70,d2,4,null_vertice,0,0.83449,0.8391,2.0101,2.138,0.007,,0.17802,,0.36202,0.45881
80,d3,3,2punto,0,1.06602,0.7996,2.3638,2.078,0.012,,0.74214,,1.13947,1.12972
90,d3,3,3punto,0,0.7288,0.7854,2.3638,2.051,0.012,,0.34382,,0.50581,0.80839
100,d3,3,null_campo,0,0.65295,0.7846,2.3638,2.043,0.012,,0.27311,,0.52938,0.73753
110,d3,3,null_vertice,0,0.71971,0.8324,1.8524,1.814,0.0,,0.31811,,0.54682,0.73684
120,d3,4,2punto,0,1.28285,0.8331,1.8136,2.046,0.0,,1.06885,,1.17541,1.42307
130,d3,4,3punto,0,0.62293,0.8343,1.863,2.05,0.0,,0.24531,,0.48675,0.47829
140,d3,4,null_campo,0,0.59741,0.8343,1.874,2.023,0.0,,0.19834,,0.47817,0.49015
150,d3,4,null_vertice,0,0.57567,0.8557,1.9719,1.914,0.003,,0.18753,,0.43125,0.38897
