point_id,dim,brazo,seed,frame_burgers,L3,L4,L5,L6,L8
10,d2,2cuerpos,0,0.21198,,0.01403,,0.02719,0.03685
13,d2,2cuerpos,3,0.40896,,0.14528,,0.20802,0.30051
11,d2,2cuerpos,1,0.2577,,0.08674,,0.12342,0.13552
12,d2,2cuerpos,2,0.3298,,0.15201,,0.32552,0.41356
14,d2,2cuerpos,4,0.21258,,0.07527,,0.19233,0.26386
15,d2,2cuerpos,5,0.14383,,0.03264,,0.0698,0.08912
16,d2,2cuerpos,6,0.59074,,0.20551,,0.35989,0.47965
17,d2,2cuerpos,7,0.39012,,0.09682,,0.19365,0.28075
18,d2,2cuerpos,8,0.22637,,0.04705,,0.09678,0.14755
19,d2,2cuerpos,9,0.53806,,0.04781,,0.14393,0.37663
0,d2,3cuerpos,0,1.14898,,0.71806,,1.37665,1.5153
3,d2,3cuerpos,3,1.09224,,0.99497,,0.93981,1.08408
4,d2,3cuerpos,4,1.0579,,0.90049,,1.0523,0.97625
2,d2,3cuerpos,2,1.12525,,1.21763,,1.09065,1.17621
7,d2,3cuerpos,7,1.08129,,0.83287,,1.02161,1.23342
5,d2,3cuerpos,5,1.15527,,0.9199,,1.12912,1.22901
9,d2,3cuerpos,9,1.1674,,1.0107,,1.17793,1.1243
6,d2,3cuerpos,6,1.15367,,0.95105,,1.11034,1.20557
1,d2,3cuerpos,1,1.1857,,1.22713,,1.12273,0.95078
8,d2,3cuerpos,8,1.07459,,0.72212,,1.01232,1.07265
30,d2,null_marco,0,1.09814,,0.77385,,1.24609,1.12536
31,d2,null_marco,1,1.15101,,0.99338,,1.10203,1.17247
32,d2,null_marco,2,1.05629,,0.7831,,1.19435,1.17472
33,d2,null_marco,3,1.06887,,0.80987,,0.86999,1.04739
34,d2,null_marco,4,1.05633,,0.86681,,1.04954,0.90783
35,d2,null_marco,5,1.13102,,0.87602,,1.16478,0.99458
36,d2,null_marco,6,1.14143,,0.97388,,1.21874,1.15117
37,d2,null_marco,7,1.15282,,0.9619,,1.02136,1.10551
38,d2,null_marco,8,1.19284,,0.98629,,1.28825,1.21984
39,d2,null_marco,9,1.13002,,0.98025,,1.01454,1.2621
21,d2,null_triada,1,1.05419,,0.93739,,1.18184,1.09784
20,d2,null_triada,0,1.12085,,0.91393,,1.17993,1.21353
22,d2,null_triada,2,1.21452,,1.25052,,1.188,1.00039
23,d2,null_triada,3,1.07624,,0.93069,,1.0727,0.96248
