patch,seed,N,arm,regla,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
0,13,1500,completo,nematico,4.824,0.052,1,5.584,1,0.987,0.917,1,16
0,13,1500,null_tipos,nematico,4.837,0.051,1,3.742,1,1.029,0.911,3,17
0,13,1500,null_marco,nematico,4.979,0.055,0,7.963,0,0.903,0.91,4,17
0,13,1500,null_mediado,nematico,4.814,0.054,1,4.355,1,0.825,0.918,4,17
0,13,1500,subconjunto,nematico,4.862,0.047,0,7.97,0,0.844,0.923,3,16
1,2077,1500,completo,nematico,4.872,0.052,1,3.184,1,0.93,0.896,3,17
1,2077,1500,null_tipos,nematico,5.008,0.051,2,4.796,1,0.843,0.907,3,17
1,2077,1500,null_marco,nematico,4.961,0.048,0,7.975,0,0.796,0.919,3,17
1,2077,1500,null_mediado,nematico,4.929,0.053,2,5.309,1,0.921,0.923,4,16
1,2077,1500,subconjunto,nematico,4.762,0.049,0,7.972,0,1.075,0.919,4,16
3,6205,1500,completo,nematico,3.703,0.044,1,4.881,1,0.813,0.921,3,16
3,6205,1500,null_tipos,nematico,4.825,0.046,3,4.72,1,0.793,0.914,3,17
3,6205,1500,null_marco,nematico,4.897,0.045,0,7.954,0,1.015,0.92,3,17
3,6205,1500,null_mediado,nematico,4.897,0.053,1,4.284,1,0.973,0.911,4,17
3,6205,1500,subconjunto,nematico,5.048,0.055,0,7.96,0,1.109,0.921,3,16
5,10333,1500,completo,nematico,nan,0.044,1,3.784,1,0.861,0.909,3,17
5,10333,1500,null_tipos,nematico,nan,0.049,1,4.118,1,0.723,0.923,3,17
5,10333,1500,null_marco,nematico,4.837,0.054,0,7.955,0,0.915,0.915,4,16
5,10333,1500,null_mediado,nematico,4.957,0.046,2,4.58,1,0.809,0.907,4,17
5,10333,1500,subconjunto,nematico,4.687,0.045,0,7.957,0,1.106,0.925,4,16
4,8269,1500,completo,nematico,5.07,0.046,1,3.893,1,0.794,0.909,4,17
