patch,seed,N,arm,regla,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
0,13,1500,completo,nematico,-0.029,0.053,1,1.34,1,0.634,0.936,4,12
0,13,1500,null_tipos,nematico,-0.15,0.055,1,1.412,1,0.773,0.929,4,12
0,13,1500,null_marco,nematico,0.604,0.049,0,7.962,0,1.075,0.945,4,11
0,13,1500,null_mediado,nematico,-0.893,0.055,1,1.278,1,0.928,0.923,4,13
0,13,1500,subconjunto,nematico,0.133,0.053,0,7.95,0,0.903,0.941,4,12
1,2077,1500,completo,nematico,0.721,0.048,1,1.152,1,0.701,0.941,4,13
1,2077,1500,null_tipos,nematico,-0.339,0.049,1,1.205,1,0.313,0.927,4,13
1,2077,1500,null_marco,nematico,0.079,0.05,0,7.947,0,1.051,0.928,3,13
1,2077,1500,null_mediado,nematico,-0.516,0.055,1,1.17,1,0.925,0.936,3,13
1,2077,1500,subconjunto,nematico,-0.251,0.052,0,7.949,0,1.004,0.943,4,12
2,4141,1500,completo,nematico,0.17,0.05,1,1.173,1,0.95,0.927,3,14
2,4141,1500,null_tipos,nematico,0.11,0.052,1,1.199,1,0.829,0.938,4,12
2,4141,1500,null_marco,nematico,0.597,0.053,0,7.966,0,0.89,0.934,1,11
2,4141,1500,null_mediado,nematico,-0.356,0.049,1,1.314,1,0.72,0.931,4,12
2,4141,1500,subconjunto,nematico,-0.305,0.052,0,7.972,0,1.073,0.935,3,12
3,6205,1500,completo,nematico,-0.404,0.049,1,1.367,1,1.21,0.927,4,11
3,6205,1500,null_tipos,nematico,-0.673,0.053,1,1.212,1,0.325,0.935,4,12
3,6205,1500,null_marco,nematico,0.129,0.047,0,7.967,0,0.972,0.942,4,12
3,6205,1500,null_mediado,nematico,-0.098,0.057,1,1.275,1,0.887,0.924,4,13
3,6205,1500,subconjunto,nematico,0.919,0.054,0,7.958,0,1.11,0.928,4,12
4,8269,1500,completo,nematico,-0.108,0.057,1,1.732,1,0.599,0.931,3,12
4,8269,1500,null_tipos,nematico,-0.596,0.051,1,1.294,1,1.16,0.937,3,12
4,8269,1500,null_marco,nematico,0.432,0.054,0,7.964,0,1.001,0.941,3,12
4,8269,1500,null_mediado,nematico,-1.246,0.051,1,1.205,1,1.109,0.928,4,13
4,8269,1500,subconjunto,nematico,-0.487,0.056,0,7.965,0,0.867,0.929,4,12
5,10333,1500,completo,nematico,0.26,0.047,1,1.261,1,0.629,0.944,4,12
5,10333,1500,null_tipos,nematico,-0.001,0.053,1,1.229,1,1.056,0.93,3,12
5,10333,1500,null_marco,nematico,0.0,0.049,0,7.973,0,0.97,0.933,3,12
5,10333,1500,null_mediado,nematico,0.691,0.053,1,1.279,1,1.082,0.927,4,12
5,10333,1500,subconjunto,nematico,-0.733,0.044,0,7.96,0,0.843,0.943,3,12
