patch,seed,N,arm,lam,frac_ferm,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
5,10336,1500,excl,0.988,0.57,4.955,0.05,1,1.619,1,0.659,0.902,3,17
5,10336,1500,sin_excl,0.988,0.57,4.89,0.045,2,4.197,1,0.817,0.903,4,17
5,10336,1500,excl_barajada,0.988,0.57,4.637,0.05,1,1.764,1,0.981,0.921,1,16
5,10336,1500,excl_bosones,0.988,0.57,4.977,0.052,1,2.992,1,0.822,0.91,4,17
5,10336,1500,marco_congelado,0.988,0.57,5.078,0.05,0,7.976,0,0.868,0.913,4,17
0,11,1500,excl,0.273,0.558,5.169,0.05,0,7.268,0,0.861,0.891,3,17
0,11,1500,sin_excl,0.273,0.558,4.79,0.047,1,3.827,1,0.956,0.891,3,17
0,11,1500,excl_barajada,0.273,0.558,4.814,0.051,1,7.259,1,0.949,0.903,4,17
0,11,1500,excl_bosones,0.273,0.558,4.956,0.051,1,5.658,1,0.866,0.907,4,17
0,11,1500,marco_congelado,0.273,0.558,nan,0.049,0,7.984,0,0.921,0.907,3,17
2,4141,1500,excl,0.716,0.63,4.813,0.051,1,1.627,1,0.925,0.899,4,17
2,4141,1500,sin_excl,0.716,0.63,5.285,0.042,1,4.207,1,0.83,0.911,3,17
2,4141,1500,excl_barajada,0.716,0.63,4.947,0.037,1,1.787,1,0.879,0.911,3,17
2,4141,1500,excl_bosones,0.716,0.63,4.821,0.054,1,4.909,1,0.813,0.911,3,17
2,4141,1500,marco_congelado,0.716,0.63,5.048,0.049,0,7.974,0,0.945,0.909,4,17
4,8271,1500,excl,0.433,0.612,nan,0.055,2,6.84,1,0.83,0.903,3,17
4,8271,1500,sin_excl,0.433,0.612,4.822,0.052,1,3.983,1,0.97,0.896,4,17
4,8271,1500,excl_barajada,0.433,0.612,4.87,0.053,1,7.19,1,0.997,0.913,3,17
4,8271,1500,excl_bosones,0.433,0.612,4.953,0.045,2,5.666,1,0.813,0.899,3,17
4,8271,1500,marco_congelado,0.433,0.612,5.187,0.04,0,7.954,0,0.877,0.917,3,17
1,2076,1500,excl,0.985,0.561,4.734,0.056,1,2.442,1,0.572,0.909,3,17
1,2076,1500,sin_excl,0.985,0.561,4.355,0.047,1,3.406,1,0.797,0.916,4,17
1,2076,1500,excl_barajada,0.985,0.561,nan,0.041,1,1.38,1,0.809,0.922,4,17
