patch,seed,N,arm,lam,frac_ferm,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
0,11,1200,excl,0.639,0.558,4.567,0.048,1,1.714,1,0.797,0.896,3,18
0,11,1200,sin_excl,0.639,0.558,nan,0.055,1,3.716,1,0.804,0.901,3,17
0,11,1200,excl_barajada,0.639,0.558,nan,0.055,1,3.204,1,0.886,0.907,3,17
0,11,1200,excl_bosones,0.639,0.558,nan,0.055,1,5.03,1,1.026,0.909,3,17
0,11,1200,marco_congelado,0.639,0.558,nan,0.051,0,7.943,0,0.977,0.902,4,17
1,2076,1200,excl,0.935,0.561,4.664,0.049,1,1.447,1,0.702,0.91,3,17
1,2076,1200,sin_excl,0.935,0.561,4.747,0.044,2,4.24,1,0.957,0.904,4,17
1,2076,1200,excl_barajada,0.935,0.561,4.422,0.052,1,1.56,1,1.03,0.917,4,17
1,2076,1200,excl_bosones,0.935,0.561,4.868,0.059,1,3.794,1,0.851,0.902,3,17
1,2076,1200,marco_congelado,0.935,0.561,4.471,0.051,0,7.954,0,0.93,0.912,3,17
2,4141,1200,excl,0.262,0.63,4.815,0.054,2,7.082,1,0.862,0.926,3,17
2,4141,1200,sin_excl,0.262,0.63,4.597,0.055,1,3.88,1,0.901,0.911,3,17
2,4141,1200,excl_barajada,0.262,0.63,4.307,0.05,1,7.174,1,1.15,0.911,3,17
2,4141,1200,excl_bosones,0.262,0.63,nan,0.056,2,5.321,1,0.987,0.909,3,17
2,4141,1200,marco_congelado,0.262,0.63,nan,0.047,0,7.951,0,0.873,0.913,4,17
3,6206,1200,excl,0.17,0.899,4.518,0.056,0,7.783,0,0.881,0.912,3,17
3,6206,1200,sin_excl,0.17,0.899,4.829,0.053,1,3.198,1,0.862,0.911,3,17
3,6206,1200,excl_barajada,0.17,0.899,nan,0.055,0,7.765,0,0.921,0.912,4,17
3,6206,1200,excl_bosones,0.17,0.899,4.828,0.049,1,3.834,1,0.912,0.912,3,17
3,6206,1200,marco_congelado,0.17,0.899,4.819,0.052,0,7.959,0,0.919,0.907,4,17
4,8271,1200,excl,0.426,0.612,3.851,0.054,1,6.44,1,0.939,0.919,3,17
4,8271,1200,sin_excl,0.426,0.612,4.682,0.051,1,3.886,1,0.853,0.914,3,17
4,8271,1200,excl_barajada,0.426,0.612,4.494,0.056,1,6.49,1,0.908,0.906,3,17
4,8271,1200,excl_bosones,0.426,0.612,nan,0.053,1,5.771,1,0.959,0.905,3,17
4,8271,1200,marco_congelado,0.426,0.612,nan,0.053,0,7.952,0,1.048,0.915,4,17
5,10336,1200,excl,0.221,0.57,nan,0.056,1,5.974,1,0.786,0.892,3,17
5,10336,1200,sin_excl,0.221,0.57,4.524,0.052,1,3.928,1,0.803,0.897,4,17
5,10336,1200,excl_barajada,0.221,0.57,4.641,0.053,2,7.024,1,1.065,0.892,4,17
5,10336,1200,excl_bosones,0.221,0.57,4.759,0.052,1,5.465,1,0.839,0.897,3,18
5,10336,1200,marco_congelado,0.221,0.57,nan,0.044,0,7.945,0,1.063,0.905,3,17
6,12401,1200,excl,0.705,0.644,4.642,0.055,1,1.681,1,0.84,0.903,3,17
6,12401,1200,sin_excl,0.705,0.644,4.868,0.049,1,2.527,1,1.145,0.919,3,17
6,12401,1200,excl_barajada,0.705,0.644,nan,0.052,1,1.479,1,0.83,0.901,3,17
6,12401,1200,excl_bosones,0.705,0.644,nan,0.05,2,6.022,1,0.986,0.895,3,17
6,12401,1200,marco_congelado,0.705,0.644,4.501,0.057,0,7.946,0,0.915,0.902,3,17
7,14466,1200,excl,0.905,0.767,nan,0.051,1,1.271,1,0.642,0.902,3,17
7,14466,1200,sin_excl,0.905,0.767,4.603,0.055,1,4.678,1,0.861,0.922,4,16
7,14466,1200,excl_barajada,0.905,0.767,4.563,0.057,1,1.331,1,0.606,0.909,3,17
7,14466,1200,excl_bosones,0.905,0.767,nan,0.054,1,2.776,1,0.899,0.897,3,17
7,14466,1200,marco_congelado,0.905,0.767,4.65,0.058,0,7.947,0,1.118,0.922,4,17
