patch,seed,N,arm,D_max,frac_ferm,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
0,20650,3500,excl_orto,8,0.735,5.706,0.04,2,7.074,1,0.856,0.907,4,17
0,20650,3500,sin_excl,8,0.735,5.445,0.043,1,5.064,1,0.812,0.911,4,17
0,20650,3500,excl_orto_barajada,8,0.735,5.483,0.043,1,6.501,1,0.959,0.912,4,17
0,20650,3500,excl_orto_bosones,8,0.735,5.869,0.045,1,6.208,1,1.035,0.905,4,17
0,20650,3500,marco_congelado,8,0.735,5.663,0.042,0,7.992,0,0.992,0.909,4,17
1,20653,3500,excl_orto,8,0.654,5.617,0.041,1,6.72,1,0.93,0.911,4,17
1,20653,3500,sin_excl,8,0.654,5.779,0.042,1,3.631,1,0.885,0.905,4,17
1,20653,3500,excl_orto_barajada,8,0.654,5.18,0.042,1,6.955,1,0.92,0.912,4,17
1,20653,3500,excl_orto_bosones,8,0.654,5.336,0.036,1,5.92,1,0.894,0.903,1,17
1,20653,3500,marco_congelado,8,0.654,5.949,0.04,0,7.978,0,0.902,0.91,4,17
3,20659,3500,excl_orto,8,0.893,6.076,0.04,1,6.868,1,1.002,0.912,4,17
3,20659,3500,sin_excl,8,0.893,5.447,0.046,1,5.363,1,1.002,0.91,4,17
3,20659,3500,excl_orto_barajada,8,0.893,5.494,0.046,1,7.19,1,1.055,0.901,4,17
3,20659,3500,excl_orto_bosones,8,0.893,5.53,0.045,2,5.109,1,0.9,0.911,4,17
3,20659,3500,marco_congelado,8,0.893,5.754,0.046,0,7.981,0,0.976,0.905,5,17
4,20662,3500,excl_orto,8,0.623,5.458,0.048,2,6.9,1,0.91,0.904,4,17
4,20662,3500,sin_excl,8,0.623,5.474,0.042,1,5.344,1,0.941,0.912,4,17
4,20662,3500,excl_orto_barajada,8,0.623,5.648,0.045,1,7.031,1,1.09,0.901,4,17
4,20662,3500,excl_orto_bosones,8,0.623,5.769,0.047,1,6.44,1,0.928,0.911,4,17
4,20662,3500,marco_congelado,8,0.623,5.935,0.042,0,7.987,0,0.971,0.913,4,17
2,20656,3500,excl_orto,8,0.769,5.803,0.042,1,6.831,1,1.035,0.91,3,17
2,20656,3500,sin_excl,8,0.769,5.552,0.041,1,6.041,1,0.972,0.903,3,17
2,20656,3500,excl_orto_barajada,8,0.769,5.525,0.033,1,6.46,1,0.951,0.916,4,17
2,20656,3500,excl_orto_bosones,8,0.769,5.923,0.047,0,7.054,0,1.12,0.915,4,17
2,20656,3500,marco_congelado,8,0.769,5.921,0.04,0,7.986,0,0.938,0.911,4,17
5,20665,3500,excl_orto,8,0.569,5.875,0.039,1,6.593,1,0.939,0.907,3,17
5,20665,3500,sin_excl,8,0.569,5.874,0.047,1,4.173,1,0.917,0.901,4,17
5,20665,3500,excl_orto_barajada,8,0.569,5.889,0.043,1,6.756,1,0.968,0.905,4,17
5,20665,3500,excl_orto_bosones,8,0.569,6.082,0.043,3,6.815,1,0.92,0.903,4,17
5,20665,3500,marco_congelado,8,0.569,5.808,0.046,0,7.982,0,0.986,0.904,4,17
7,20671,3500,excl_orto,8,0.732,5.455,0.048,2,6.659,1,1.056,0.905,4,17
7,20671,3500,sin_excl,8,0.732,5.784,0.046,1,5.034,1,0.897,0.907,4,17
7,20671,3500,excl_orto_barajada,8,0.732,5.536,0.043,2,6.877,1,1.016,0.912,4,17
7,20671,3500,excl_orto_bosones,8,0.732,5.634,0.043,1,6.362,1,0.898,0.908,3,17
7,20671,3500,marco_congelado,8,0.732,5.793,0.04,0,7.984,0,0.955,0.911,4,17
8,20674,3500,excl_orto,8,0.703,5.748,0.048,1,6.222,1,0.918,0.902,4,17
8,20674,3500,sin_excl,8,0.703,4.877,0.042,2,5.519,1,1.101,0.906,3,17
8,20674,3500,excl_orto_barajada,8,0.703,5.192,0.044,1,6.888,1,0.936,0.914,3,17
8,20674,3500,excl_orto_bosones,8,0.703,5.556,0.043,1,6.388,1,0.953,0.902,4,17
8,20674,3500,marco_congelado,8,0.703,5.896,0.039,0,7.977,0,0.958,0.905,4,17
10,20680,3500,excl_orto,8,0.541,5.448,0.046,1,6.899,1,0.858,0.899,4,17
10,20680,3500,sin_excl,8,0.541,5.796,0.04,1,5.054,1,1.071,0.902,4,17
10,20680,3500,excl_orto_barajada,8,0.541,5.861,0.044,1,6.382,1,0.998,0.9,4,17
10,20680,3500,excl_orto_bosones,8,0.541,5.763,0.046,2,5.725,1,0.951,0.901,4,17
10,20680,3500,marco_congelado,8,0.541,6.037,0.042,0,7.986,0,0.875,0.897,4,17
9,20677,3500,excl_orto,8,0.814,5.656,0.044,1,6.951,1,0.877,0.908,4,17
9,20677,3500,sin_excl,8,0.814,5.876,0.043,2,5.858,1,0.836,0.907,4,17
9,20677,3500,excl_orto_barajada,8,0.814,5.726,0.04,0,7.205,0,0.821,0.91,4,17
9,20677,3500,excl_orto_bosones,8,0.814,5.633,0.042,1,5.538,1,0.977,0.913,5,17
9,20677,3500,marco_congelado,8,0.814,5.78,0.04,0,7.979,0,1.05,0.915,4,16
6,20668,3500,excl_orto,8,0.624,5.532,0.043,3,7.018,1,0.902,0.899,4,17
6,20668,3500,sin_excl,8,0.624,6.091,0.043,3,5.299,1,0.74,0.903,4,17
6,20668,3500,excl_orto_barajada,8,0.624,5.495,0.043,1,6.867,1,0.957,0.905,4,17
6,20668,3500,excl_orto_bosones,8,0.624,5.592,0.047,2,5.903,1,0.912,0.91,3,17
6,20668,3500,marco_congelado,8,0.624,5.697,0.044,0,7.977,0,1.156,0.911,4,17
11,20683,3500,excl_orto,8,0.735,5.777,0.035,0,7.091,0,0.776,0.917,4,17
11,20683,3500,sin_excl,8,0.735,4.591,0.042,2,5.058,1,0.912,0.905,4,17
11,20683,3500,excl_orto_barajada,8,0.735,5.702,0.038,1,6.87,1,0.993,0.9,4,17
11,20683,3500,excl_orto_bosones,8,0.735,5.635,0.042,1,4.918,1,1.06,0.905,4,17
11,20683,3500,marco_congelado,8,0.735,5.75,0.045,0,7.984,0,0.885,0.912,4,17
13,20689,3500,excl_orto,8,0.739,5.588,0.042,2,7.191,1,0.91,0.911,4,17
13,20689,3500,sin_excl,8,0.739,5.417,0.046,1,5.066,1,0.841,0.907,4,17
13,20689,3500,excl_orto_barajada,8,0.739,5.976,0.039,1,6.731,1,0.98,0.908,3,17
13,20689,3500,excl_orto_bosones,8,0.739,5.625,0.043,1,5.886,1,0.896,0.907,4,17
13,20689,3500,marco_congelado,8,0.739,5.259,0.046,0,7.99,0,0.991,0.911,4,17
14,20692,3500,excl_orto,8,0.632,5.553,0.044,1,6.729,1,1.091,0.907,4,17
14,20692,3500,sin_excl,8,0.632,5.725,0.044,1,4.606,1,0.932,0.903,1,17
14,20692,3500,excl_orto_barajada,8,0.632,5.528,0.044,3,6.521,1,0.952,0.907,4,17
14,20692,3500,excl_orto_bosones,8,0.632,5.947,0.044,1,5.693,1,0.939,0.899,4,17
14,20692,3500,marco_congelado,8,0.632,5.405,0.041,0,7.986,0,0.974,0.906,4,17
12,20686,3500,excl_orto,8,0.745,5.595,0.042,0,7.16,0,1.075,0.913,4,17
12,20686,3500,sin_excl,8,0.745,5.802,0.048,1,5.993,1,0.956,0.911,3,17
12,20686,3500,excl_orto_barajada,8,0.745,5.37,0.044,1,6.717,1,0.916,0.912,4,17
12,20686,3500,excl_orto_bosones,8,0.745,5.377,0.047,2,6.407,1,0.873,0.917,4,17
12,20686,3500,marco_congelado,8,0.745,5.751,0.046,0,7.982,0,0.839,0.909,4,17
15,20695,3500,excl_orto,8,0.764,5.638,0.044,1,6.823,1,1.011,0.895,4,17
15,20695,3500,sin_excl,8,0.764,5.066,0.043,1,4.857,1,0.971,0.907,4,17
15,20695,3500,excl_orto_barajada,8,0.764,5.021,0.045,1,6.945,1,1.05,0.913,4,17
15,20695,3500,excl_orto_bosones,8,0.764,5.495,0.043,2,5.266,1,0.967,0.893,4,17
15,20695,3500,marco_congelado,8,0.764,5.708,0.046,0,7.978,0,0.962,0.919,4,17
17,20701,3500,excl_orto,8,0.54,5.955,0.036,2,6.431,1,0.878,0.893,4,17
17,20701,3500,sin_excl,8,0.54,4.376,0.04,3,5.997,1,0.945,0.906,4,17
17,20701,3500,excl_orto_barajada,8,0.54,5.548,0.045,1,6.497,1,0.975,0.905,4,17
17,20701,3500,excl_orto_bosones,8,0.54,5.662,0.046,2,6.573,1,0.933,0.907,3,17
17,20701,3500,marco_congelado,8,0.54,5.661,0.045,0,7.989,0,0.994,0.895,4,17
16,20698,3500,excl_orto,8,0.784,5.864,0.041,0,7.13,0,1.035,0.901,4,17
16,20698,3500,sin_excl,8,0.784,5.798,0.041,1,4.865,1,1.0,0.912,3,17
16,20698,3500,excl_orto_barajada,8,0.784,5.805,0.039,1,6.748,1,0.938,0.912,3,17
16,20698,3500,excl_orto_bosones,8,0.784,6.041,0.038,2,5.78,1,0.937,0.91,4,17
16,20698,3500,marco_congelado,8,0.784,5.879,0.042,0,7.988,0,1.063,0.905,4,17
20,20710,3500,excl_orto,8,0.566,5.776,0.044,1,6.643,1,0.883,0.909,4,17
20,20710,3500,sin_excl,8,0.566,5.574,0.046,1,5.276,1,0.909,0.905,4,17
20,20710,3500,excl_orto_barajada,8,0.566,5.688,0.046,1,6.445,1,1.039,0.913,3,17
20,20710,3500,excl_orto_bosones,8,0.566,5.412,0.046,4,6.236,1,0.924,0.905,4,17
20,20710,3500,marco_congelado,8,0.566,5.668,0.046,0,7.989,0,1.048,0.902,3,17
18,20704,3500,excl_orto,8,0.875,5.614,0.045,0,7.348,0,0.897,0.9,4,17
18,20704,3500,sin_excl,8,0.875,5.726,0.041,1,4.915,1,0.718,0.906,4,17
18,20704,3500,excl_orto_barajada,8,0.875,5.758,0.037,1,6.897,1,0.923,0.913,4,17
