patch,seed,N,arm,D_max,frac_ferm,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
0,20650,1200,excl_orto,8,0.735,4.806,0.051,1,5.012,1,0.896,0.909,3,17
0,20650,1200,sin_excl,8,0.735,nan,0.049,1,2.53,1,0.931,0.902,4,17
0,20650,1200,excl_orto_barajada,8,0.735,nan,0.044,1,5.919,1,0.921,0.916,3,17
0,20650,1200,excl_orto_bosones,8,0.735,nan,0.047,1,3.821,1,0.907,0.917,3,17
0,20650,1200,marco_congelado,8,0.735,4.566,0.058,0,7.953,0,1.144,0.917,4,17
1,20653,1200,excl_orto,8,0.654,nan,0.058,3,6.024,1,0.937,0.907,3,17
1,20653,1200,sin_excl,8,0.654,4.758,0.05,2,4.16,1,0.899,0.912,4,17
1,20653,1200,excl_orto_barajada,8,0.654,nan,0.048,1,5.247,1,0.881,0.892,3,17
1,20653,1200,excl_orto_bosones,8,0.654,nan,0.049,2,5.063,1,0.827,0.923,3,17
1,20653,1200,marco_congelado,8,0.654,4.695,0.045,0,7.948,0,0.857,0.912,2,17
2,20656,1200,excl_orto,8,0.769,nan,0.054,1,5.35,1,0.795,0.913,3,17
2,20656,1200,sin_excl,8,0.769,nan,0.052,1,3.734,1,1.0,0.901,4,17
2,20656,1200,excl_orto_barajada,8,0.769,4.77,0.053,1,5.391,1,0.89,0.892,3,17
2,20656,1200,excl_orto_bosones,8,0.769,nan,0.054,1,3.838,1,0.783,0.902,3,17
2,20656,1200,marco_congelado,8,0.769,4.787,0.059,0,7.953,0,1.022,0.92,3,17
3,20659,1200,excl_orto,8,0.893,4.62,0.047,1,6.061,1,0.786,0.898,4,17
3,20659,1200,sin_excl,8,0.893,4.514,0.047,1,3.191,1,0.878,0.907,3,17
3,20659,1200,excl_orto_barajada,8,0.893,nan,0.047,2,6.179,1,0.918,0.918,3,17
3,20659,1200,excl_orto_bosones,8,0.893,4.675,0.045,1,4.447,1,0.883,0.909,3,17
3,20659,1200,marco_congelado,8,0.893,nan,0.053,0,7.953,0,0.854,0.907,4,17
4,20662,1200,excl_orto,8,0.623,nan,0.05,2,5.045,1,0.903,0.901,3,17
4,20662,1200,sin_excl,8,0.623,4.616,0.047,1,2.88,1,0.777,0.9,2,17
4,20662,1200,excl_orto_barajada,8,0.623,nan,0.054,2,5.9,1,0.973,0.9,3,17
4,20662,1200,excl_orto_bosones,8,0.623,nan,0.053,2,4.719,1,0.953,0.906,3,17
4,20662,1200,marco_congelado,8,0.623,nan,0.052,0,7.935,0,1.033,0.921,4,17
5,20665,1200,excl_orto,8,0.569,nan,0.048,1,5.492,1,0.944,0.896,3,17
5,20665,1200,sin_excl,8,0.569,4.65,0.05,1,2.981,1,0.914,0.907,4,17
5,20665,1200,excl_orto_barajada,8,0.569,nan,0.052,1,4.909,1,1.165,0.912,3,17
5,20665,1200,excl_orto_bosones,8,0.569,4.742,0.057,1,5.622,1,0.864,0.912,3,17
5,20665,1200,marco_congelado,8,0.569,nan,0.053,0,7.982,0,0.862,0.897,3,17
6,20668,1200,excl_orto,8,0.624,4.258,0.056,1,5.574,1,0.905,0.902,3,17
6,20668,1200,sin_excl,8,0.624,4.626,0.056,1,3.534,1,1.0,0.892,3,17
6,20668,1200,excl_orto_barajada,8,0.624,4.584,0.051,2,5.342,1,0.832,0.92,3,17
6,20668,1200,excl_orto_bosones,8,0.624,nan,0.055,1,5.129,1,0.947,0.902,3,17
6,20668,1200,marco_congelado,8,0.624,nan,0.048,0,7.954,0,0.983,0.902,3,17
7,20671,1200,excl_orto,8,0.732,nan,0.051,2,5.519,1,0.9,0.899,3,17
7,20671,1200,sin_excl,8,0.732,4.763,0.049,2,3.683,1,0.802,0.923,5,16
7,20671,1200,excl_orto_barajada,8,0.732,nan,0.055,1,5.52,1,0.937,0.924,4,17
7,20671,1200,excl_orto_bosones,8,0.732,4.867,0.049,1,4.021,1,0.92,0.907,3,17
7,20671,1200,marco_congelado,8,0.732,nan,0.049,0,7.957,0,1.074,0.907,3,17
