patch,seed,N,arm,k_local,D_max,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,grado_medio,clustering,diam_fin,pasos
1,66103,2500,local,5,8,2.683,0.03,2,6.922,1,0.84,0.902,12.986,0.4565,15,20
1,66103,2500,sin_local,-1,8,5.257,0.049,1,5.378,1,0.876,0.909,51.035,0.0814,4,17
1,66103,2500,local_barajado,5,8,3.016,0.053,1,6.221,1,1.181,0.914,12.67,0.1123,7,20
1,66103,2500,local_marco_congelado,5,8,2.675,0.027,0,7.987,0,0.97,0.901,12.962,0.47,12,20
5,66115,2500,local,6,8,3.638,0.032,1,6.239,1,0.965,0.897,15.539,0.3226,8,20
5,66115,2500,sin_local,-1,8,5.229,0.05,1,4.483,1,1.007,0.911,51.63,0.0835,4,17
5,66115,2500,local_barajado,6,8,3.24,0.057,2,4.78,1,1.145,0.908,14.971,0.0906,6,20
5,66115,2500,local_marco_congelado,6,8,3.674,0.032,0,7.98,0,1.03,0.912,15.808,0.3446,9,20
2,66106,2500,local,8,8,5.041,0.037,2,5.843,1,0.91,0.913,21.01,0.2132,5,20
2,66106,2500,sin_local,-1,8,5.234,0.045,1,4.424,1,0.926,0.914,51.864,0.0831,4,17
2,66106,2500,local_barajado,8,8,3.9,0.052,1,5.547,1,1.096,0.914,19.85,0.0577,5,20
2,66106,2500,local_marco_congelado,8,8,5.27,0.04,0,7.966,0,0.918,0.906,20.872,0.2217,5,20
6,66118,2500,local,6,8,3.487,0.045,1,6.058,1,0.906,0.906,15.482,0.3395,8,20
6,66118,2500,sin_local,-1,8,5.402,0.043,1,5.383,1,0.912,0.92,48.291,0.0957,4,16
6,66118,2500,local_barajado,6,8,3.381,0.057,1,5.162,1,1.095,0.914,15.139,0.0837,6,20
6,66118,2500,local_marco_congelado,6,8,3.982,0.026,0,7.977,0,0.948,0.917,16.008,0.3423,8,20
3,66109,2500,local,13,8,5.648,0.04,2,4.645,1,0.94,0.908,32.826,0.1334,4,20
3,66109,2500,sin_local,-1,8,5.469,0.042,2,5.272,1,0.815,0.906,50.811,0.0906,4,17
3,66109,2500,local_barajado,13,8,4.192,0.059,1,3.533,1,0.878,0.918,32.021,0.0394,4,20
3,66109,2500,local_marco_congelado,13,8,5.858,0.039,0,7.975,0,1.09,0.913,33.736,0.1416,4,20
4,66112,2500,local,13,8,5.635,0.039,1,3.639,1,0.916,0.909,33.52,0.1335,4,20
4,66112,2500,sin_local,-1,8,5.485,0.044,1,5.474,1,0.949,0.902,49.957,0.0925,4,17
