patch,seed,N,arm,k_local,D_max,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,grado_medio,clustering,diam_fin,pasos
3,66109,1500,local,6,8,3.86,0.027,1,5.953,1,0.946,0.915,15.805,0.3386,1,20
3,66109,1500,sin_local,-1,8,4.043,0.051,1,3.939,1,0.885,0.913,51.424,0.0891,4,17
3,66109,1500,local_barajado,6,8,3.453,0.051,3,6.183,1,1.11,0.917,15.171,0.0833,5,20
3,66109,1500,local_marco_congelado,6,8,3.766,0.025,0,7.961,0,1.044,0.913,15.613,0.3663,7,20
4,66112,1500,local,6,8,3.364,0.032,1,5.559,1,0.925,0.915,15.701,0.3366,8,20
4,66112,1500,sin_local,-1,8,4.992,0.046,1,4.292,1,0.905,0.901,51.141,0.0927,3,17
4,66112,1500,local_barajado,6,8,3.285,0.055,1,4.248,1,1.044,0.922,15.157,0.0956,5,20
4,66112,1500,local_marco_congelado,6,8,3.123,0.032,0,7.955,0,1.006,0.923,15.525,0.3323,7,20
0,66100,1500,local,6,8,3.439,0.033,1,5.208,1,0.896,0.903,15.597,0.331,8,20
0,66100,1500,sin_local,-1,8,4.898,0.051,1,4.695,1,0.875,0.905,51.648,0.0951,3,17
0,66100,1500,local_barajado,6,8,3.386,0.055,1,4.157,1,1.061,0.914,15.168,0.084,6,20
0,66100,1500,local_marco_congelado,6,8,3.401,0.036,0,7.962,0,1.06,0.919,15.501,0.3588,9,20
5,66115,1500,local,6,8,3.799,0.025,1,5.186,1,0.887,0.919,15.757,0.3357,7,20
5,66115,1500,sin_local,-1,8,4.624,0.044,1,3.539,1,0.793,0.902,49.704,0.0928,3,17
5,66115,1500,local_barajado,6,8,3.317,0.057,1,4.372,1,1.041,0.905,14.968,0.0858,5,20
5,66115,1500,local_marco_congelado,6,8,3.681,0.041,0,7.967,0,1.019,0.909,15.621,0.3334,7,20
2,66106,1500,local,6,8,3.721,0.037,1,5.504,1,0.982,0.91,15.653,0.3384,7,20
2,66106,1500,sin_local,-1,8,4.96,0.053,2,4.465,1,0.916,0.913,52.088,0.0943,4,17
2,66106,1500,local_barajado,6,8,3.286,0.056,2,4.536,1,1.109,0.913,15.101,0.0906,5,20
2,66106,1500,local_marco_congelado,6,8,3.392,0.039,0,7.963,0,0.998,0.916,15.669,0.3429,7,20
1,66103,1500,local,6,8,3.291,0.039,2,5.756,1,0.978,0.905,15.493,0.3451,7,20
1,66103,1500,sin_local,-1,8,nan,0.05,1,4.028,1,1.006,0.913,51.363,0.0994,3,17
1,66103,1500,local_barajado,6,8,3.26,0.052,1,5.246,1,1.136,0.922,15.296,0.0939,5,20
1,66103,1500,local_marco_congelado,6,8,3.667,0.034,0,7.957,0,1.069,0.907,15.421,0.3302,8,20
6,66118,1500,local,6,8,3.343,0.037,2,6.514,1,1.012,0.913,15.627,0.344,7,20
6,66118,1500,sin_local,-1,8,5.129,0.057,2,4.304,1,1.033,0.905,49.947,0.088,4,17
6,66118,1500,local_barajado,6,8,3.268,0.054,1,4.168,1,1.013,0.912,14.931,0.091,6,20
6,66118,1500,local_marco_congelado,6,8,3.039,0.043,0,7.966,0,1.023,0.904,15.363,0.3543,8,20
7,66121,1500,local,6,8,3.297,0.038,1,5.978,1,0.955,0.914,15.552,0.3552,7,20
7,66121,1500,sin_local,-1,8,4.057,0.047,1,3.622,1,0.846,0.914,52.587,0.0899,3,17
7,66121,1500,local_barajado,6,8,3.317,0.055,1,4.221,1,1.169,0.909,14.944,0.0888,5,20
7,66121,1500,local_marco_congelado,6,8,3.503,0.043,0,7.948,0,1.113,0.898,15.469,0.341,7,20
10,66130,1500,local,6,8,3.207,0.034,1,5.617,1,0.959,0.923,15.621,0.3487,8,20
10,66130,1500,sin_local,-1,8,4.854,0.055,1,4.631,1,0.8,0.908,51.587,0.0932,4,17
10,66130,1500,local_barajado,6,8,3.338,0.053,1,4.458,1,1.115,0.903,14.947,0.0781,5,20
10,66130,1500,local_marco_congelado,6,8,3.303,0.031,0,7.953,0,1.018,0.912,15.579,0.362,7,20
8,66124,1500,local,6,8,3.764,0.015,1,6.344,1,0.855,0.902,15.48,0.352,8,20
8,66124,1500,sin_local,-1,8,4.863,0.054,1,3.422,1,0.662,0.915,52.221,0.0937,4,17
8,66124,1500,local_barajado,6,8,3.302,0.054,1,5.047,1,1.095,0.919,15.187,0.0864,6,20
8,66124,1500,local_marco_congelado,6,8,3.579,0.033,0,7.953,0,1.05,0.908,15.501,0.3573,9,20
9,66127,1500,local,6,8,3.276,0.04,1,5.849,1,0.951,0.913,15.531,0.3446,8,20
9,66127,1500,sin_local,-1,8,nan,0.048,2,4.754,1,0.897,0.911,52.256,0.0907,3,17
9,66127,1500,local_barajado,6,8,3.31,0.052,1,3.735,1,1.17,0.9,14.776,0.0881,5,20
9,66127,1500,local_marco_congelado,6,8,3.768,0.019,0,7.972,0,1.011,0.897,15.587,0.3492,7,20
11,66133,1500,local,6,8,3.613,0.023,1,6.261,1,0.952,0.9,15.624,0.3449,7,20
11,66133,1500,sin_local,-1,8,4.306,0.048,1,4.507,1,1.026,0.913,52.661,0.0844,3,17
11,66133,1500,local_barajado,6,8,3.256,0.057,3,5.429,1,1.154,0.919,15.117,0.09,6,20
11,66133,1500,local_marco_congelado,6,8,3.02,0.037,0,7.961,0,1.057,0.914,15.52,0.3418,7,20
14,66142,1500,local,6,8,3.445,0.035,1,5.314,1,0.949,0.911,15.624,0.3452,7,20
14,66142,1500,sin_local,-1,8,4.814,0.051,3,5.363,1,0.916,0.927,48.616,0.0998,4,16
14,66142,1500,local_barajado,6,8,3.228,0.055,2,4.921,1,1.043,0.921,15.184,0.087,6,20
14,66142,1500,local_marco_congelado,6,8,3.447,0.04,0,7.967,0,1.031,0.909,15.443,0.3708,8,20
12,66136,1500,local,6,8,3.465,0.041,2,5.861,1,1.012,0.914,15.456,0.3614,6,20
12,66136,1500,sin_local,-1,8,5.072,0.054,2,5.064,1,0.836,0.899,51.715,0.1,3,17
12,66136,1500,local_barajado,6,8,3.239,0.056,1,5.105,1,1.195,0.91,15.008,0.077,5,20
12,66136,1500,local_marco_congelado,6,8,3.83,0.03,0,7.94,0,1.062,0.894,15.616,0.3291,6,20
13,66139,1500,local,6,8,3.669,0.033,1,5.238,1,0.872,0.909,15.595,0.3527,7,20
13,66139,1500,sin_local,-1,8,4.991,0.052,1,3.967,1,0.847,0.893,49.789,0.1026,3,17
13,66139,1500,local_barajado,6,8,3.381,0.046,1,4.932,1,1.093,0.906,15.016,0.0957,6,20
13,66139,1500,local_marco_congelado,6,8,3.384,0.033,0,7.975,0,0.993,0.898,15.403,0.3681,8,20
15,66145,1500,local,6,8,3.319,0.033,1,5.717,1,0.901,0.904,15.355,0.3465,7,20
15,66145,1500,sin_local,-1,8,4.895,0.049,1,3.893,1,0.709,0.91,51.864,0.0901,3,17
15,66145,1500,local_barajado,6,8,3.287,0.056,2,5.187,1,1.001,0.909,15.029,0.0858,5,20
15,66145,1500,local_marco_congelado,6,8,3.598,0.039,0,7.958,0,0.94,0.93,15.952,0.3491,7,20
16,66148,1500,local,6,8,3.724,0.037,1,5.936,1,0.966,0.903,15.416,0.376,8,20
16,66148,1500,sin_local,-1,8,5.02,0.046,2,4.429,1,0.745,0.914,52.803,0.0916,3,17
16,66148,1500,local_barajado,6,8,3.272,0.057,1,3.879,1,1.072,0.919,15.176,0.0827,6,20
16,66148,1500,local_marco_congelado,6,8,3.429,0.037,0,7.942,0,1.04,0.908,15.429,0.3485,7,20
17,66151,1500,local,6,8,3.43,0.033,1,5.75,1,0.932,0.913,15.749,0.3509,10,20
17,66151,1500,sin_local,-1,8,4.177,0.05,2,4.452,1,0.729,0.915,51.389,0.0943,3,17
17,66151,1500,local_barajado,6,8,3.255,0.055,1,5.007,1,1.128,0.909,14.973,0.0873,5,20
17,66151,1500,local_marco_congelado,6,8,2.979,0.033,0,7.96,0,1.05,0.913,15.379,0.3693,10,20
18,66154,1500,local,6,8,3.708,0.038,1,6.001,1,0.982,0.911,15.677,0.3314,7,20
18,66154,1500,sin_local,-1,8,4.767,0.051,2,4.969,1,0.909,0.915,52.651,0.0941,3,17
18,66154,1500,local_barajado,6,8,3.332,0.052,1,5.182,1,1.131,0.916,15.099,0.0798,6,20
18,66154,1500,local_marco_congelado,6,8,3.373,0.038,0,7.956,0,1.029,0.916,15.715,0.352,6,20
22,66166,1500,local,6,8,3.179,0.038,2,6.233,1,1.076,0.921,15.448,0.3654,9,20
22,66166,1500,sin_local,-1,8,4.899,0.048,1,4.034,1,0.87,0.924,49.184,0.0961,4,16
22,66166,1500,local_barajado,6,8,3.258,0.057,1,5.346,1,1.06,0.919,15.248,0.0903,5,20
22,66166,1500,local_marco_congelado,6,8,3.461,0.03,0,7.957,0,1.103,0.91,15.853,0.3396,7,20
19,66157,1500,local,6,8,3.719,0.032,1,5.559,1,0.97,0.913,15.563,0.3332,7,20
19,66157,1500,sin_local,-1,8,4.91,0.049,1,4.017,1,0.907,0.913,51.592,0.0921,3,17
19,66157,1500,local_barajado,6,8,3.264,0.054,1,4.829,1,1.099,0.911,15.109,0.0942,6,20
19,66157,1500,local_marco_congelado,6,8,3.678,0.028,0,7.962,0,1.16,0.913,15.675,0.3502,7,20
21,66163,1500,local,6,8,3.489,0.038,1,4.862,1,0.955,0.902,15.4,0.3534,1,20
21,66163,1500,sin_local,-1,8,4.794,0.052,1,4.191,1,1.023,0.901,51.248,0.0891,4,17
21,66163,1500,local_barajado,6,8,3.253,0.058,1,5.451,1,1.134,0.909,14.925,0.085,6,20
21,66163,1500,local_marco_congelado,6,8,3.84,0.044,0,7.959,0,0.993,0.891,15.499,0.3438,6,20
20,66160,1500,local,6,8,3.973,0.025,1,5.772,1,0.872,0.917,15.741,0.3233,8,20
20,66160,1500,sin_local,-1,8,5.123,0.05,1,4.467,1,0.868,0.911,51.611,0.0884,4,17
20,66160,1500,local_barajado,6,8,3.297,0.052,1,5.446,1,1.025,0.916,15.093,0.093,5,20
20,66160,1500,local_marco_congelado,6,8,3.926,0.026,0,7.956,0,0.982,0.911,15.936,0.3341,7,20
23,66169,1500,local,6,8,3.298,0.036,2,6.296,1,0.787,0.914,15.613,0.3384,7,20
