q_E,q_T,seed_swap,seed_orden,n,n_aristas,n_componentes,giant_frac,lambda2,lambda_max,mean_eig,std_eig,d_s_t0.05,d_s_t0.2,d_s_t1.0,d_s_t5.0,mean_s2,ks_D_poisson,ks_p_poisson,ks_D_goe,ks_p_goe,frac_s_lt_02,pct_aristas_distintas,n_tocadas_orden,factor_swaps_nominal,factor_swaps_int,es_referencia,_tiempo_s,swap_aceptados,swap_intentos,n_aristas_qe
1.0,1.0,,,1599,4945,1,1.0,0.019923,11.581,4.945,2.4505,0.487,1.551,1.963,2.203,1.412,0.172,0.0,0.0621,0.0,0.0682,0.0,0,0.0,0,REAL,1.83,,,
1.0,1.0,6000,7000,1599,4945,1,1.0,0.019923,11.581,4.945,2.4505,0.487,1.551,1.963,2.203,1.412,0.172,0.0,0.0621,0.0,0.0682,0.0,0,0.0,0,,1.98,0,0,4945
1.0,0.5,6000,7001,1599,4945,1,1.0,0.019923,11.581,4.945,2.4505,0.487,1.551,1.963,2.203,1.412,0.172,0.0,0.0621,0.0,0.0682,0.0,2472,0.0,0,,1.89,0,0,4945
1.0,0.0,6000,7002,1599,4945,1,1.0,0.019923,11.581,4.945,2.4505,0.487,1.551,1.963,2.203,1.412,0.172,0.0,0.0621,0.0,0.0682,0.0,4945,0.0,0,,1.87,0,0,4945
1.0,1.0,6001,7010,1599,4945,1,1.0,0.019923,11.581,4.945,2.4505,0.487,1.551,1.963,2.203,1.412,0.172,0.0,0.0621,0.0,0.0682,0.0,0,0.0,0,,2.21,0,0,4945
1.0,0.5,6001,7011,1599,4945,1,1.0,0.019923,11.581,4.945,2.4505,0.487,1.551,1.963,2.203,1.412,0.172,0.0,0.0621,0.0,0.0682,0.0,2472,0.0,0,,2.31,0,0,4945
1.0,0.0,6001,7012,1599,4945,1,1.0,0.019923,11.581,4.945,2.4505,0.487,1.551,1.963,2.203,1.412,0.172,0.0,0.0621,0.0,0.0682,0.0,4945,0.0,0,,1.91,0,0,4945
1.0,1.0,6002,7020,1599,4945,1,1.0,0.019923,11.581,4.945,2.4505,0.487,1.551,1.963,2.203,1.412,0.172,0.0,0.0621,0.0,0.0682,0.0,0,0.0,0,,1.95,0,0,4945
1.0,0.5,6002,7021,1599,4945,1,1.0,0.019923,11.581,4.945,2.4505,0.487,1.551,1.963,2.203,1.412,0.172,0.0,0.0621,0.0,0.0682,0.0,2472,0.0,0,,2.03,0,0,4945
1.0,0.0,6002,7022,1599,4945,1,1.0,0.019923,11.581,4.945,2.4505,0.487,1.551,1.963,2.203,1.412,0.172,0.0,0.0621,0.0,0.0682,0.0,4945,0.0,0,,1.95,0,0,4945
1.0,1.0,6003,7030,1599,4945,1,1.0,0.019923,11.581,4.945,2.4505,0.487,1.551,1.963,2.203,1.412,0.172,0.0,0.0621,0.0,0.0682,0.0,0,0.0,0,,2.05,0,0,4945
1.0,0.5,6003,7031,1599,4945,1,1.0,0.019923,11.581,4.945,2.4505,0.487,1.551,1.963,2.203,1.412,0.172,0.0,0.0621,0.0,0.0682,0.0,2472,0.0,0,,1.99,0,0,4945
1.0,0.0,6003,7032,1599,4945,1,1.0,0.019923,11.581,4.945,2.4505,0.487,1.551,1.963,2.203,1.412,0.172,0.0,0.0621,0.0,0.0682,0.0,4945,0.0,0,,2.22,0,0,4945
1.0,1.0,6004,7040,1599,4945,1,1.0,0.019923,11.581,4.945,2.4505,0.487,1.551,1.963,2.203,1.412,0.172,0.0,0.0621,0.0,0.0682,0.0,0,0.0,0,,2.08,0,0,4945
1.0,0.5,6004,7041,1599,4945,1,1.0,0.019923,11.581,4.945,2.4505,0.487,1.551,1.963,2.203,1.412,0.172,0.0,0.0621,0.0,0.0682,0.0,2472,0.0,0,,2.24,0,0,4945
1.0,0.0,6004,7042,1599,4945,1,1.0,0.019923,11.581,4.945,2.4505,0.487,1.551,1.963,2.203,1.412,0.172,0.0,0.0621,0.0,0.0682,0.0,4945,0.0,0,,2.04,0,0,4945
0.75,1.0,6000,7000,1599,4945,1,1.0,0.053034,11.601,4.945,2.4505,0.487,1.556,2.079,2.532,1.3516,0.1804,0.0,0.0451,0.0029,0.0682,2.55,0,2.5,2,,2.01,64,9890,4945
0.75,0.5,6000,7001,1599,4945,1,1.0,0.053034,11.601,4.945,2.4505,0.487,1.556,2.079,2.532,1.3516,0.1804,0.0,0.0451,0.0029,0.0682,2.55,2472,2.5,2,,2.04,64,9890,4945
0.75,0.0,6000,7002,1599,4945,1,1.0,0.053034,11.601,4.945,2.4505,0.487,1.556,2.079,2.532,1.3516,0.1804,0.0,0.0451,0.0029,0.0682,2.55,4945,2.5,2,,2.16,64,9890,4945
0.75,1.0,6001,7010,1599,4945,1,1.0,0.056983,11.581,4.945,2.4505,0.487,1.557,2.096,2.622,1.3351,0.1955,0.0,0.0332,0.0577,0.0619,2.93,0,2.5,2,,2.26,77,9890,4945
0.75,0.5,6001,7011,1599,4945,1,1.0,0.056983,11.581,4.945,2.4505,0.487,1.557,2.096,2.622,1.3351,0.1955,0.0,0.0332,0.0577,0.0619,2.93,2472,2.5,2,,2.04,77,9890,4945
0.75,0.0,6001,7012,1599,4945,1,1.0,0.056983,11.581,4.945,2.4505,0.487,1.557,2.096,2.622,1.3351,0.1955,0.0,0.0332,0.0577,0.0619,2.93,4945,2.5,2,,2.07,77,9890,4945
0.75,1.0,6002,7020,1599,4945,1,1.0,0.04283,11.618,4.945,2.4505,0.487,1.556,2.075,2.513,1.3401,0.1954,0.0,0.0403,0.0107,0.0663,2.61,0,2.5,2,,2.16,67,9890,4945
0.75,0.5,6002,7021,1599,4945,1,1.0,0.04283,11.618,4.945,2.4505,0.487,1.556,2.075,2.513,1.3401,0.1954,0.0,0.0403,0.0107,0.0663,2.61,2472,2.5,2,,1.94,67,9890,4945
0.75,0.0,6002,7022,1599,4945,1,1.0,0.04283,11.618,4.945,2.4505,0.487,1.556,2.075,2.513,1.3401,0.1954,0.0,0.0403,0.0107,0.0663,2.61,4945,2.5,2,,2.03,67,9890,4945
0.75,1.0,6003,7030,1599,4945,1,1.0,0.055252,11.581,4.945,2.4505,0.487,1.557,2.098,2.603,1.3379,0.1823,0.0,0.0417,0.0074,0.0619,2.63,0,2.5,2,,2.02,66,9890,4945
0.75,0.5,6003,7031,1599,4945,1,1.0,0.055252,11.581,4.945,2.4505,0.487,1.557,2.098,2.603,1.3379,0.1823,0.0,0.0417,0.0074,0.0619,2.63,2472,2.5,2,,2.01,66,9890,4945
0.75,0.0,6003,7032,1599,4945,1,1.0,0.055252,11.581,4.945,2.4505,0.487,1.557,2.098,2.603,1.3379,0.1823,0.0,0.0417,0.0074,0.0619,2.63,4945,2.5,2,,2.19,66,9890,4945
0.75,1.0,6004,7040,1599,4945,1,1.0,0.040981,11.581,4.945,2.4505,0.487,1.556,2.066,2.501,1.3525,0.1808,0.0,0.044,0.004,0.06,2.49,0,2.5,2,,2.11,63,9890,4945
0.75,0.5,6004,7041,1599,4945,1,1.0,0.040981,11.581,4.945,2.4505,0.487,1.556,2.066,2.501,1.3525,0.1808,0.0,0.044,0.004,0.06,2.49,2472,2.5,2,,2.21,63,9890,4945
0.75,0.0,6004,7042,1599,4945,1,1.0,0.040981,11.581,4.945,2.4505,0.487,1.556,2.066,2.501,1.3525,0.1808,0.0,0.044,0.004,0.06,2.49,4945,2.5,2,,1.89,63,9890,4945
0.5,1.0,6000,7000,1599,4945,1,1.0,0.08178,11.597,4.945,2.4505,0.488,1.563,2.245,3.002,1.3247,0.1939,0.0,0.0351,0.0378,0.055,6.11,0,5.0,5,,2.29,160,24725,4945
0.5,0.5,6000,7001,1599,4945,1,1.0,0.08178,11.597,4.945,2.4505,0.488,1.563,2.245,3.002,1.3247,0.1939,0.0,0.0351,0.0378,0.055,6.11,2472,5.0,5,,1.71,160,24725,4945
0.5,0.0,6000,7002,1599,4945,1,1.0,0.08178,11.597,4.945,2.4505,0.488,1.563,2.245,3.002,1.3247,0.1939,0.0,0.0351,0.0378,0.055,6.11,4945,5.0,5,,2.08,160,24725,4945
0.5,1.0,6001,7010,1599,4945,1,1.0,0.105926,11.581,4.945,2.4505,0.488,1.564,2.27,3.201,1.3282,0.1967,0.0,0.0328,0.0624,0.0544,6.96,0,5.0,5,,1.92,187,24725,4945
0.5,0.5,6001,7011,1599,4945,1,1.0,0.105926,11.581,4.945,2.4505,0.488,1.564,2.27,3.201,1.3282,0.1967,0.0,0.0328,0.0624,0.0544,6.96,2472,5.0,5,,1.98,187,24725,4945
0.5,0.0,6001,7012,1599,4945,1,1.0,0.105926,11.581,4.945,2.4505,0.488,1.564,2.27,3.201,1.3282,0.1967,0.0,0.0328,0.0624,0.0544,6.96,4945,5.0,5,,1.85,187,24725,4945
0.5,1.0,6002,7020,1599,4945,1,1.0,0.071232,11.88,4.945,2.4505,0.488,1.564,2.267,2.995,1.3429,0.1832,0.0,0.0418,0.0072,0.055,6.98,0,5.0,5,,1.95,184,24725,4945
0.5,0.5,6002,7021,1599,4945,1,1.0,0.071232,11.88,4.945,2.4505,0.488,1.564,2.267,2.995,1.3429,0.1832,0.0,0.0418,0.0072,0.055,6.98,2472,5.0,5,,2.06,184,24725,4945
0.5,0.0,6002,7022,1599,4945,1,1.0,0.071232,11.88,4.945,2.4505,0.488,1.564,2.267,2.995,1.3429,0.1832,0.0,0.0418,0.0072,0.055,6.98,4945,5.0,5,,2.09,184,24725,4945
0.5,1.0,6003,7030,1599,4945,1,1.0,0.095514,11.583,4.945,2.4505,0.488,1.565,2.274,3.099,1.317,0.1907,0.0,0.0356,0.0336,0.0582,6.73,0,5.0,5,,2.11,172,24725,4945
0.5,0.5,6003,7031,1599,4945,1,1.0,0.095514,11.583,4.945,2.4505,0.488,1.565,2.274,3.099,1.317,0.1907,0.0,0.0356,0.0336,0.0582,6.73,2472,5.0,5,,2.02,172,24725,4945
0.5,0.0,6003,7032,1599,4945,1,1.0,0.095514,11.583,4.945,2.4505,0.488,1.565,2.274,3.099,1.317,0.1907,0.0,0.0356,0.0336,0.0582,6.73,4945,5.0,5,,2.01,172,24725,4945
0.5,1.0,6004,7040,1599,4945,1,1.0,0.063948,11.589,4.945,2.4505,0.488,1.564,2.271,3.023,1.3181,0.1992,0.0,0.0254,0.2478,0.0513,7.16,0,5.0,5,,1.88,185,24725,4945
0.5,0.5,6004,7041,1599,4945,1,1.0,0.063948,11.589,4.945,2.4505,0.488,1.564,2.271,3.023,1.3181,0.1992,0.0,0.0254,0.2478,0.0513,7.16,2472,5.0,5,,2.34,185,24725,4945
0.5,0.0,6004,7042,1599,4945,1,1.0,0.063948,11.589,4.945,2.4505,0.488,1.564,2.271,3.023,1.3181,0.1992,0.0,0.0254,0.2478,0.0513,7.16,4945,5.0,5,,2.23,185,24725,4945
0.25,1.0,6000,7000,1599,4945,1,1.0,0.11922,11.536,4.945,2.4505,0.488,1.57,2.414,3.441,1.3083,0.2103,0.0,0.0255,0.2468,0.0394,10.52,0,7.5,8,,2.16,284,39560,4945
