tipo,q_E,q_T,i_seed,n,seed_layout,seed_swap,seed_orden,n_aristas,swap_aceptados,swap_intentos,factor_swaps_nominal,factor_swaps_int,n_tocadas_orden,rms_a_ref,rms_a_ref_rel,max_a_ref,radio_giro,anisotropia,d_nn_media,d_nn_std,d_knn8_media,long_arista_media,long_arista_std,lambda2_w,lambda_max_w,mean_eig_w,std_eig_w,n_ceros_w,_tiempo_s
control_techo_seedlayout,1.0,1.0,0,2000,12346,6000,7000,4945,0,0,0.0,0,0,13.526901,1.430421,21.569688,9.420274,1.01775,0.215485,0.34756,0.680357,3.210792,2.146724,0.002895,9.74012,2.872412,1.941779,1,264.51
control_techo_seedlayout,1.0,1.0,0,2000,12347,6000,7000,4945,0,0,0.0,0,0,12.951026,1.369524,21.71453,9.445971,1.03465,0.214418,0.350008,0.667293,3.119053,2.118158,0.004093,9.56877,2.941317,1.972586,1,265.25
control_techo_seedlayout,1.0,1.0,0,2000,12348,6000,7000,4945,0,0,0.0,0,0,12.697787,1.342745,21.675857,9.426962,1.02481,0.212829,0.339138,0.680843,3.190381,2.127305,0.003606,9.21622,2.882494,1.955863,1,266.21
grilla,0.0,0.0,0,2000,12345,6000,7003,4945,356,49450,10.0,10,4945,2.608444,0.275834,13.565112,9.506891,1.04583,0.190928,0.317872,0.621084,3.053101,2.026419,0.037592,9.79655,2.979389,1.970853,1,133.1
grilla,0.0,0.0,1,2000,12345,6001,7013,4945,362,49450,10.0,10,4945,2.906155,0.307315,14.006818,9.49915,1.04509,0.194754,0.321062,0.627508,3.063942,2.014036,0.037615,9.98048,2.969358,1.951787,1,132.99
grilla,0.0,0.0,2,2000,12345,6002,7023,4945,343,49450,10.0,10,4945,2.56642,0.27139,12.708664,9.510028,1.05088,0.191643,0.325849,0.617967,3.060336,2.049128,0.009811,10.66786,2.978627,1.97005,1,133.4
grilla,0.0,0.0,3,2000,12345,6003,7033,4945,337,49450,10.0,10,4945,2.618637,0.276911,12.700147,9.496277,1.04795,0.201214,0.340023,0.632497,3.062725,2.033226,0.033434,10.61158,2.970827,1.957484,1,132.7
grilla,0.0,0.0,4,2000,12345,6004,7043,4945,369,49450,10.0,10,4945,2.305286,0.243776,10.974982,9.529019,1.03954,0.190405,0.322952,0.612139,3.000138,2.034063,0.037588,10.69807,3.020678,1.982765,1,100.47
grilla,0.0,0.9,0,2000,12345,6000,7002,4945,356,49450,10.0,10,494,2.609118,0.275905,13.596291,9.505643,1.04586,0.189166,0.31182,0.621223,3.053318,2.024437,0.037754,9.78072,2.979321,1.970866,1,133.06
grilla,0.0,0.9,1,2000,12345,6001,7012,4945,362,49450,10.0,10,494,2.900612,0.306729,13.966896,9.499832,1.04585,0.195776,0.327622,0.629115,3.069443,2.011219,0.033601,9.95754,2.965361,1.949304,1,132.49
grilla,0.0,0.9,2,2000,12345,6002,7022,4945,343,49450,10.0,10,494,2.562668,0.270993,12.70211,9.508497,1.05035,0.192606,0.327115,0.619909,3.059109,2.042879,0.009637,10.70468,2.978893,1.967904,1,134.48
grilla,0.0,0.9,3,2000,12345,6003,7032,4945,337,49450,10.0,10,494,2.60729,0.275712,12.692432,9.495505,1.04683,0.201518,0.343688,0.634955,3.063724,2.031654,0.035195,10.69415,2.969833,1.95827,1,132.29
grilla,0.0,0.9,4,2000,12345,6004,7042,4945,369,49450,10.0,10,494,2.302898,0.243523,11.218346,9.529937,1.03929,0.187709,0.316863,0.610697,3.00295,2.032672,0.037197,10.68986,3.019296,1.981947,1,100.13
grilla,0.0,0.99,0,2000,12345,6000,7001,4945,356,49450,10.0,10,49,2.601769,0.275128,13.570952,9.508168,1.04521,0.187481,0.314048,0.618736,3.055462,2.028076,0.037714,9.78148,2.978643,1.970803,1,132.15
grilla,0.0,0.99,1,2000,12345,6001,7011,4945,362,49450,10.0,10,49,2.908362,0.307549,14.004502,9.499166,1.04529,0.195733,0.326547,0.627621,3.066772,2.012875,0.036746,9.94606,2.96634,1.948547,1,132.79
grilla,0.0,0.99,2,2000,12345,6002,7021,4945,343,49450,10.0,10,49,2.567332,0.271486,12.715381,9.508224,1.05052,0.195063,0.336072,0.619054,3.058166,2.045054,0.008565,10.59662,2.979363,1.969868,1,132.2
grilla,0.0,0.99,3,2000,12345,6003,7031,4945,337,49450,10.0,10,49,2.618346,0.276881,12.697374,9.49619,1.04726,0.202183,0.344503,0.633296,3.064529,2.032255,0.034563,10.69804,2.970482,1.959437,1,132.15
grilla,0.0,0.99,4,2000,12345,6004,7041,4945,369,49450,10.0,10,49,2.306673,0.243922,11.115064,9.528356,1.0388,0.190207,0.321706,0.613633,2.998815,2.033082,0.037465,10.67727,3.02161,1.981376,1,101.1
grilla,0.0,1.0,0,2000,12345,6000,7000,4945,356,49450,10.0,10,0,2.608727,0.275863,13.537825,9.50575,1.04617,0.189005,0.313062,0.620412,3.049649,2.027768,0.037741,9.7732,2.982216,1.972932,1,129.78
grilla,0.0,1.0,1,2000,12345,6001,7010,4945,362,49450,10.0,10,0,2.907205,0.307426,13.98901,9.4977,1.04564,0.196963,0.323491,0.63131,3.066121,2.009651,0.032093,9.94194,2.968008,1.949419,1,132.99
grilla,0.0,1.0,2,2000,12345,6002,7020,4945,343,49450,10.0,10,0,2.565332,0.271275,12.723487,9.507223,1.04841,0.192987,0.330551,0.619182,3.059816,2.041645,0.008546,10.61961,2.978847,1.967986,1,130.36
grilla,0.0,1.0,3,2000,12345,6003,7030,4945,337,49450,10.0,10,0,2.628596,0.277965,12.696323,9.496058,1.04594,0.203028,0.34293,0.633035,3.06498,2.030737,0.034613,10.76285,2.969954,1.958206,1,134.04
grilla,0.0,1.0,4,2000,12345,6004,7040,4945,369,49450,10.0,10,0,2.306516,0.243906,10.787461,9.528498,1.03899,0.189994,0.320441,0.613674,2.999857,2.032818,0.037556,10.72632,3.020994,1.982119,1,131.85
grilla,0.5,0.0,0,2000,12345,6000,7003,4945,160,24725,5.0,5,4945,2.780799,0.294059,12.962415,9.467017,1.03449,0.198441,0.334298,0.643587,3.107387,2.059929,0.020141,9.71922,2.942212,1.960804,1,161.27
grilla,0.5,0.0,1,2000,12345,6001,7013,4945,187,24725,5.0,5,4945,2.573631,0.272152,12.720453,9.484303,1.03864,0.203463,0.340048,0.646036,3.048002,2.020514,0.017085,9.9566,2.979019,1.962276,1,124.63
grilla,0.5,0.0,2,2000,12345,6002,7023,4945,184,24725,5.0,5,4945,2.759449,0.291802,12.78847,9.486399,1.05661,0.198756,0.334842,0.632534,3.093905,2.072457,0.005599,10.50875,2.952819,1.965416,1,124.47
grilla,0.5,0.0,3,2000,12345,6003,7033,4945,172,24725,5.0,5,4945,2.730374,0.288727,13.615362,9.47868,1.04497,0.195155,0.3192,0.641238,3.121815,2.06984,0.025338,10.60951,2.932715,1.953462,1,126.06
grilla,0.5,0.0,4,2000,12345,6004,7043,4945,185,24725,5.0,5,4945,2.449004,0.258973,12.89779,9.507086,1.04976,0.196119,0.326155,0.628686,3.060333,2.059108,0.024101,10.67499,2.97635,1.978912,1,125.98
grilla,0.5,0.9,0,2000,12345,6000,7002,4945,160,24725,5.0,5,494,2.782476,0.294237,13.21564,9.469265,1.03377,0.199761,0.340773,0.641638,3.112491,2.059185,0.017251,9.71834,2.939058,1.960516,1,162.03
grilla,0.5,0.9,1,2000,12345,6001,7012,4945,187,24725,5.0,5,494,2.568603,0.271621,12.728817,9.484483,1.03835,0.202328,0.33812,0.645365,3.047639,2.021068,0.017879,9.95471,2.981969,1.962078,1,124.79
grilla,0.5,0.9,2,2000,12345,6002,7022,4945,184,24725,5.0,5,494,2.760606,0.291924,12.772241,9.48761,1.05606,0.199548,0.339777,0.631908,3.0965,2.073791,0.005825,10.60522,2.950959,1.964779,1,125.22
grilla,0.5,0.9,3,2000,12345,6003,7032,4945,172,24725,5.0,5,494,2.726639,0.288332,13.574596,9.477154,1.04612,0.195017,0.317416,0.642171,3.125618,2.066034,0.025325,10.54698,2.928721,1.950273,1,125.23
