col,ss_total,pct_qE,pct_qT,pct_inter,pct_error,F_qE,F_qT,F_inter,df
rms_a_ref,83.98868056888074,98.14186308454578,0.07377309569714557,0.22264632627046635,1.561717493486611,1340.6349662272812,1.0077533536654328,1.013795882541644,"(3, 3, 9, 64)"
rms_a_ref_rel,0.9391869668599999,98.1418727303952,0.07377153567371465,0.22264584216826186,1.5617098917628398,1340.6416236191994,1.0077369486741017,1.0137986129410073,"(3, 3, 9, 64)"
max_a_ref,1916.7406812173647,97.29050495334383,0.30067626305622897,0.8576006764704295,1.5512181071295057,1338.0006091978416,4.13509029821042,3.9314224552409347,"(3, 3, 9, 64)"
radio_giro,0.03786641134888742,80.17352473997008,0.006458231320005848,0.03196608783695878,19.788050940877632,86.43441099359585,0.006962565535388071,0.01148745791464339,"(3, 3, 9, 64)"
anisotropia,0.0031420343949999908,22.25095868181877,0.049853846364402904,0.03804652813165675,77.66114094368481,6.1122861804165565,0.013694734709239162,0.0034837640246930517,"(3, 3, 9, 64)"
d_nn_media,0.0015956741224875007,33.484953619762926,0.6334438902689806,1.7635994979119034,64.11800299205609,11.141109265522712,0.2107593659887667,0.19559486259584694,"(3, 3, 9, 64)"
d_nn_std,0.01107582461675,36.07347344781625,0.17169431178283212,0.5625673194189907,63.192264920982005,12.178190392696154,0.05796297995143135,0.06330646196762733,"(3, 3, 9, 64)"
d_knn8_media,0.009883009448487502,72.59668805472415,0.1424007587046597,0.2870783647469136,26.97383282182308,57.415991097655755,0.11262332915136501,0.07568246466107556,"(3, 3, 9, 64)"
long_arista_media,0.18096176522468754,71.41419708615174,0.005108228705673036,0.043302311300514144,28.537392373842017,53.38619770206168,0.003818693183085434,0.010790318295098725,"(3, 3, 9, 64)"
long_arista_std,0.054836452190987525,78.85962320287511,0.07122962605500435,0.1922185650256445,20.876928606044125,80.58362703031636,0.07278682532832728,0.06547359524522987,"(3, 3, 9, 64)"
lambda2_w,0.011039888911487501,68.53648751179344,0.012478587860304553,0.06224168528860829,31.388792215057638,46.580694267157284,0.00848104866632808,0.014100814609164174,"(3, 3, 9, 64)"
lambda_max_w,12.803350122688753,4.219466119858796,0.056804626711425214,0.0736566720497469,95.65007258138003,0.9410894816317931,0.012669431436963792,0.005476010262039106,"(3, 3, 9, 64)"
mean_eig_w,0.09464378731019998,69.58356583000212,0.0010184994994334715,0.040994417703123516,30.37442125279556,48.871693456110044,0.0007153383809493202,0.009597412796643213,"(3, 3, 9, 64)"
std_eig_w,0.008773635189999997,32.08492073056171,0.03792451621186369,0.18884133020351856,67.68831342302492,10.1122080652377,0.011952674028038093,0.019839047740114777,"(3, 3, 9, 64)"
