seed,arm,b,n_cajas,N_b,diam,giant,d_s,holonomia,n_ciclos
80100,local,1,8000,8000,9.0,0.9059,4.049,0.9962,398
80100,local,2,4661,4661,8.0,0.8507,4.102,1.0699,400
80100,local,4,2930,2930,7.0,0.7676,4.163,1.0155,400
80100,local,8,1949,1949,6.0,0.6516,3.928,1.0344,400
80100,local,16,1446,1446,6.0,0.5304,1.039,1.0449,400
80100,local,32,1198,1198,5.0,0.4332,0.748,1.0627,400
80100,local_barajado,1,8000,8000,7.0,0.9126,3.415,1.1629,399
80100,local_barajado,2,4576,4576,5.0,0.856,4.124,1.2177,400
80100,local_barajado,4,2814,2814,4.0,0.7679,4.106,1.1323,400
80100,local_barajado,8,1892,1892,3.0,0.6549,4.283,1.114,400
80100,local_barajado,16,1424,1424,4.0,0.5414,0.705,1.1229,400
80100,local_barajado,32,1183,1183,3.0,0.448,0.515,0.8986,400
80100,er_null,1,8000,8000,10.0,0.9978,3.751,1.2945,400
80100,er_null,2,4478,4478,7.0,0.996,3.928,1.1996,400
80100,er_null,4,2643,2643,6.0,0.9932,4.033,1.1217,400
80100,er_null,8,1654,1654,5.0,0.9891,4.477,1.1299,400
80100,er_null,16,1221,1221,4.0,0.9853,4.018,1.0666,400
80100,er_null,32,974,974,4.0,0.9815,4.106,0.9113,400
80200,local,1,8000,8000,8.0,0.9116,3.811,1.0324,399
80200,local,2,4670,4670,7.0,0.8559,3.873,1.0811,400
80200,local,4,2953,2953,7.0,0.7738,4.044,1.0877,400
80200,local,8,1972,1972,5.0,0.6618,3.66,0.9805,400
80200,local,16,1443,1443,5.0,0.5378,0.993,1.0019,400
80200,local,32,1211,1211,4.0,0.4492,0.824,0.9937,400
80200,local_barajado,1,8000,8000,7.0,0.913,3.474,1.169,398
80200,local_barajado,2,4590,4590,5.0,0.858,4.172,1.1341,400
80200,local_barajado,4,2799,2799,4.0,0.7699,4.148,1.0843,400
80200,local_barajado,8,1901,1901,3.0,0.6612,4.364,1.0952,400
80200,local_barajado,16,1390,1390,4.0,0.5367,0.626,1.0467,400
80200,local_barajado,32,1148,1148,3.0,0.439,0.594,0.8844,400
80200,er_null,1,8000,8000,9.0,0.9972,3.679,1.2813,400
80200,er_null,2,4461,4461,7.0,0.9951,3.969,1.1943,400
80200,er_null,4,2604,2604,6.0,0.9916,4.366,1.107,400
80200,er_null,8,1686,1686,5.0,0.987,4.346,1.1543,400
80200,er_null,16,1218,1218,4.0,0.9819,3.854,1.0231,400
80200,er_null,32,894,894,4.0,0.9754,3.82,0.9592,400
80300,local,1,8000,8000,10.0,0.9044,4.432,0.9215,399
80300,local,2,4664,4664,7.0,0.8461,4.389,1.0951,400
80300,local,4,2958,2958,6.0,0.7606,4.424,0.9587,400
80300,local,8,1991,1991,5.0,0.6449,4.126,0.8943,400
80300,local,16,1498,1498,4.0,0.528,0.934,1.0067,400
80300,local,32,1238,1238,4.0,0.4289,0.92,1.0835,400
80300,local_barajado,1,8000,8000,7.0,0.9107,3.389,1.1966,399
80300,local_barajado,2,4616,4616,6.0,0.852,4.146,1.1919,400
80300,local_barajado,4,2845,2845,4.0,0.7641,4.128,1.1248,400
80300,local_barajado,8,1908,1908,4.0,0.6494,4.353,1.1558,400
80300,local_barajado,16,1420,1420,3.0,0.5289,0.669,1.0225,400
80300,local_barajado,32,1159,1159,3.0,0.4228,0.56,1.1159,400
80300,er_null,1,8000,8000,9.0,0.9974,3.734,1.2264,400
80300,er_null,2,4469,4469,7.0,0.9955,3.978,1.2198,400
80300,er_null,4,2650,2650,6.0,0.9925,4.013,1.2061,400
80300,er_null,8,1664,1664,5.0,0.988,4.457,1.089,400
80300,er_null,16,1174,1174,4.0,0.983,3.88,1.1096,400
80300,er_null,32,976,976,4.0,0.9795,3.387,0.9052,400
