seed,variante,n_podadas,b,n_cajas,N_b,diam,giant,d_s,holonomia,n_ciclos
80100,sin_poda,0,1,8000,8000,9.0,0.9121,3.673,0.9749,399
80100,sin_poda,0,2,4647,4647,7.0,0.858,3.65,1.0547,399
80100,sin_poda,0,4,2923,2923,7.0,0.7769,4.173,1.0204,400
80100,sin_poda,0,8,1923,1923,5.0,0.6609,3.647,1.0256,400
80100,sin_poda,0,16,1428,1428,5.0,0.5434,0.989,0.9379,400
80100,sin_poda,0,32,1144,1144,4.0,0.4301,0.869,0.9605,400
80100,costo_P50,14886,1,8000,8000,20.0,0.8899,3.223,0.8734,395
80100,costo_P50,14886,2,4913,4913,14.0,0.8315,3.343,0.9763,400
80100,costo_P50,14886,4,3322,3322,13.0,0.7535,3.652,0.9479,400
80100,costo_P50,14886,8,2361,2361,8.0,0.6531,3.67,1.0362,400
80100,costo_P50,14886,16,1845,1845,7.0,0.5561,3.729,1.1279,400
80100,costo_P50,14886,32,1590,1590,6.0,0.4849,3.587,1.026,400
80100,azar_P50,14886,1,8000,8000,14.0,0.9048,3.724,1.0529,399
80100,azar_P50,14886,2,5028,5028,11.0,0.8544,3.65,1.0251,399
80100,azar_P50,14886,4,3399,3399,9.0,0.7852,3.903,1.0561,400
80100,azar_P50,14886,8,2513,2513,7.0,0.7095,3.778,1.0718,400
80100,azar_P50,14886,16,1974,1974,5.0,0.6302,3.938,1.108,400
80100,azar_P50,14886,32,1694,1694,5.0,0.5691,1.452,0.9822,400
80100,costo_P70,7817,1,8000,8000,14.0,0.9076,3.606,0.8932,400
80100,costo_P70,7817,2,4816,4816,11.0,0.8555,3.639,0.9639,400
80100,costo_P70,7817,4,3190,3190,10.0,0.7843,3.964,0.9594,400
80100,costo_P70,7817,8,2231,2231,8.0,0.6916,4.063,0.9829,400
80100,costo_P70,7817,16,1688,1688,5.0,0.5924,1.402,1.0303,400
80100,costo_P70,7817,32,1438,1438,5.0,0.5216,1.359,0.923,400
80100,azar_P70,7817,1,8000,8000,12.0,0.9119,3.794,0.9847,399
80100,azar_P70,7817,2,4784,4784,9.0,0.8612,3.904,1.1012,400
80100,azar_P70,7817,4,3120,3120,7.0,0.7888,3.744,1.0185,400
80100,azar_P70,7817,8,2154,2154,6.0,0.6941,3.88,0.9386,400
80100,azar_P70,7817,16,1640,1640,5.0,0.5982,1.124,0.9379,400
80100,azar_P70,7817,32,1338,1338,5.0,0.5075,0.941,0.8489,400
80100,costo_P90,2974,1,8000,8000,10.0,0.9116,3.892,0.8794,400
80100,costo_P90,2974,2,4695,4695,9.0,0.8586,3.321,1.0608,400
80100,costo_P90,2974,4,2969,2969,6.0,0.7791,4.09,1.0402,400
80100,costo_P90,2974,8,2004,2004,6.0,0.6727,3.862,1.0808,400
80100,costo_P90,2974,16,1516,1516,5.0,0.5673,1.098,0.9605,400
80100,costo_P90,2974,32,1223,1223,4.0,0.4636,1.098,0.9432,400
80100,azar_P90,2974,1,8000,8000,10.0,0.9121,3.946,0.9528,400
80100,azar_P90,2974,2,4699,4699,8.0,0.8585,3.778,1.014,400
80100,azar_P90,2974,4,2972,2972,7.0,0.7786,4.095,1.131,400
80100,azar_P90,2974,8,2044,2044,6.0,0.6781,3.948,1.0008,400
80100,azar_P90,2974,16,1498,1498,6.0,0.5607,1.059,1.0091,400
80100,azar_P90,2974,32,1247,1247,4.0,0.4723,1.037,0.8944,400
80200,sin_poda,0,1,8000,8000,9.0,0.9107,3.798,1.0634,399
80200,sin_poda,0,2,4664,4664,7.0,0.8557,3.73,1.0454,399
80200,sin_poda,0,4,2942,2942,6.0,0.7733,3.826,1.0417,400
80200,sin_poda,0,8,1918,1918,6.0,0.6528,3.766,0.9814,400
80200,sin_poda,0,16,1429,1429,4.0,0.5339,0.993,0.9709,400
80200,sin_poda,0,32,1220,1220,4.0,0.4541,0.797,0.9914,400
80200,costo_P50,14972,1,8000,8000,19.0,0.8886,3.215,0.857,393
80200,costo_P50,14972,2,4973,4973,14.0,0.8321,3.241,0.9664,399
80200,costo_P50,14972,4,3263,3263,11.0,0.7478,3.342,1.0935,400
80200,costo_P50,14972,8,2373,2373,9.0,0.6544,3.678,1.0137,400
80200,costo_P50,14972,16,1910,1910,6.0,0.5707,3.84,1.1119,400
80200,costo_P50,14972,32,1609,1609,5.0,0.4904,1.49,1.1135,400
80200,azar_P50,14972,1,8000,8000,13.0,0.9041,3.405,1.1593,397
80200,azar_P50,14972,2,5049,5049,10.0,0.8524,3.477,1.1463,399
80200,azar_P50,14972,4,3436,3436,8.0,0.7843,3.589,1.077,400
80200,azar_P50,14972,8,2543,2543,7.0,0.7086,3.745,1.1664,400
80200,azar_P50,14972,16,2033,2033,6.0,0.6355,3.813,0.9981,400
