seed,n_edges,n_tri,dof_real,sw_real,dof_rw,sw_rw,ev_rw,dof_lr,sw_lr,ev_lr,dof_gl,sw_gl,ev_gl,h_real,h_rewire,h_local_roto,h_global,h_null,h_shuf
1,545,161,706,110,706,110,483,706,110,483,706,110,545,0.22749550399512172,0.35740383402588505,0.5169920773558416,0.5522069991985011,1.7278919159300141,0.33012334484696276
2,513,161,674,116,674,116,483,674,116,483,674,116,513,0.2379983368259918,0.3170662746144605,0.4908108277903216,1.0356051347200135,1.496310689620956,0.3410856906459559
3,606,221,827,99,827,99,663,827,99,663,827,99,606,0.20567529067681173,0.3711322046895378,0.48244812738039766,2.464539795722119,1.5117224891767953,0.3840208936841803
4,562,188,750,106,750,106,564,750,106,564,750,106,562,0.22901401385750414,0.42959812417354215,0.5206277717456147,0.3528816339410831,1.509046192161851,0.3366382218880958
5,583,193,776,102,776,102,579,776,102,579,776,102,583,0.5773901055520302,0.3414008857164178,0.5120925906130037,1.4424823113042389,1.4691812534911297,1.446606892473561
6,530,145,675,113,675,113,435,675,113,435,675,113,530,0.21195997464611535,0.3685318619662488,0.49026984504617005,0.3644309920987766,1.6017686719698963,0.35347438955212
7,558,167,725,107,725,107,501,725,107,501,725,107,558,0.19801335429276712,0.3764348908895862,0.4392278684949737,2.4201384375671466,1.490863925939304,0.33917655958147064
8,495,131,626,121,626,121,393,626,121,393,626,121,495,0.20435914302788483,0.3657618085211367,0.5899393909275334,2.5882786384575276,1.6425665715109858,0.35165251720131757
9,504,135,639,119,639,119,405,639,119,405,639,119,504,0.22560568098492007,0.40197591540589056,0.5350447965904869,1.7723113539659607,1.4624614939644611,0.3275605155710985
10,501,109,610,119,610,119,327,610,119,327,610,119,501,0.23754512794097912,0.3558367821282236,0.4776462872599857,2.2544912547046976,1.5809748032532176,0.3406626835969888
11,540,155,695,111,695,111,465,695,111,465,695,111,540,0.20340474696736094,0.3432185923239739,0.4623868325945511,2.6796281909817834,1.4810189792573858,0.36559607318667964
12,569,202,771,105,771,105,606,771,105,606,771,105,569,0.31633061687442005,0.3814369392212335,0.5347298938433113,2.165989202663058,1.5581894203956652,0.577512100842224
13,530,168,698,113,698,113,504,698,113,504,698,113,530,0.5435828235951818,0.37611049124478785,0.47491645230049023,2.4437261302104907,1.3480283911014292,1.5675871085235886
14,553,159,712,108,712,108,477,712,108,477,712,108,553,0.22407984305189488,0.37123075159199537,0.5381433325789026,2.0997388881616446,1.477597534923527,0.3668169917030735
15,531,144,675,112,675,112,432,675,112,432,675,112,531,0.22503583940092542,0.3745895740659189,0.4688548992062685,0.3536158679736892,1.4672025814850131,0.32674902159916663
16,529,130,659,113,659,113,390,659,113,390,659,113,529,0.2158138459193983,0.3714665937971626,0.5670412987191611,1.2341551142816858,1.4529634846368442,0.3337762875703383
17,534,147,681,112,681,112,441,681,112,441,681,112,534,0.22445019613167594,0.39405729036128523,0.4953650228282506,0.34546217678382085,1.584241759207183,0.3361540549177196
18,525,140,665,114,665,114,420,665,114,420,665,114,525,0.20588307567629563,0.36539713438382704,0.5228784078036457,1.699274047042395,1.549671596176683,0.35757398733279216
19,575,190,765,104,765,104,570,765,104,570,765,104,575,0.23011363167507487,0.3338955560638582,0.4869207564477373,1.7855198341824685,1.4623818043980494,0.3126455971766501
20,568,185,753,105,753,105,555,753,105,555,753,105,568,0.3312001228328664,0.36791919001388695,0.5184266893291234,0.5127622761321905,1.469174181251935,0.6207475266962862
