seed,arm,N,n_componentes,giant_frac,lambda2,lambda_max,mean_eig,std_eig,d_s_t0.05,d_s_t0.2,d_s_t1.0,d_s_t5.0,n,mean_s2,ks_D_poisson,ks_p_poisson,ks_D_goe,ks_p_goe,frac_s_lt_02
84100,local,8000,652,0.9117,0.325657,425.013,7.8093,10.8991,0.65,1.72,0.657,0.035,5878,1.2945,0.209,0.0,0.0126,0.3074,0.0361
84200,local,8000,632,0.9145,0.240283,390.011,7.8358,10.6983,0.653,1.736,0.677,0.035,5894,1.3027,0.2057,0.0,0.015,0.138,0.038
84300,local,8000,640,0.9141,0.358436,447.008,7.8548,12.0112,0.651,1.735,0.668,0.03,5887,1.3013,0.2098,0.0,0.0198,0.0194,0.0335
84400,local,8000,671,0.911,0.235942,337.017,7.8365,11.7324,0.649,1.715,0.629,0.032,5863,1.2898,0.2096,0.0,0.0136,0.2236,0.0336
84500,local,8000,641,0.9135,0.262745,468.007,7.8377,11.6378,0.65,1.732,0.665,0.035,5887,1.2923,0.2074,0.0,0.015,0.1384,0.0343
84100,local_barajado,8000,672,0.9099,1.750817,89.078,7.4668,4.3488,0.692,1.805,0.53,0.0,5862,1.2894,0.2137,0.0,0.0124,0.324,0.0355
84200,local_barajado,8000,664,0.9086,1.032544,61.129,7.486,4.3373,0.693,1.812,0.534,0.0,5868,1.2909,0.2094,0.0,0.0138,0.2145,0.0394
84300,local_barajado,8000,663,0.9113,0.85108,57.154,7.515,4.3873,0.696,1.817,0.528,0.0,5869,1.2854,0.2153,0.0,0.01,0.5994,0.0344
84400,local_barajado,8000,698,0.9067,1.70443,102.069,7.4688,4.4959,0.69,1.784,0.506,0.0,5840,1.2884,0.2112,0.0,0.0174,0.0576,0.0307
84500,local_barajado,8000,679,0.9062,0.775305,80.086,7.485,4.4312,0.692,1.801,0.519,0.001,5855,1.2949,0.2089,0.0,0.0129,0.2829,0.0398
84100,er_null,8000,21,0.9975,0.177578,17.883,6.0,3.4409,0.57,1.721,3.604,1.344,6383,1.2842,0.2177,0.0,0.0108,0.4475,0.0302
84200,er_null,8000,17,0.998,0.306147,18.609,6.0,3.4566,0.57,1.717,3.587,1.724,6385,1.2831,0.2137,0.0,0.0109,0.4298,0.0304
84300,er_null,8000,17,0.998,0.253528,19.654,6.0,3.4732,0.569,1.713,3.631,1.642,6385,1.2836,0.2099,0.0,0.0097,0.5873,0.0273
84400,er_null,8000,27,0.9968,0.527651,19.598,6.0,3.4608,0.569,1.715,3.542,1.111,6377,1.2921,0.2072,0.0,0.0139,0.1657,0.037
84500,er_null,8000,14,0.9984,0.286308,18.775,6.0,3.4393,0.57,1.724,3.665,1.898,6388,1.2853,0.2122,0.0,0.0077,0.8433,0.0321
