grupo,etiqueta,seed,n,n_aristas,n_componentes,giant_frac,lambda2,lambda_max,mean_eig,std_eig,d_s_t0.05,d_s_t0.2,d_s_t1.0,d_s_t5.0,mean_s2,ks_D_poisson,ks_p_poisson,ks_D_goe,ks_p_goe,frac_s_lt_02,canonica,_tiempo_s,pct_aristas_distintas,swap_aceptados,swap_intentos
REAL,"REAL (canónica, seed_ejes=2000 -- la que corrió Phantom en CS073)",2000,1599,4945,1,1.0,0.019923,11.581,4.945,2.4505,0.487,1.551,1.963,2.203,1.412,0.172,0.0,0.0621,0.0,0.0682,True,0.87,,,
REAL,"REAL (variante genuina, seed_ejes=2001)",2001,1599,5009,1,1.0,0.021646,11.33,5.009,2.4894,0.493,1.565,2.008,2.245,1.4004,0.1629,0.0,0.068,0.0,0.0682,False,0.83,,,
REAL,"REAL (variante genuina, seed_ejes=2002)",2002,1599,4955,1,1.0,0.022212,11.351,4.955,2.4601,0.488,1.555,2.052,2.312,1.3469,0.1764,0.0,0.0472,0.0016,0.0632,False,0.95,,,
REAL,"REAL (variante genuina, seed_ejes=2003)",2003,1599,4952,1,1.0,0.020602,11.434,4.952,2.457,0.488,1.552,1.963,2.212,1.3967,0.1568,0.0,0.068,0.0,0.0782,False,0.84,,,
REAL,"REAL (variante genuina, seed_ejes=2004)",2004,1599,4945,1,1.0,0.01991,11.307,4.945,2.4611,0.487,1.549,1.971,2.209,1.3766,0.1639,0.0,0.0641,0.0,0.0794,False,0.89,,,
NULL-3,"NULL-3 (swap+filtro long., seed=501)",501,1599,4945,1,1.0,0.11887,11.79,4.945,2.4505,0.488,1.574,2.496,3.548,1.3006,0.2139,0.0,0.0198,0.5538,0.0363,,0.86,12.5,346,49450
NULL-3,"NULL-3 (swap+filtro long., seed=502)",502,1599,4945,1,1.0,0.07661,11.643,4.945,2.4505,0.488,1.573,2.491,3.562,1.307,0.2068,0.0,0.0251,0.2619,0.0457,,0.91,12.4,344,49450
NULL-3,"NULL-3 (swap+filtro long., seed=503)",503,1599,4945,1,1.0,0.135708,11.659,4.945,2.4505,0.488,1.573,2.485,3.562,1.3303,0.2066,0.0,0.0254,0.2486,0.0419,,0.81,12.44,344,49450
NULL-3,"NULL-3 (swap+filtro long., seed=504)",504,1599,4945,1,1.0,0.136267,11.62,4.945,2.4505,0.488,1.572,2.452,3.565,1.3036,0.2048,0.0,0.0218,0.4258,0.0407,,0.82,11.41,317,49450
NULL-3,"NULL-3 (swap+filtro long., seed=505)",505,1599,4945,1,1.0,0.158413,11.534,4.945,2.4505,0.488,1.575,2.535,3.718,1.3078,0.1996,0.0,0.0232,0.3499,0.0388,,0.86,13.16,354,49450
RANDOM,Erdős-Rényi (seed=9001),9001,1589,4945,13,0.9935,0.279666,15.55,4.945,3.142,0.469,1.409,2.811,1.64,1.2823,0.2231,0.0,0.0191,0.6017,0.0352,,0.99,,,
RANDOM,Erdős-Rényi (seed=9002),9002,1585,4945,17,0.992,0.297683,17.586,4.945,3.2047,0.467,1.395,2.728,1.398,1.2796,0.2309,0.0,0.0211,0.4727,0.0322,,0.85,,,
RANDOM,Erdős-Rényi (seed=9003),9003,1590,4945,12,0.994,0.314113,16.109,4.945,3.1424,0.469,1.41,2.831,1.741,1.2833,0.216,0.0,0.016,0.8061,0.0409,,0.91,,,
RANDOM,Erdős-Rényi (seed=9004),9004,1591,4945,10,0.9955,0.290967,16.645,4.945,3.1353,0.469,1.413,2.818,2.082,1.268,0.2257,0.0,0.0106,0.9929,0.0295,,0.88,,,
RANDOM,Erdős-Rényi (seed=9005),9005,1586,4945,16,0.9925,0.234068,16.993,4.945,3.1513,0.469,1.408,2.751,1.431,1.2799,0.2131,0.0,0.0122,0.9691,0.0309,,0.86,,,
