grupo,etiqueta,seed,n,n_aristas,n_componentes,giant_frac,lambda2,lambda_max,mean_eig,std_eig,d_s_t0.05,d_s_t0.2,d_s_t1.0,d_s_t5.0,mean_s2,ks_D_poisson,ks_p_poisson,ks_D_goe,ks_p_goe,frac_s_lt_02,carpeta,_tiempo_s
REAL,REAL proximidad k=4 (semilla canónica),canónica,1599,4580,1,1.0,0.002746,10.27,4.58,2.2732,0.453,1.439,1.378,1.263,1.681,0.0813,0.0,0.2045,0.0,0.1726,ic_real,1.42
REAL,REAL proximidad k=4 (semilla s301),s301,1599,4625,1,1.0,0.00362,10.221,4.625,2.2975,0.457,1.45,1.391,1.272,1.6596,0.0851,0.0,0.1866,0.0,0.1707,ic_real_s301,1.3
REAL,REAL proximidad k=4 (semilla s302),s302,1599,4593,1,1.0,0.003365,10.22,4.593,2.2811,0.454,1.443,1.409,1.27,1.6619,0.0632,0.0,0.1666,0.0,0.1538,ic_real_s302,1.31
REAL,REAL proximidad k=4 (semilla s303),s303,1599,4598,1,1.0,0.002903,9.546,4.598,2.287,0.455,1.443,1.393,1.269,1.7689,0.065,0.0,0.2003,0.0,0.172,ic_real_s303,1.5
REAL,REAL proximidad k=4 (semilla s304),s304,1599,4619,1,1.0,0.003669,10.378,4.619,2.2954,0.457,1.449,1.4,1.29,1.6526,0.0738,0.0,0.1795,0.0,0.1588,ic_real_s304,1.62
REAL,REAL proximidad k=4 (semilla s305),s305,1599,4523,1,1.0,0.003155,10.201,4.523,2.2604,0.448,1.425,1.414,1.267,1.6752,0.0557,0.0001,0.1669,0.0,0.1463,ic_real_s305,1.62
NULL-1,NULL-1 proximidad k=4 (semilla s1),s1,1598,5077,2,0.997,0.01425,11.615,5.077,2.5193,0.499,1.58,1.972,2.009,1.4751,0.1396,0.0,0.0878,0.0,0.0895,ic_null1_s1,1.59
NULL-1,NULL-1 proximidad k=4 (semilla s2),s2,1599,5037,1,1.0,0.01398,12.277,5.037,2.5119,0.495,1.568,1.98,2.057,1.4587,0.1365,0.0,0.1015,0.0,0.1026,ic_null1_s2,1.53
NULL-1,NULL-1 proximidad k=4 (semilla s3),s3,1599,5082,1,1.0,0.014866,12.169,5.082,2.5352,0.5,1.58,2.001,2.052,1.4742,0.1371,0.0,0.0995,0.0,0.0775,ic_null1_s3,1.59
NULL-1,NULL-1 proximidad k=4 (semilla s4),s4,1599,5086,1,1.0,0.01499,12.221,5.086,2.5175,0.5,1.586,2.018,2.106,1.4402,0.1562,0.0,0.0737,0.0,0.0769,ic_null1_s4,1.58
NULL-1,NULL-1 proximidad k=4 (semilla s5),s5,1599,5083,1,1.0,0.014998,12.372,5.083,2.5154,0.5,1.582,1.955,2.113,1.4589,0.1373,0.0,0.0857,0.0,0.0894,ic_null1_s5,1.57
NULL-2,NULL-2 proximidad k=4 (semilla s401),s401,1599,5116,1,1.0,0.021124,11.282,5.116,2.5085,0.504,1.595,1.998,2.245,1.4033,0.1756,0.0,0.0498,0.0007,0.0619,ic_null2_s401,1.67
NULL-2,NULL-2 proximidad k=4 (semilla s402),s402,1599,5123,1,1.0,0.0131,12.136,5.123,2.5332,0.504,1.592,1.977,2.042,1.5138,0.1413,0.0,0.0927,0.0,0.0807,ic_null2_s402,1.54
NULL-2,NULL-2 proximidad k=4 (semilla s403),s403,1599,5112,1,1.0,0.013182,12.226,5.112,2.5117,0.503,1.592,1.953,2.075,1.3933,0.1684,0.0,0.067,0.0,0.0688,ic_null2_s403,1.51
NULL-2,NULL-2 proximidad k=4 (semilla s404),s404,1599,5172,1,1.0,0.010742,11.424,5.172,2.5313,0.509,1.61,2.005,2.157,1.3747,0.1764,0.0,0.0584,0.0,0.0744,ic_null2_s404,1.68
NULL-2,NULL-2 proximidad k=4 (semilla s405),s405,1599,5120,1,1.0,0.010338,11.343,5.12,2.5226,0.504,1.595,2.01,2.144,1.4353,0.1448,0.0,0.0795,0.0,0.0769,ic_null2_s405,1.78
