fuente,N,corrida,ultimo_dump,completa_hasta_tmax,n_dumps,pared_total_s,s_por_dump_medio,s_por_dump_primeros50,s_por_dump_ultimos10,s_dump_000_050,s_dump_050_100,s_dump_100_150,s_dump_150_200,s_dump_200_250,s_dump_250_300,s_dump_300_350
N2000_fase5b,2000,A2-B0-C2-r14_III,500,True,2,14.0,0.028,nan,13.963,,,,,,,
N2000_fase5b,2000,A2-B0-C2-r17_III,500,True,2,15.7,0.031,nan,15.658,,,,,,,
N2000_fase5b,2000,A2-B0-C2-r19_III,500,True,2,14.9,0.03,nan,14.851,,,,,,,
N2000_fase5b,2000,A2-B0-C2-r1_I,500,True,2,13.4,0.027,nan,13.367,,,,,,,
N2000_fase5b,2000,A2-B0-C2-r6_I,500,True,2,14.1,0.028,nan,14.117,,,,,,,
N2000_fase5b,2000,A2-B0-C2-r9_I,500,True,2,14.2,0.028,nan,14.237,,,,,,,
N4000_o3a,4000,A2-B0-C2-batch3-r0_III,500,True,2,57.2,0.114,nan,57.212,,,,,,,
N4000_o3a,4000,A2-B0-C2-batch3-r100_I,500,True,2,40.3,0.081,nan,40.337,,,,,,,
N4000_o3a,4000,A2-B0-C2-batch3-r108_III,500,True,2,25.2,0.05,nan,25.239,,,,,,,
N4000_o3a,4000,A2-B0-C2-batch3-r112_I,500,True,2,35.4,0.071,nan,35.386,,,,,,,
N4000_o3a,4000,A2-B0-C2-batch3-r114_III,500,True,2,18.3,0.037,nan,18.268,,,,,,,
N4000_o3a,4000,A2-B0-C2-batch3-r12_III,500,True,2,20.3,0.041,nan,20.261,,,,,,,
N4000_o3a,4000,A2-B0-C2-batch3-r26_III,500,True,2,24.6,0.049,nan,24.629,,,,,,,
N4000_o3a,4000,A2-B0-C2-batch3-r31_III,500,True,2,27.4,0.055,nan,27.389,,,,,,,
N8000_demo_infra,8000,A2-B0-C2-batch4-r10_III,259,False,260,1229.7,4.748,0.116,103.597,0.116,0.145,0.383,1.005,2.227,103.597,
N8000_demo_infra,8000,A2-B0-C2-batch4-r23_I,327,False,328,351.0,1.073,0.112,20.536,0.112,0.127,0.348,0.433,0.637,0.669,8.386
N8000_f804,8000,r10_III_rep00,157,False,158,469.3,2.989,1.269,13.62,1.269,1.33,4.417,14.973,,,
N8000_f804,8000,r10_III_rep01,138,False,139,459.0,3.326,1.268,20.515,1.268,1.513,8.237,,,,
N8000_f804,8000,r10_III_rep02,159,False,160,469.0,2.95,1.273,3.698,1.273,1.443,5.949,3.698,,,
N8000_f804,8000,r10_III_rep03,72,False,73,113.1,1.571,1.282,3.37,1.282,2.186,,,,,
N8000_f804,8000,r10_III_rep04,144,False,145,467.4,3.246,1.295,5.945,1.295,1.407,7.412,,,,
N8000_f804,8000,r10_III_rep05,101,False,102,161.3,1.597,1.281,3.436,1.281,1.678,7.315,,,,
N8000_f804,8000,r23_I_rep00,251,False,252,782.4,3.117,0.449,7.797,0.449,0.51,2.598,2.844,8.281,24.378,
N8000_f804,8000,r23_I_rep01,265,False,266,784.4,2.96,0.454,11.605,0.454,0.5,1.823,4.262,5.915,8.57,
